STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,1.2% ^0.9% - 1.5%^,4782,65,Red,17,28239,84% ^Constrained^,Constrained,72% ^Elevated^,Elevated,175,Bruised Red,159,220,215,204,201,198,205,202,196,178,179,167,172,175,159,-28% ^Decreasing^,Green,1.7,Yellow
Alaska,Alaska,Red,0.3% ^0.0% - 0.7%^,2486,226,Green,93,2659,47% ^Normal^,Normal,45% ^Normal^,Normal,110,Red,56,60,59,51,59,56,53,56,63,59,59,49,56,49,56,-7% ^Decreasing^,Green,0.62,Green
Arizona,Arizona,Red,0.5% ^0.3% - 0.6%^,8230,75,Yellow,47,17457,56% ^Normal^,Normal,64% ^Normal^,Normal,73,Yellow,90,133,123,111,112,104,106,100,103,102,102,96,91,90,90,-32% ^Decreasing^,Green,2.53,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.9% ^0.6% - 1.2%^,7529,166,Green,30,24797,65% ^Normal^,Normal,66% ^Normal^,Normal,249,Bruised Red,136,144,143,135,135,130,139,140,144,141,133,128,129,132,136,-6% ^Decreasing^,Green,1.37,Yellow
California,California 😷,Red,0.5% ^0.4% - 0.5%^,113893,191,Green,80,141966,67% ^Normal^,Normal,71% ^Elevated^,Elevated,109,Red,109,140,137,133,128,125,122,123,123,116,111,107,107,108,109,-22% ^Decreasing^,Green,1.86,Yellow
Colorado,Colorado,Yellow,0.4% ^0.3% - 0.6%^,8519,98,Yellow,88,9726,57% ^Normal^,Normal,62% ^Normal^,Normal,51,Yellow,41,42,44,37,39,42,42,42,41,43,37,38,38,39,41,-2% ^Decreasing^,Green,3.14,Yellow
Connecticut,Connecticut 😷,Green,0.2% ^0.1% - 0.4%^,13507,251,Green,251,5371,49% ^Normal^,Normal,73% ^Elevated^,Elevated,31,Green,14,16,16,17,17,17,15,16,18,18,16,16,16,16,14,-12% ^Decreasing^,Green,8.32,Red
Delaware,Delaware 😷,Red,0.3% ^0.0% - 0.5%^,2221,151,Green,61,3644,73% ^Elevated^,Elevated,71% ^Elevated^,Elevated,113,Red,54,51,59,59,63,56,60,66,64,62,60,60,64,54,54,6% ^Increasing^,Red,3.33,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.8% ^0.1% - 1.5%^,3393,319,Green,230,1476,71% ^Elevated^,Elevated,80% ^Elevated^,Elevated,63,Yellow,120,109,118,118,108,98,99,101,103,108,106,113,113,120,120,10% ^Increasing^,Red,4.25,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,20144,62,Red,22,89817,76% ^Elevated^,Elevated,58% ^Normal^,Normal,127,Red,147,205,198,186,177,177,174,169,163,160,156,150,147,147,147,-28% ^Decreasing^,Green,1.86,Yellow
