STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,1.2% ^0.9% - 1.5%^,4230,57,Red,13,33372,87% ^Severely constrained^,Severely constrained,77% ^Elevated^,Elevated,206,Bruised Red,172,234,224,220,215,204,201,198,205,202,196,178,179,167,172,-27% ^Decreasing^,Green,1.72,Yellow
Alaska,Alaska,Red,0.6% ^0.1% - 1.2%^,5745,521,Green,214,2687,53% ^Normal^,Normal,72% ^Elevated^,Elevated,111,Red,56,59,63,60,59,51,59,56,53,56,63,59,59,49,56,-5% ^Decreasing^,Green,0.63,Green
Arizona,Arizona,Red,0.5% ^0.3% - 0.6%^,8511,78,Yellow,44,19352,63% ^Normal^,Normal,79% ^Elevated^,Elevated,81,Red,91,125,137,133,123,111,112,104,106,100,103,102,102,96,91,-27% ^Decreasing^,Green,2.54,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.7% ^0.5% - 1.0%^,7630,168,Green,36,21313,68% ^Normal^,Normal,67% ^Normal^,Normal,214,Bruised Red,129,154,146,144,143,135,135,130,139,140,144,141,133,128,129,-17% ^Decreasing^,Green,1.37,Yellow
California,California 😷,Red,0.4% ^0.4% - 0.5%^,116480,196,Green,77,151965,69% ^Normal^,Normal,72% ^Elevated^,Elevated,117,Red,107,142,141,140,137,133,128,125,122,123,123,116,111,107,107,-25% ^Decreasing^,Green,1.87,Yellow
Colorado,Colorado,Yellow,0.4% ^0.2% - 0.5%^,8019,92,Yellow,87,9183,57% ^Normal^,Normal,63% ^Normal^,Normal,48,Yellow,38,39,42,42,44,37,39,42,42,42,41,43,37,38,38,-2% ^Decreasing^,Green,3.16,Yellow
Connecticut,Connecticut 😷,Green,0.3% ^0.2% - 0.4%^,15736,293,Green,293,5371,48% ^Normal^,Normal,74% ^Elevated^,Elevated,35,Green,16,16,17,16,16,17,17,17,15,16,18,18,16,16,16,2% ^Increasing^,Red,8.37,Red
Delaware,Delaware 😷,Red,0.2% ^0.0% - 0.4%^,2303,157,Green,70,3300,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,103,Red,64,39,41,51,59,59,63,56,60,66,64,62,60,60,64,63% ^Increasing^,Red,3.38,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.8% ^0.1% - 1.5%^,3346,315,Green,222,1509,75% ^Elevated^,Elevated,86% ^Constrained^,Constrained,65,Yellow,113,120,123,109,118,118,108,98,99,101,103,108,106,113,113,-6% ^Decreasing^,Green,4.28,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,26452,82,Yellow,23,117126,75% ^Elevated^,Elevated,58% ^Normal^,Normal,165,Bruised Red,147,216,212,205,198,186,177,177,174,169,163,160,156,150,147,-32% ^Decreasing^,Green,1.86,Yellow
