STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,0.9% ^0.7% - 1.2%^,4881,66,Red,17,29125,80% ^Constrained^,Constrained,64% ^Normal^,Normal,180,Bruised Red,175,215,204,201,198,205,202,196,178,179,167,172,175,159,175,-19% ^Decreasing^,Green,1.7,Yellow
Alaska,Alaska,Red,0.4% ^0.0% - 0.8%^,2150,195,Green,82,2626,44% ^Normal^,Normal,43% ^Normal^,Normal,109,Red,55,59,51,59,56,53,56,63,59,59,49,56,49,56,55,-7% ^Decreasing^,Green,0.62,Green
Arizona,Arizona,Red,0.6% ^0.4% - 0.8%^,7896,72,Red,46,17349,54% ^Normal^,Normal,61% ^Normal^,Normal,72,Yellow,90,123,111,112,104,106,100,103,102,102,96,91,90,90,90,-26% ^Decreasing^,Green,2.54,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.8% ^0.5% - 1.0%^,6683,147,Green,28,24246,63% ^Normal^,Normal,60% ^Normal^,Normal,243,Bruised Red,136,143,135,135,130,139,140,144,141,133,128,129,132,136,136,-5% ^Decreasing^,Green,1.38,Yellow
California,California 😷,Red,0.4% ^0.3% - 0.5%^,109061,183,Green,84,129525,66% ^Normal^,Normal,68% ^Normal^,Normal,99,Red,112,137,133,128,125,122,123,123,116,111,107,107,108,109,112,-18% ^Decreasing^,Green,1.87,Yellow
Colorado,Colorado,Yellow,0.6% ^0.4% - 0.7%^,8477,98,Yellow,95,8952,53% ^Normal^,Normal,57% ^Normal^,Normal,47,Yellow,38,44,37,39,42,42,42,41,43,37,38,38,39,41,38,-14% ^Decreasing^,Green,3.13,Yellow
Connecticut,Connecticut 😷,Green,0.2% ^0.1% - 0.3%^,12695,236,Green,236,5371,49% ^Normal^,Normal,73% ^Elevated^,Elevated,31,Green,16,16,17,17,17,15,16,18,18,16,16,16,16,14,16,2% ^Increasing^,Red,8.31,Red
Delaware,Delaware 😷,Red,0.3% ^0.0% - 0.6%^,1920,131,Green,54,3578,71% ^Elevated^,Elevated,68% ^Normal^,Normal,111,Red,54,59,59,63,56,60,66,64,62,60,60,64,54,54,54,-7% ^Decreasing^,Green,3.33,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.5% ^0.0% - 1.0%^,3266,307,Green,223,1461,70% ^Normal^,Normal,75% ^Elevated^,Elevated,63,Yellow,132,118,118,108,98,99,101,103,108,106,113,113,120,120,132,12% ^Increasing^,Red,4.27,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,19635,61,Red,22,88185,73% ^Elevated^,Elevated,55% ^Normal^,Normal,124,Red,143,198,186,177,177,174,169,163,160,156,150,147,147,147,143,-28% ^Decreasing^,Green,1.88,Yellow
Georgia,Georgia,Bruised Red,0.8% ^0.7% - 1.0%^,20877,131,Green,35,59749,74% ^Elevated^,Elevated,75% ^Elevated^,Elevated,171,Bruised Red,198,201,249,243,234,232,234,233,223,216,258,207,209,209,198,-1% ^Decreasing^,Green,2.13,Yellow
