STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,1.2% ^0.9% - 1.5%^,4560,62,Red,12,38695,87% ^Severely constrained^,Severely constrained,77% ^Elevated^,Elevated,239,Bruised Red,179,218,223,234,224,220,215,204,201,198,205,202,196,178,179,-18% ^Decreasing^,Green,1.74,Yellow
Alaska,Alaska,Red,0.6% ^0.1% - 1.2%^,6057,550,Green,235,2574,53% ^Normal^,Normal,72% ^Elevated^,Elevated,107,Red,59,63,66,59,63,60,59,51,59,56,53,56,63,59,59,-7% ^Decreasing^,Green,0.62,Green
Arizona,Arizona,Red,0.5% ^0.3% - 0.6%^,7550,69,Red,40,18966,63% ^Normal^,Normal,79% ^Elevated^,Elevated,79,Yellow,102,144,133,125,137,133,123,111,112,104,106,100,103,102,102,-29% ^Decreasing^,Green,2.53,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.7% ^0.5% - 1.0%^,7194,158,Green,33,21648,68% ^Normal^,Normal,67% ^Normal^,Normal,217,Bruised Red,133,163,166,154,146,144,143,135,135,130,139,140,144,141,133,-18% ^Decreasing^,Green,1.36,Yellow
California,California 😷,Red,0.4% ^0.4% - 0.5%^,112333,189,Green,71,157575,69% ^Normal^,Normal,72% ^Elevated^,Elevated,121,Red,111,149,143,142,141,140,137,133,128,125,122,123,123,116,111,-25% ^Decreasing^,Green,1.87,Yellow
Colorado,Colorado,Yellow,0.4% ^0.2% - 0.5%^,8114,94,Yellow,89,9165,57% ^Normal^,Normal,63% ^Normal^,Normal,48,Yellow,37,41,45,39,42,42,44,37,39,42,42,42,41,43,37,-11% ^Decreasing^,Green,3.19,Yellow
Connecticut,Connecticut 😷,Green,0.3% ^0.2% - 0.4%^,15736,293,Green,293,5371,48% ^Normal^,Normal,74% ^Elevated^,Elevated,35,Green,16,15,15,16,17,16,16,17,17,17,15,16,18,18,16,7% ^Increasing^,Red,8.37,Red
Delaware,Delaware 😷,Red,0.2% ^0.0% - 0.4%^,2229,152,Green,71,3154,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,98,Red,60,45,45,39,41,51,59,59,63,56,60,66,64,62,60,32% ^Increasing^,Red,3.41,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.8% ^0.1% - 1.5%^,3115,293,Green,197,1579,75% ^Elevated^,Elevated,86% ^Constrained^,Constrained,68,Yellow,106,115,113,120,123,109,118,118,108,98,99,101,103,108,106,-7% ^Decreasing^,Green,4.31,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,27476,85,Yellow,24,115052,75% ^Elevated^,Elevated,58% ^Normal^,Normal,162,Bruised Red,156,221,213,216,212,205,198,186,177,177,174,169,163,160,156,-29% ^Decreasing^,Green,1.86,Yellow
Georgia,Georgia,Bruised Red,0.8% ^0.7% - 1.0%^,20734,130,Green,31,65915,72% ^Elevated^,Elevated,81% ^Constrained^,Constrained,188,Bruised Red,216,222,222,221,213,210,201,249,243,234,232,234,233,223,216,-3% ^Decreasing^,Green,2.12,Yellow
Hawaii,Hawaii,Bruised Red,0.6% ^0.2% - 0.9%^,3653,171,Green,47,7713,63% ^Normal^,Normal,90% ^Constrained^,Constrained,165,Bruised Red,196,160,136,136,177,191,206,202,197,192,192,210,203,195,196,22% ^Increasing^,Red,0.86,Green
Idaho,Idaho,Bruised Red,0.9% ^0.6% - 1.3%^,2077,77,Yellow,24,8509,54% ^Normal^,Normal,50% ^Normal^,Normal,144,Red,96,107,107,107,90,90,98,98,101,101,101,91,91,96,96,-11% ^Decreasing^,Green,1.13,Yellow
Illinois,Illinois 😷,Bruised Red,0.6% ^0.5% - 0.7%^,55123,289,Green,73,75966,55% ^Normal^,Normal,66% ^Normal^,Normal,182,Bruised Red,128,117,114,121,122,124,129,122,123,116,118,119,126,128,128,9% ^Increasing^,Red,3.38,Yellow
Indiana,Indiana 😷,Red,0.6% ^0.5% - 0.8%^,10483,103,Green,34,30978,62% ^Normal^,Normal,62% ^Normal^,Normal,139,Red,128,131,133,135,147,141,131,129,131,131,131,126,132,127,128,-2% ^Decreasing^,Green,3.42,Yellow
Iowa,Iowa,Bruised Red,0.9% ^0.6% - 1.1%^,5025,106,Green,19,26603,59% ^Normal^,Normal,62% ^Normal^,Normal,256,Bruised Red,100,85,82,87,94,99,97,95,100,98,95,99,98,102,100,18% ^Increasing^,Red,1.71,Yellow
Kansas,Kansas 😷,Bruised Red,0.9% ^0.6% - 1.2%^,3437,78,Yellow,17,19668,63% ^Normal^,Normal,57% ^Normal^,Normal,205,Bruised Red,108,102,102,65,65,90,90,113,113,113,72,72,115,115,108,6% ^Increasing^,Red,1.06,Yellow
Kentucky,Kentucky 😷,Bruised Red,0.7% ^0.5% - 1.0%^,6827,101,Green,29,23194,79% ^Elevated^,Elevated,68% ^Normal^,Normal,157,Bruised Red,128,132,132,126,133,133,128,128,128,128,125,124,132,127,128,-3% ^Decreasing^,Green,1.91,Yellow
Louisiana,Louisiana 😷,Bruised Red,0.8% ^0.5% - 1.0%^,14781,211,Green,58,25575,66% ^Normal^,Normal,66% ^Normal^,Normal,167,Bruised Red,174,226,202,202,200,197,188,194,194,194,190,196,188,183,174,-23% ^Decreasing^,Green,3.3,Yellow
Maine,Maine 😷,Green,0.5% ^0.2% - 0.7%^,5061,250,Green,250,2025,71% ^Elevated^,Elevated,70% ^Elevated^,Elevated,21,Green,7,3,3,4,6,6,7,7,6,5,4,7,8,7,7,125% ^Increasing^,Red,2.89,Yellow
Maryland,Maryland 😷,Red,0.3% ^0.2% - 0.5%^,11456,126,Green,58,19644,72% ^Elevated^,Elevated,80% ^Constrained^,Constrained,98,Red,65,73,67,67,68,71,68,68,64,59,62,64,61,63,65,-10% ^Decreasing^,Green,3.42,Yellow
Massachusetts,Massachusetts 😷,Green,0.3% ^0.1% - 0.4%^,19659,188,Green,188,10470,53% ^Normal^,Normal,71% ^Elevated^,Elevated,40,Green,48,45,45,44,47,51,48,45,44,42,45,46,44,45,48,6% ^Increasing^,Red,7.47,Red
Michigan,Michigan 😷,Yellow,0.5% ^0.3% - 0.6%^,27730,184,Green,114,24321,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,74,Yellow,62,65,65,64,64,64,67,67,67,67,63,63,63,62,62,-5% ^Decreasing^,Green,5.85,Red
Minnesota,Minnesota,Red,0.6% ^0.4% - 0.7%^,9514,112,Green,35,26994,74% ^Elevated^,Elevated,70% ^Normal^,Normal,145,Red,49,56,53,55,55,54,54,53,56,56,54,52,53,48,49,-13% ^Decreasing^,Green,2.4,Yellow
Mississippi,Mississippi 😷,Bruised Red,1.2% ^0.9% - 1.6%^,3503,78,Yellow,16,21898,72% ^Elevated^,Elevated,66% ^Normal^,Normal,223,Bruised Red,265,330,330,303,309,295,278,277,275,275,269,268,288,273,265,-20% ^Decreasing^,Green,2.98,Yellow
