STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,0.8% ^0.5% - 1.1%^,6256,85,Yellow,21,29262,81% ^Constrained^,Constrained,71% ^Elevated^,Elevated,181,Bruised Red,159,175,159,175,170,165,162,161,162,146,147,151,152,152,159,-9% ^Decreasing^,Green,1.68,Yellow
Alaska,Alaska,Red,0.4% ^0.0% - 0.7%^,3673,333,Green,136,2706,49% ^Normal^,Normal,51% ^Normal^,Normal,112,Red,59,49,56,55,57,60,44,48,51,60,62,56,49,56,59,19% ^Increasing^,Red,0.58,Green
Arizona,Arizona,Red,0.4% ^0.2% - 0.6%^,12541,114,Green,48,25957,55% ^Normal^,Normal,66% ^Normal^,Normal,108,Red,65,90,90,90,86,79,79,72,67,76,74,82,71,73,65,-28% ^Decreasing^,Green,2.56,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.9% ^0.5% - 1.2%^,12754,280,Green,49,25947,70% ^Normal^,Normal,67% ^Normal^,Normal,261,Bruised Red,134,132,136,136,130,130,130,126,125,129,128,129,123,123,134,1% ^Increasing^,Red,1.56,Yellow
California,California 😷,Red,0.4% ^0.3% - 0.5%^,119020,200,Green,108,110677,67% ^Normal^,Normal,71% ^Elevated^,Elevated,85,Red,87,108,109,112,107,102,97,95,93,95,93,92,90,89,87,-20% ^Decreasing^,Green,1.93,Yellow
Colorado,Colorado,Red,0.5% ^0.3% - 0.7%^,11972,138,Green,74,16260,58% ^Normal^,Normal,66% ^Normal^,Normal,86,Red,41,39,41,38,39,42,40,39,40,42,47,43,37,40,41,4% ^Increasing^,Red,2.97,Yellow
Connecticut,Connecticut 😷,Yellow,0.2% ^0.1% - 0.4%^,13023,242,Green,230,5662,50% ^Normal^,Normal,73% ^Elevated^,Elevated,48,Yellow,22,16,14,16,15,14,14,14,18,20,20,21,22,22,22,33% ^Increasing^,Red,8.09,Red
Delaware,Delaware 😷,Red,0.3% ^0.0% - 0.6%^,1446,99,Yellow,43,3380,80% ^Elevated^,Elevated,73% ^Elevated^,Elevated,105,Red,62,54,54,54,68,68,68,70,66,63,60,68,60,54,62,13% ^Increasing^,Red,3.17,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.0% ^-0.2% - 0.2%^,3500,329,Green,205,1711,76% ^Elevated^,Elevated,83% ^Constrained^,Constrained,73,Yellow,122,120,120,132,123,135,139,125,129,126,129,142,129,120,122,1% ^Increasing^,Red,4.15,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,24451,76,Yellow,26,93154,76% ^Elevated^,Elevated,56% ^Normal^,Normal,131,Red,107,147,147,143,135,131,125,122,123,120,115,111,111,106,107,-27% ^Decreasing^,Green,1.97,Yellow
Georgia,Georgia,Bruised Red,0.5% ^0.4% - 0.7%^,21231,133,Green,38,55822,78% ^Elevated^,Elevated,79% ^Elevated^,Elevated,159,Bruised Red,181,209,209,198,204,203,199,201,201,198,191,186,186,183,181,-13% ^Decreasing^,Green,2.16,Yellow
Hawaii,Hawaii,Yellow,0.4% ^0.0% - 0.7%^,3493,164,Green,100,3479,74% ^Elevated^,Elevated,75% ^Elevated^,Elevated,74,Yellow,131,187,187,182,170,170,155,155,159,159,157,148,139,141,131,-30% ^Decreasing^,Green,1.06,Yellow
Idaho,Idaho,Bruised Red,0.8% ^0.5% - 1.1%^,1780,66,Red,18,9806,46% ^Normal^,Normal,48% ^Normal^,Normal,166,Bruised Red,82,84,64,64,88,88,92,92,92,59,59,69,69,82,82,-3% ^Decreasing^,Green,1.18,Yellow
Illinois,Illinois 😷,Red,0.5% ^0.4% - 0.6%^,52770,276,Green,86,61239,55% ^Normal^,Normal,64% ^Normal^,Normal,146,Red,112,117,119,125,127,128,119,112,113,125,124,123,117,116,112,-5% ^Decreasing^,Green,3.14,Yellow
Indiana,Indiana 😷,Red,0.6% ^0.5% - 0.8%^,8994,89,Yellow,33,26876,62% ^Normal^,Normal,65% ^Normal^,Normal,121,Red,112,115,125,113,124,120,120,109,125,120,117,116,119,113,112,-2% ^Decreasing^,Green,3.14,Yellow
Iowa,Iowa,Bruised Red,0.9% ^0.6% - 1.2%^,4976,105,Green,20,24462,68% ^Normal^,Normal,62% ^Normal^,Normal,235,Bruised Red,85,99,103,102,96,89,92,87,86,90,92,86,89,89,85,-14% ^Decreasing^,Green,1.63,Yellow
Kansas,Kansas 😷,Bruised Red,0.6% ^0.4% - 0.9%^,3688,84,Yellow,20,18381,62% ^Normal^,Normal,59% ^Normal^,Normal,191,Bruised Red,98,61,61,109,109,48,48,48,66,66,95,95,98,98,98,62% ^Increasing^,Red,1.14,Yellow
Kentucky,Kentucky 😷,Red,0.4% ^0.2% - 0.6%^,17665,262,Green,82,21672,80% ^Constrained^,Constrained,67% ^Normal^,Normal,147,Red,111,113,114,125,126,123,131,131,113,119,126,115,112,111,111,-1% ^Decreasing^,Green,1.81,Yellow
Louisiana,Louisiana 😷,Red,0.7% ^0.4% - 0.9%^,16038,229,Green,88,18235,67% ^Normal^,Normal,68% ^Normal^,Normal,119,Red,128,169,172,168,164,156,156,146,143,143,146,143,139,139,128,-24% ^Decreasing^,Green,3.31,Yellow
Maine,Maine 😷,Green,0.3% ^0.1% - 0.6%^,6281,310,Green,310,2025,70% ^Normal^,Normal,68% ^Normal^,Normal,23,Green,12,6,5,7,8,7,7,8,7,7,7,9,8,10,12,100% ^Increasing^,Red,2.74,Yellow
Maryland,Maryland 😷,Red,0.4% ^0.2% - 0.6%^,10519,115,Green,55,19074,70% ^Elevated^,Elevated,79% ^Elevated^,Elevated,96,Red,46,60,60,61,59,61,60,58,57,61,57,58,57,54,46,-22% ^Decreasing^,Green,3.23,Yellow
Massachusetts,Massachusetts 😷,Yellow,0.3% ^0.1% - 0.4%^,56193,537,Green,439,12795,55% ^Normal^,Normal,72% ^Elevated^,Elevated,56,Yellow,52,46,47,49,51,47,48,45,43,45,51,54,49,52,52,13% ^Increasing^,Red,7.3,Red
Michigan,Michigan 😷,Yellow,0.4% ^0.3% - 0.5%^,29694,197,Green,125,23708,73% ^Elevated^,Elevated,75% ^Elevated^,Elevated,72,Yellow,56,62,62,62,63,63,63,63,59,59,59,59,56,56,56,-10% ^Decreasing^,Green,5.44,Red
Minnesota,Minnesota,Red,0.4% ^0.3% - 0.6%^,18697,220,Green,70,26900,73% ^Elevated^,Elevated,71% ^Elevated^,Elevated,145,Red,44,49,46,47,46,45,44,43,41,42,43,43,44,43,44,-10% ^Decreasing^,Green,2.24,Yellow
Mississippi,Mississippi 😷,Bruised Red,0.9% ^0.5% - 1.2%^,11481,256,Green,70,16453,71% ^Elevated^,Elevated,65% ^Normal^,Normal,168,Bruised Red,212,255,255,229,224,183,182,182,172,224,212,209,212,212,212,-17% ^Decreasing^,Green,3.01,Yellow
Missouri,Missouri,Bruised Red,1.0% ^0.7% - 1.2%^,11973,129,Green,25,47600,66% ^Normal^,Normal,62% ^Normal^,Normal,235,Bruised Red,173,152,152,152,152,152,169,158,165,166,161,157,167,164,173,14% ^Increasing^,Red,1.59,Yellow
Montana,Montana,Bruised Red,0.6% ^0.3% - 1.0%^,3241,201,Green,54,6025,60% ^Normal^,Normal,69% ^Normal^,Normal,171,Bruised Red,97,153,151,153,153,133,135,136,135,102,99,100,98,97,97,-36% ^Decreasing^,Green,1.52,Yellow
Nebraska,Nebraska,Bruised Red,0.6% ^0.3% - 1.0%^,3239,111,Green,26,12677,62% ^Normal^,Normal,64% ^Normal^,Normal,199,Bruised Red,90,90,89,93,94,92,86,84,87,91,86,91,97,96,90,-1% ^Decreasing^,Green,1.08,Yellow
Nevada,Nevada 😷,Red,0.6% ^0.2% - 0.9%^,3301,71,Red,31,10687,71% ^Elevated^,Elevated,69% ^Normal^,Normal,105,Red,144,194,175,179,168,155,155,155,154,157,158,157,150,144,144,-26% ^Decreasing^,Green,2.02,Yellow
New Hampshire,New Hampshire,Green,0.2% ^0.0% - 0.4%^,4106,200,Green,200,2049,50% ^Normal^,Normal,65% ^Normal^,Normal,26,Green,7,5,5,5,5,5,4,5,5,7,6,5,5,6,7,43% ^Increasing^,Red,5.51,Red
New Jersey,New Jersey 😷,Yellow,0.3% ^0.2% - 0.4%^,26323,197,Green,179,14746,53% ^Normal^,Normal,76% ^Elevated^,Elevated,50,Yellow,43,44,47,48,49,54,52,50,47,46,52,49,46,46,43,-2% ^Decreasing^,Green,8.04,Red
New Mexico,New Mexico 😷,Yellow,0.3% ^0.0% - 0.5%^,5741,182,Green,143,4012,59% ^Normal^,Normal,65% ^Normal^,Normal,58,Yellow,32,31,31,32,37,38,35,32,28,29,28,28,33,34,32,5% ^Increasing^,Red,3.08,Yellow
New York,New York 😷,Yellow,0.3% ^0.2% - 0.4%^,86308,294,Green,294,29309,62% ^Normal^,Normal,72% ^Elevated^,Elevated,41,Yellow,24,21,23,24,25,24,24,24,24,25,25,25,25,24,24,13% ^Increasing^,Red,5.65,Red
North Carolina,North Carolina,Red,0.6% ^0.5% - 0.8%^,26959,171,Green,66,40755,71% ^Elevated^,Elevated,76% ^Elevated^,Elevated,118,Red,85,73,79,87,88,89,83,79,85,87,88,85,86,84,85,16% ^Increasing^,Red,1.68,Yellow
North Dakota,North Dakota,Bruised Red,0.8% ^0.2% - 1.4%^,5576,486,Green,50,11225,47% ^Normal^,Normal,68% ^Normal^,Normal,446,Bruised Red,106,89,83,70,81,84,73,81,85,81,81,91,101,102,106,19% ^Increasing^,Red,0.79,Green
Ohio,Ohio 😷,Red,0.6% ^0.5% - 0.7%^,33067,188,Green,102,32547,68% ^Normal^,Normal,70% ^Normal^,Normal,84,Red,48,59,59,60,58,56,54,54,57,57,56,55,54,50,48,-18% ^Decreasing^,Green,3.2,Yellow
Oklahoma,Oklahoma,Bruised Red,0.9% ^0.6% - 1.1%^,11853,199,Green,34,35136,69% ^Normal^,Normal,63% ^Normal^,Normal,269,Bruised Red,132,119,119,117,130,129,126,126,126,142,133,130,130,132,132,11% ^Increasing^,Red,1.23,Yellow
Oregon,Oregon 😷,Red,0.5% ^0.3% - 0.7%^,3350,53,Red,49,6902,62% ^Normal^,Normal,73% ^Elevated^,Elevated,50,Yellow,34,35,36,35,38,38,38,38,32,37,41,34,34,34,34,-1% ^Decreasing^,Green,1.71,Yellow
Pennsylvania,Pennsylvania 😷,Red,0.4% ^0.3% - 0.5%^,14433,75,Red,46,31572,76% ^Elevated^,Elevated,75% ^Elevated^,Elevated,75,Yellow,31,39,40,38,38,38,37,36,37,38,38,36,41,37,31,-19% ^Decreasing^,Green,5.3,Red
Rhode Island,Rhode Island 😷,Yellow,0.4% ^0.0% - 0.8%^,5943,372,Green,242,2461,88% ^Severely constrained^,Severely constrained,87% ^Constrained^,Constrained,70,Yellow,80,69,69,77,72,76,76,76,76,76,79,83,80,80,80,16% ^Increasing^,Red,4.61,Yellow
South Carolina,South Carolina,Bruised Red,0.7% ^0.5% - 0.9%^,10638,137,Green,39,27550,73% ^Elevated^,Elevated,80% ^Constrained^,Constrained,162,Bruised Red,142,153,149,156,165,157,157,146,142,145,152,142,155,160,142,-7% ^Decreasing^,Green,2.32,Yellow
South Dakota,South Dakota,Bruised Red,1.0% ^0.4% - 1.6%^,1771,133,Green,18,9702,57% ^Normal^,Normal,65% ^Normal^,Normal,332,Bruised Red,192,88,77,86,94,111,123,124,124,150,157,156,163,173,192,118% ^Increasing^,Red,1.08,Yellow
Tennessee,Tennessee,Bruised Red,0.7% ^0.5% - 0.9%^,30140,293,Green,55,55110,73% ^Elevated^,Elevated,71% ^Elevated^,Elevated,244,Bruised Red,113,139,144,155,152,141,138,120,122,130,142,146,127,122,113,-19% ^Decreasing^,Green,1.21,Yellow
Texas,Texas 😷,Red,0.6% ^0.5% - 0.7%^,54320,124,Green,40,137186,81% ^Constrained^,Constrained,74% ^Elevated^,Elevated,143,Red,106,122,128,124,123,119,116,114,117,114,112,112,109,108,106,-13% ^Decreasing^,Green,2.16,Yellow
Utah,Utah,Bruised Red,0.5% ^0.3% - 0.7%^,5899,122,Green,21,27800,62% ^Normal^,Normal,61% ^Normal^,Normal,263,Bruised Red,58,47,44,43,51,53,55,56,53,56,43,53,57,55,58,23% ^Increasing^,Red,0.69,Green
Vermont,Vermont 😷,Green,0.2% ^-0.1% - 0.5%^,746,79,Yellow,79,940,67% ^Normal^,Normal,65% ^Normal^,Normal,7,Green,3,3,6,8,8,6,6,2,5,11,10,3,10,5,3,0% ^Decreasing^,Green,3.38,Yellow
