STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,1.1% ^0.8% - 1.4%^,6702,91,Yellow,16,42358,87% ^Severely constrained^,Severely constrained,77% ^Elevated^,Elevated,262,Bruised Red,196,225,238,218,223,234,224,220,215,204,201,198,205,202,196,-13% ^Decreasing^,Green,1.73,Yellow
Alaska,Alaska,Red,1.1% ^0.5% - 1.7%^,6011,545,Green,248,2423,53% ^Normal^,Normal,72% ^Elevated^,Elevated,100,Red,63,70,63,63,66,59,63,60,59,51,59,56,53,56,63,-10% ^Decreasing^,Green,0.63,Green
Arizona,Arizona,Red,0.5% ^0.3% - 0.6%^,6717,61,Red,42,16038,63% ^Normal^,Normal,79% ^Elevated^,Elevated,67,Yellow,103,147,147,144,133,125,137,133,123,111,112,104,106,100,103,-30% ^Decreasing^,Green,2.5,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.6% ^0.4% - 0.9%^,7739,170,Green,40,19277,68% ^Normal^,Normal,67% ^Normal^,Normal,194,Bruised Red,144,165,169,163,166,154,146,144,143,135,135,130,139,140,144,-13% ^Decreasing^,Green,1.35,Yellow
California,California 😷,Red,0.5% ^0.4% - 0.6%^,106802,179,Green,69,155350,69% ^Normal^,Normal,72% ^Elevated^,Elevated,119,Red,123,157,153,149,143,142,141,140,137,133,128,125,122,123,123,-22% ^Decreasing^,Green,1.85,Yellow
Colorado,Colorado,Yellow,0.5% ^0.3% - 0.6%^,8429,97,Yellow,91,9311,57% ^Normal^,Normal,63% ^Normal^,Normal,49,Yellow,41,41,41,41,45,39,42,42,44,37,39,42,42,42,41,-1% ^Decreasing^,Green,3.21,Yellow
Connecticut,Connecticut 😷,Green,0.3% ^0.2% - 0.5%^,15135,282,Green,282,5371,48% ^Normal^,Normal,74% ^Elevated^,Elevated,36,Green,18,13,15,15,15,16,17,16,16,17,17,17,15,16,18,38% ^Increasing^,Red,8.41,Red
Delaware,Delaware 😷,Red,0.1% ^0.0% - 0.3%^,1919,131,Green,72,2654,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,83,Red,64,41,38,45,45,39,41,51,59,59,63,56,60,66,64,55% ^Increasing^,Red,3.45,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.4% ^-0.1% - 1.0%^,3007,283,Green,180,1674,75% ^Elevated^,Elevated,86% ^Constrained^,Constrained,72,Yellow,103,111,111,115,113,120,123,109,118,118,108,98,99,101,103,-6% ^Decreasing^,Green,4.32,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,28712,89,Yellow,25,116537,75% ^Elevated^,Elevated,58% ^Normal^,Normal,164,Bruised Red,163,236,228,221,213,216,212,205,198,186,177,177,174,169,163,-31% ^Decreasing^,Green,1.84,Yellow
Georgia,Georgia,Bruised Red,0.9% ^0.7% - 1.0%^,18962,119,Green,29,66108,72% ^Elevated^,Elevated,81% ^Constrained^,Constrained,189,Bruised Red,233,236,227,222,222,221,213,210,201,249,243,234,232,234,233,-1% ^Decreasing^,Green,2.11,Yellow
Hawaii,Hawaii,Bruised Red,0.7% ^0.3% - 1.1%^,2718,127,Green,35,7868,63% ^Normal^,Normal,90% ^Constrained^,Constrained,168,Bruised Red,203,132,117,160,136,136,177,191,206,202,197,192,192,210,203,54% ^Increasing^,Red,0.86,Green
Idaho,Idaho,Bruised Red,1.0% ^0.6% - 1.3%^,2033,76,Yellow,23,8924,54% ^Normal^,Normal,50% ^Normal^,Normal,151,Bruised Red,91,115,115,107,107,107,90,90,98,98,101,101,101,91,91,-21% ^Decreasing^,Green,1.14,Yellow
Illinois,Illinois 😷,Red,0.6% ^0.4% - 0.7%^,41249,216,Green,66,62705,55% ^Normal^,Normal,66% ^Normal^,Normal,150,Red,126,120,120,117,114,121,122,124,129,122,123,116,118,119,126,5% ^Increasing^,Red,3.45,Yellow
Indiana,Indiana 😷,Red,0.7% ^0.5% - 0.8%^,10008,99,Yellow,33,30129,62% ^Normal^,Normal,62% ^Normal^,Normal,136,Red,132,137,128,131,133,135,147,141,131,129,131,131,131,126,132,-4% ^Decreasing^,Green,3.47,Yellow
Iowa,Iowa,Bruised Red,0.8% ^0.6% - 1.0%^,5121,108,Green,17,30219,59% ^Normal^,Normal,62% ^Normal^,Normal,290,Bruised Red,98,95,93,85,82,87,94,99,97,95,100,98,95,99,98,3% ^Increasing^,Red,1.74,Yellow
Kansas,Kansas 😷,Bruised Red,0.9% ^0.6% - 1.2%^,3450,79,Yellow,18,18871,63% ^Normal^,Normal,57% ^Normal^,Normal,196,Bruised Red,115,103,102,102,102,65,65,90,90,113,113,113,72,72,115,12% ^Increasing^,Red,1.04,Yellow
Kentucky,Kentucky 😷,Bruised Red,0.7% ^0.5% - 0.9%^,7689,114,Green,34,22445,79% ^Elevated^,Elevated,68% ^Normal^,Normal,152,Bruised Red,132,143,132,132,132,126,133,133,128,128,128,128,125,124,132,-8% ^Decreasing^,Green,1.93,Yellow
Louisiana,Louisiana 😷,Red,0.6% ^0.4% - 0.9%^,13674,195,Green,59,22996,66% ^Normal^,Normal,66% ^Normal^,Normal,150,Red,188,234,226,226,202,202,200,197,188,194,194,194,190,196,188,-20% ^Decreasing^,Green,3.34,Yellow
Maine,Maine 😷,Green,0.4% ^0.2% - 0.6%^,4434,219,Green,219,2025,71% ^Elevated^,Elevated,70% ^Elevated^,Elevated,19,Green,8,5,5,3,3,4,6,6,7,7,6,5,4,7,8,57% ^Increasing^,Red,2.91,Yellow
Maryland,Maryland 😷,Red,0.4% ^0.2% - 0.5%^,11782,129,Green,65,18070,72% ^Elevated^,Elevated,80% ^Constrained^,Constrained,91,Red,61,75,75,73,67,67,68,71,68,68,64,59,62,64,61,-19% ^Decreasing^,Green,3.44,Yellow
Massachusetts,Massachusetts 😷,Yellow,0.3% ^0.2% - 0.4%^,19648,188,Green,168,11724,53% ^Normal^,Normal,71% ^Elevated^,Elevated,51,Yellow,44,55,46,45,45,44,47,51,48,45,44,42,45,46,44,-19% ^Decreasing^,Green,7.48,Red
