STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,0.8% ^0.5% - 1.1%^,6447,87,Yellow,22,29799,81% ^Constrained^,Constrained,71% ^Elevated^,Elevated,184,Bruised Red,164,159,175,170,165,162,161,162,146,147,151,152,152,159,164,3% ^Increasing^,Red,1.67,Yellow
Alaska,Alaska,Red,0.4% ^0.0% - 0.7%^,3605,327,Green,135,2678,49% ^Normal^,Normal,51% ^Normal^,Normal,111,Red,64,56,55,57,60,44,48,51,60,62,56,49,56,59,64,15% ^Increasing^,Red,0.57,Green
Arizona,Arizona,Red,0.4% ^0.2% - 0.6%^,12900,118,Green,50,26051,55% ^Normal^,Normal,66% ^Normal^,Normal,108,Red,65,90,90,86,79,79,72,67,76,74,82,71,73,65,65,-28% ^Decreasing^,Green,2.56,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.9% ^0.5% - 1.2%^,12947,285,Green,48,27046,70% ^Normal^,Normal,67% ^Normal^,Normal,272,Bruised Red,145,136,136,130,130,130,126,125,129,128,129,126,123,134,145,7% ^Increasing^,Red,1.57,Yellow
California,California 😷,Red,0.4% ^0.3% - 0.5%^,123799,208,Green,110,112747,67% ^Normal^,Normal,71% ^Elevated^,Elevated,86,Red,88,109,112,107,102,97,95,93,95,93,92,90,89,87,88,-20% ^Decreasing^,Green,1.92,Yellow
Colorado,Colorado,Red,0.5% ^0.3% - 0.7%^,12035,139,Green,72,16656,58% ^Normal^,Normal,66% ^Normal^,Normal,88,Red,42,41,38,39,42,40,39,40,42,47,43,37,40,41,42,1% ^Increasing^,Red,2.95,Yellow
Connecticut,Connecticut 😷,Yellow,0.2% ^0.1% - 0.4%^,12540,233,Green,233,5371,50% ^Normal^,Normal,73% ^Elevated^,Elevated,45,Yellow,19,14,16,15,14,14,14,18,20,20,21,22,22,22,19,36% ^Increasing^,Red,8.02,Red
Delaware,Delaware 😷,Red,0.3% ^0.0% - 0.6%^,1530,104,Green,44,3441,80% ^Elevated^,Elevated,73% ^Elevated^,Elevated,107,Red,54,54,54,68,68,68,70,66,63,60,68,60,54,62,54,0% ^Decreasing^,Green,3.19,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.0% ^-0.2% - 0.2%^,3657,344,Green,218,1678,76% ^Elevated^,Elevated,83% ^Constrained^,Constrained,72,Yellow,125,120,132,123,135,139,125,129,126,129,142,129,120,122,125,4% ^Increasing^,Red,4.15,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,24607,76,Yellow,26,92914,76% ^Elevated^,Elevated,56% ^Normal^,Normal,131,Red,106,147,143,135,131,125,122,123,120,115,111,111,106,107,106,-28% ^Decreasing^,Green,1.97,Yellow
Georgia,Georgia,Bruised Red,0.5% ^0.4% - 0.7%^,22231,139,Green,39,56581,78% ^Elevated^,Elevated,79% ^Elevated^,Elevated,161,Bruised Red,186,209,198,204,203,199,201,201,198,191,186,186,183,181,186,-11% ^Decreasing^,Green,2.15,Yellow
Hawaii,Hawaii,Yellow,0.4% ^0.0% - 0.7%^,3127,147,Green,94,3314,74% ^Elevated^,Elevated,75% ^Elevated^,Elevated,71,Yellow,131,187,182,170,170,155,155,159,159,157,148,139,141,131,131,-30% ^Decreasing^,Green,1.05,Yellow
Idaho,Idaho,Bruised Red,0.8% ^0.5% - 1.1%^,1903,71,Red,18,10428,46% ^Normal^,Normal,48% ^Normal^,Normal,177,Bruised Red,82,64,64,88,88,92,92,92,59,59,69,69,82,82,82,28% ^Increasing^,Red,1.18,Yellow
Illinois,Illinois 😷,Red,0.5% ^0.4% - 0.6%^,53099,278,Green,86,61729,55% ^Normal^,Normal,64% ^Normal^,Normal,148,Red,113,119,125,127,128,119,112,113,125,124,123,117,116,112,113,-5% ^Decreasing^,Green,3.13,Yellow
Indiana,Indiana 😷,Red,0.6% ^0.5% - 0.8%^,8765,86,Yellow,34,25867,62% ^Normal^,Normal,65% ^Normal^,Normal,116,Red,114,125,113,124,120,120,109,125,120,117,116,119,113,112,114,-9% ^Decreasing^,Green,3.13,Yellow
Iowa,Iowa,Bruised Red,0.9% ^0.6% - 1.2%^,4994,105,Green,19,25754,68% ^Normal^,Normal,62% ^Normal^,Normal,247,Bruised Red,86,103,102,96,89,92,87,86,90,92,86,89,89,85,86,-17% ^Decreasing^,Green,1.63,Yellow
