STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,0.8% ^0.5% - 1.1%^,6053,82,Yellow,19,31444,81% ^Constrained^,Constrained,68% ^Normal^,Normal,194,Bruised Red,147,178,179,167,172,175,159,175,170,165,162,161,162,146,147,-17% ^Decreasing^,Green,1.7,Yellow
Alaska,Alaska,Red,0.4% ^0.0% - 0.7%^,2375,216,Green,88,2711,49% ^Normal^,Normal,49% ^Normal^,Normal,112,Red,62,59,59,49,56,49,56,55,57,60,44,48,51,60,62,5% ^Increasing^,Red,0.6,Green
Arizona,Arizona,Yellow,0.4% ^0.2% - 0.6%^,8466,77,Yellow,53,15868,50% ^Normal^,Normal,62% ^Normal^,Normal,66,Yellow,74,102,102,96,91,90,90,90,86,79,79,72,67,76,74,-28% ^Decreasing^,Green,2.56,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.9% ^0.5% - 1.2%^,12555,276,Green,54,23402,71% ^Elevated^,Elevated,67% ^Normal^,Normal,235,Bruised Red,128,141,133,128,129,132,136,136,130,130,130,126,125,129,128,-9% ^Decreasing^,Green,1.6,Yellow
California,California 😷,Red,0.4% ^0.3% - 0.5%^,93818,158,Green,85,110484,67% ^Normal^,Normal,70% ^Elevated^,Elevated,85,Red,93,116,111,107,107,108,109,112,107,102,97,95,93,95,93,-19% ^Decreasing^,Green,1.92,Yellow
Colorado,Colorado,Yellow,0.5% ^0.3% - 0.7%^,9995,115,Green,87,11432,54% ^Normal^,Normal,61% ^Normal^,Normal,60,Yellow,47,43,37,38,38,39,41,38,39,42,40,39,40,42,47,11% ^Increasing^,Red,3.07,Yellow
Connecticut,Connecticut 😷,Yellow,0.2% ^0.1% - 0.4%^,14508,270,Green,238,6105,50% ^Normal^,Normal,75% ^Elevated^,Elevated,52,Yellow,20,18,16,16,16,16,14,16,15,14,14,14,18,20,20,8% ^Increasing^,Red,8.13,Red
Delaware,Delaware 😷,Red,0.3% ^0.0% - 0.6%^,1705,116,Green,39,4365,73% ^Elevated^,Elevated,72% ^Elevated^,Elevated,136,Red,60,62,60,60,64,54,54,54,68,68,68,70,66,63,60,-3% ^Decreasing^,Green,3.22,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.0% ^-0.2% - 0.2%^,2940,277,Green,175,1678,77% ^Elevated^,Elevated,82% ^Constrained^,Constrained,72,Yellow,129,108,106,113,113,120,120,132,123,135,139,125,129,126,129,20% ^Increasing^,Red,4.19,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,21825,67,Red,24,89821,76% ^Elevated^,Elevated,53% ^Normal^,Normal,127,Red,115,160,156,150,147,147,147,143,135,131,125,122,123,120,115,-28% ^Decreasing^,Green,1.95,Yellow
Georgia,Georgia,Bruised Red,0.5% ^0.4% - 0.7%^,19187,120,Green,35,55482,79% ^Elevated^,Elevated,79% ^Elevated^,Elevated,158,Bruised Red,191,223,216,258,207,209,209,198,204,203,199,201,201,198,191,-14% ^Decreasing^,Green,2.15,Yellow
Hawaii,Hawaii,Red,0.4% ^0.0% - 0.7%^,3603,169,Green,93,3861,71% ^Elevated^,Elevated,73% ^Elevated^,Elevated,83,Red,157,195,196,187,187,187,187,182,170,170,155,155,159,159,157,-20% ^Decreasing^,Green,0.92,Green
Idaho,Idaho,Bruised Red,0.8% ^0.5% - 1.1%^,1587,59,Red,18,8622,51% ^Normal^,Normal,48% ^Normal^,Normal,146,Red,59,96,96,84,84,84,64,64,88,88,92,92,92,59,59,-39% ^Decreasing^,Green,1.18,Yellow
Illinois,Illinois 😷,Red,0.5% ^0.4% - 0.6%^,48081,252,Green,81,59532,52% ^Normal^,Normal,61% ^Normal^,Normal,142,Red,124,128,128,122,119,117,119,125,127,128,119,112,113,125,124,-3% ^Decreasing^,Green,3.21,Yellow
Indiana,Indiana 😷,Red,0.6% ^0.5% - 0.8%^,14839,146,Green,50,29813,61% ^Normal^,Normal,61% ^Normal^,Normal,134,Red,117,127,128,115,112,115,125,113,124,120,120,109,125,120,117,-8% ^Decreasing^,Green,3.22,Yellow
Iowa,Iowa,Bruised Red,0.9% ^0.6% - 1.2%^,4791,101,Green,22,21577,63% ^Normal^,Normal,59% ^Normal^,Normal,207,Bruised Red,92,102,100,100,98,99,103,102,96,89,92,87,86,90,92,-10% ^Decreasing^,Green,1.67,Yellow
Kansas,Kansas 😷,Bruised Red,0.6% ^0.4% - 0.9%^,3259,74,Red,20,16311,62% ^Normal^,Normal,56% ^Normal^,Normal,170,Bruised Red,95,115,108,108,108,61,61,109,109,48,48,48,66,66,95,-17% ^Decreasing^,Green,1.15,Yellow
Kentucky,Kentucky 😷,Bruised Red,0.4% ^0.2% - 0.6%^,21356,317,Green,95,22567,83% ^Constrained^,Constrained,66% ^Normal^,Normal,153,Bruised Red,126,127,128,120,120,113,114,125,126,123,131,131,113,119,126,-1% ^Decreasing^,Green,1.84,Yellow
Louisiana,Louisiana 😷,Red,0.7% ^0.4% - 0.9%^,16460,235,Green,88,18739,66% ^Normal^,Normal,65% ^Normal^,Normal,122,Red,146,183,174,174,170,169,172,168,164,156,156,146,143,143,146,-20% ^Decreasing^,Green,3.31,Yellow
Maine,Maine 😷,Green,0.3% ^0.1% - 0.6%^,4637,229,Green,229,2025,71% ^Elevated^,Elevated,67% ^Normal^,Normal,22,Green,7,7,7,4,4,6,5,7,8,7,7,8,7,7,7,11% ^Increasing^,Red,2.79,Yellow
Maryland,Maryland 😷,Red,0.4% ^0.2% - 0.6%^,9634,106,Green,47,20333,70% ^Elevated^,Elevated,78% ^Elevated^,Elevated,102,Red,57,63,65,58,56,60,60,61,59,61,60,58,57,61,57,-9% ^Decreasing^,Green,3.27,Yellow
Massachusetts,Massachusetts 😷,Yellow,0.3% ^0.1% - 0.4%^,47590,455,Green,395,12050,52% ^Normal^,Normal,69% ^Normal^,Normal,53,Yellow,51,45,48,47,45,46,47,49,51,47,48,45,43,45,51,13% ^Increasing^,Red,7.35,Red
Michigan,Michigan 😷,Red,0.4% ^0.3% - 0.5%^,30741,204,Green,111,27715,74% ^Elevated^,Elevated,73% ^Elevated^,Elevated,84,Red,59,62,62,62,62,62,62,62,63,63,63,63,59,59,59,-4% ^Decreasing^,Green,5.52,Red
