STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,0.8% ^0.5% - 1.1%^,5796,78,Yellow,19,30897,81% ^Constrained^,Constrained,68% ^Normal^,Normal,191,Bruised Red,146,196,178,179,167,172,175,159,175,170,165,162,161,162,146,-25% ^Decreasing^,Green,1.7,Yellow
Alaska,Alaska,Red,0.4% ^0.0% - 0.7%^,2210,201,Green,80,2777,49% ^Normal^,Normal,49% ^Normal^,Normal,115,Red,60,63,59,59,49,56,49,56,55,57,60,44,48,51,60,-4% ^Decreasing^,Green,0.6,Green
Arizona,Arizona,Red,0.4% ^0.2% - 0.6%^,6529,60,Red,44,14916,50% ^Normal^,Normal,62% ^Normal^,Normal,62,Yellow,76,103,102,102,96,91,90,90,90,86,79,79,72,67,76,-27% ^Decreasing^,Green,2.55,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.9% ^0.5% - 1.2%^,12627,278,Green,58,21686,71% ^Elevated^,Elevated,67% ^Normal^,Normal,218,Bruised Red,129,144,141,133,128,129,132,136,136,130,130,130,126,125,129,-11% ^Decreasing^,Green,1.42,Yellow
California,California 😷,Yellow,0.4% ^0.3% - 0.5%^,94317,158,Green,91,104195,67% ^Normal^,Normal,70% ^Elevated^,Elevated,80,Yellow,95,123,116,111,107,107,108,109,112,107,102,97,95,93,95,-23% ^Decreasing^,Green,1.9,Yellow
Colorado,Colorado,Yellow,0.5% ^0.3% - 0.7%^,9294,107,Green,89,10428,54% ^Normal^,Normal,61% ^Normal^,Normal,55,Yellow,42,41,43,37,38,38,39,41,38,39,42,40,39,40,42,1% ^Increasing^,Red,3.07,Yellow
Connecticut,Connecticut 😷,Yellow,0.2% ^0.1% - 0.4%^,14841,276,Green,252,5888,50% ^Normal^,Normal,75% ^Elevated^,Elevated,50,Yellow,20,18,18,16,16,16,16,14,16,15,14,14,14,18,20,9% ^Increasing^,Red,8.15,Red
Delaware,Delaware 😷,Red,0.3% ^0.0% - 0.6%^,1456,99,Green,37,3908,73% ^Elevated^,Elevated,72% ^Elevated^,Elevated,122,Red,63,64,62,60,60,64,54,54,54,68,68,68,70,66,63,-2% ^Decreasing^,Green,3.23,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.0% ^-0.2% - 0.2%^,2812,265,Green,184,1532,77% ^Elevated^,Elevated,82% ^Constrained^,Constrained,66,Yellow,126,103,108,106,113,113,120,120,132,123,135,139,125,129,126,22% ^Increasing^,Red,4.19,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,21711,67,Red,25,88412,76% ^Elevated^,Elevated,53% ^Normal^,Normal,125,Red,120,163,160,156,150,147,147,147,143,135,131,125,122,123,120,-27% ^Decreasing^,Green,1.94,Yellow
Georgia,Georgia,Bruised Red,0.5% ^0.4% - 0.7%^,17890,112,Green,33,54134,79% ^Elevated^,Elevated,79% ^Elevated^,Elevated,155,Bruised Red,198,233,223,216,258,207,209,209,198,204,203,199,201,201,198,-15% ^Decreasing^,Green,2.16,Yellow
Hawaii,Hawaii,Red,0.4% ^0.0% - 0.7%^,3556,167,Green,92,3866,71% ^Elevated^,Elevated,73% ^Elevated^,Elevated,83,Red,159,203,195,196,187,187,187,187,182,170,170,155,155,159,159,-22% ^Decreasing^,Green,0.92,Green
Idaho,Idaho,Bruised Red,0.8% ^0.5% - 1.1%^,1562,58,Red,18,8443,51% ^Normal^,Normal,48% ^Normal^,Normal,143,Red,59,91,96,96,84,84,84,64,64,88,88,92,92,92,59,-35% ^Decreasing^,Green,1.18,Yellow
Illinois,Illinois 😷,Red,0.5% ^0.4% - 0.6%^,47469,249,Green,84,56685,52% ^Normal^,Normal,61% ^Normal^,Normal,136,Red,125,126,128,128,122,119,117,119,125,127,128,119,112,113,125,-1% ^Decreasing^,Green,3.22,Yellow
Indiana,Indiana 😷,Red,0.6% ^0.5% - 0.8%^,14838,146,Green,49,30402,61% ^Normal^,Normal,61% ^Normal^,Normal,137,Red,120,132,127,128,115,112,115,125,113,124,120,120,109,125,120,-9% ^Decreasing^,Green,3.23,Yellow
