STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,0.8% ^0.5% - 1.1%^,5596,76,Yellow,19,29191,82% ^Constrained^,Constrained,68% ^Normal^,Normal,180,Bruised Red,151,179,167,172,175,159,175,170,165,162,161,162,146,147,151,-16% ^Decreasing^,Green,1.69,Yellow
Alaska,Alaska,Red,0.4% ^0.0% - 0.7%^,3255,295,Green,124,2621,49% ^Normal^,Normal,45% ^Normal^,Normal,109,Red,56,59,49,56,49,56,55,57,60,44,48,51,60,62,56,-5% ^Decreasing^,Green,0.59,Green
Arizona,Arizona,Red,0.4% ^0.2% - 0.6%^,11450,104,Green,52,21959,50% ^Normal^,Normal,61% ^Normal^,Normal,91,Red,82,102,96,91,90,90,90,86,79,79,72,67,76,74,82,-20% ^Decreasing^,Green,2.56,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.9% ^0.5% - 1.2%^,12240,269,Green,48,25495,68% ^Normal^,Normal,64% ^Normal^,Normal,256,Bruised Red,129,133,128,129,132,136,136,130,130,130,126,125,129,128,129,-3% ^Decreasing^,Green,1.59,Yellow
California,California 😷,Red,0.4% ^0.3% - 0.5%^,98578,166,Green,90,110013,64% ^Normal^,Normal,68% ^Normal^,Normal,84,Red,92,111,107,107,108,109,112,107,102,97,95,93,95,93,92,-18% ^Decreasing^,Green,1.92,Yellow
Colorado,Colorado,Yellow,0.5% ^0.3% - 0.7%^,10654,123,Green,82,13040,53% ^Normal^,Normal,58% ^Normal^,Normal,69,Yellow,43,37,38,38,39,41,38,39,42,40,39,40,42,47,43,18% ^Increasing^,Red,3.04,Yellow
Connecticut,Connecticut 😷,Yellow,0.2% ^0.1% - 0.4%^,14116,263,Green,232,6096,49% ^Normal^,Normal,71% ^Elevated^,Elevated,52,Yellow,21,16,16,16,16,14,16,15,14,14,14,18,20,20,21,29% ^Increasing^,Red,8.1,Red
Delaware,Delaware 😷,Red,0.3% ^0.0% - 0.6%^,1496,102,Green,37,4017,70% ^Normal^,Normal,69% ^Normal^,Normal,125,Red,68,60,60,64,54,54,54,68,68,68,70,66,63,60,68,14% ^Increasing^,Red,3.2,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.0% ^-0.2% - 0.2%^,3161,297,Green,177,1782,73% ^Elevated^,Elevated,79% ^Elevated^,Elevated,77,Yellow,142,106,113,113,120,120,132,123,135,139,125,129,126,129,142,33% ^Increasing^,Red,4.19,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,22959,71,Red,25,92989,74% ^Elevated^,Elevated,53% ^Normal^,Normal,131,Red,111,156,150,147,147,147,143,135,131,125,122,123,120,115,111,-29% ^Decreasing^,Green,1.96,Yellow
