STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,1.1% ^0.8% - 1.4%^,8287,112,Green,17,48906,87% ^Severely constrained^,Severely constrained,77% ^Elevated^,Elevated,302,Bruised Red,202,244,225,238,218,223,234,224,220,215,204,201,198,205,202,-17% ^Decreasing^,Green,1.72,Yellow
Alaska,Alaska,Red,1.1% ^0.5% - 1.7%^,5775,524,Green,248,2329,53% ^Normal^,Normal,72% ^Elevated^,Elevated,96,Red,56,77,70,63,63,66,59,63,60,59,51,59,56,53,56,-27% ^Decreasing^,Green,0.63,Green
Arizona,Arizona,Red,0.5% ^0.3% - 0.6%^,6684,61,Red,46,14468,63% ^Normal^,Normal,79% ^Elevated^,Elevated,60,Yellow,100,159,147,147,144,133,125,137,133,123,111,112,104,106,100,-37% ^Decreasing^,Green,2.49,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.6% ^0.4% - 0.9%^,8120,179,Green,42,19437,68% ^Normal^,Normal,67% ^Normal^,Normal,195,Bruised Red,140,165,165,169,163,166,154,146,144,143,135,135,130,139,140,-15% ^Decreasing^,Green,1.32,Yellow
California,California 😷,Red,0.5% ^0.4% - 0.6%^,101170,170,Green,62,163595,69% ^Normal^,Normal,72% ^Elevated^,Elevated,125,Red,123,164,157,153,149,143,142,141,140,137,133,128,125,122,123,-25% ^Decreasing^,Green,1.84,Yellow
Colorado,Colorado,Yellow,0.5% ^0.3% - 0.6%^,8904,103,Green,91,9820,57% ^Normal^,Normal,63% ^Normal^,Normal,52,Yellow,42,45,41,41,41,45,39,42,42,44,37,39,42,42,42,-8% ^Decreasing^,Green,3.22,Yellow
Connecticut,Connecticut 😷,Green,0.3% ^0.2% - 0.5%^,15662,292,Green,292,5371,48% ^Normal^,Normal,74% ^Elevated^,Elevated,39,Green,16,14,13,15,15,15,16,17,16,16,17,17,17,15,16,14% ^Increasing^,Red,8.43,Red
Delaware,Delaware 😷,Red,0.1% ^0.0% - 0.3%^,1871,128,Green,69,2701,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,84,Red,66,33,41,38,45,45,39,41,51,59,59,63,56,60,66,100% ^Increasing^,Red,3.45,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.4% ^-0.1% - 1.0%^,3032,285,Green,176,1721,75% ^Elevated^,Elevated,86% ^Constrained^,Constrained,74,Yellow,101,119,111,111,115,113,120,123,109,118,118,108,98,99,101,-15% ^Decreasing^,Green,4.32,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,29906,92,Yellow,25,120393,75% ^Elevated^,Elevated,58% ^Normal^,Normal,170,Bruised Red,169,247,236,228,221,213,216,212,205,198,186,177,177,174,169,-32% ^Decreasing^,Green,1.83,Yellow
