STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,0.8% ^0.5% - 1.1%^,6561,89,Yellow,22,30285,81% ^Constrained^,Constrained,71% ^Elevated^,Elevated,187,Bruised Red,162,175,170,165,162,161,162,146,147,151,152,152,159,164,162,-7% ^Decreasing^,Green,1.68,Yellow
Alaska,Alaska,Red,0.9% ^0.2% - 1.5%^,3438,312,Green,127,2701,49% ^Normal^,Normal,51% ^Normal^,Normal,112,Red,59,55,57,60,44,48,51,60,62,56,49,56,59,64,59,8% ^Increasing^,Red,0.57,Green
Arizona,Arizona,Red,0.5% ^0.3% - 0.7%^,12621,115,Green,47,26574,55% ^Normal^,Normal,66% ^Normal^,Normal,111,Red,72,90,86,79,79,72,67,76,74,82,71,73,65,65,72,-20% ^Decreasing^,Green,2.56,Yellow
Arkansas,Arkansas 😷,Bruised Red,1.2% ^0.8% - 1.5%^,7615,167,Green,29,26513,70% ^Normal^,Normal,67% ^Normal^,Normal,266,Bruised Red,150,136,130,130,130,126,125,129,128,129,126,123,134,145,150,10% ^Increasing^,Red,1.57,Yellow
California,California 😷,Red,0.4% ^0.3% - 0.5%^,125126,210,Green,109,114609,67% ^Normal^,Normal,71% ^Elevated^,Elevated,88,Red,89,112,107,102,97,95,93,95,93,92,90,89,87,88,89,-20% ^Decreasing^,Green,1.92,Yellow
Colorado,Colorado,Red,0.4% ^0.2% - 0.5%^,12067,139,Green,69,17443,58% ^Normal^,Normal,66% ^Normal^,Normal,92,Red,42,38,39,42,40,39,40,42,47,43,37,40,41,42,42,10% ^Increasing^,Red,2.93,Yellow
Connecticut,Connecticut 😷,Yellow,0.2% ^0.1% - 0.3%^,12722,237,Green,237,5371,50% ^Normal^,Normal,73% ^Elevated^,Elevated,45,Yellow,20,16,15,14,14,14,18,20,20,21,22,22,22,19,20,23% ^Increasing^,Red,8.01,Red
Delaware,Delaware 😷,Red,0.4% ^0.0% - 0.8%^,1525,104,Green,52,2942,80% ^Elevated^,Elevated,73% ^Elevated^,Elevated,92,Red,64,54,68,68,68,70,66,63,60,68,60,54,62,54,64,17% ^Increasing^,Red,3.18,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.0% ^-0.3% - 0.3%^,3622,341,Green,230,1575,76% ^Elevated^,Elevated,83% ^Constrained^,Constrained,68,Yellow,135,132,123,135,139,125,129,126,129,142,129,120,122,125,135,2% ^Increasing^,Red,4.13,Yellow
Florida,Florida,Bruised Red,0.5% ^0.4% - 0.6%^,23356,72,Red,26,89868,76% ^Elevated^,Elevated,56% ^Normal^,Normal,127,Red,108,143,135,131,125,122,123,120,115,111,111,106,107,106,108,-25% ^Decreasing^,Green,1.97,Yellow
Georgia,Georgia,Bruised Red,0.6% ^0.4% - 0.8%^,22048,138,Green,41,53686,78% ^Elevated^,Elevated,79% ^Elevated^,Elevated,153,Bruised Red,185,198,204,203,199,201,201,198,191,186,186,183,181,186,185,-7% ^Decreasing^,Green,2.17,Yellow
Hawaii,Hawaii,Yellow,0.8% ^0.3% - 1.4%^,2953,138,Green,92,3206,74% ^Elevated^,Elevated,75% ^Elevated^,Elevated,69,Yellow,131,182,170,170,155,155,159,159,157,148,139,141,131,131,131,-28% ^Decreasing^,Green,1.05,Yellow
Idaho,Idaho,Bruised Red,0.3% ^0.1% - 0.6%^,1935,72,Red,17,11168,46% ^Normal^,Normal,48% ^Normal^,Normal,189,Bruised Red,73,64,88,88,92,92,92,59,59,69,69,82,82,82,73,14% ^Increasing^,Red,1.18,Yellow
Illinois,Illinois 😷,Red,0.5% ^0.4% - 0.7%^,53499,280,Green,86,62035,55% ^Normal^,Normal,64% ^Normal^,Normal,148,Red,115,125,127,128,119,112,113,125,124,123,117,116,112,113,115,-8% ^Decreasing^,Green,3.12,Yellow
Indiana,Indiana 😷,Red,0.6% ^0.4% - 0.8%^,8673,86,Yellow,34,25443,62% ^Normal^,Normal,65% ^Normal^,Normal,115,Red,113,113,124,120,120,109,125,120,117,116,119,113,112,114,113,-1% ^Decreasing^,Green,3.13,Yellow
Iowa,Iowa,Bruised Red,1.0% ^0.7% - 1.3%^,5067,107,Green,19,26447,68% ^Normal^,Normal,62% ^Normal^,Normal,254,Bruised Red,90,102,96,89,92,87,86,90,92,86,89,89,85,86,90,-11% ^Decreasing^,Green,1.63,Yellow
Kansas,Kansas 😷,Bruised Red,0.6% ^0.4% - 0.9%^,3759,86,Yellow,20,19140,62% ^Normal^,Normal,59% ^Normal^,Normal,199,Bruised Red,74,109,109,48,48,48,66,66,95,95,98,98,98,74,74,-32% ^Decreasing^,Green,1.11,Yellow
Kentucky,Kentucky 😷,Bruised Red,0.6% ^0.3% - 0.8%^,9738,145,Green,44,22303,80% ^Constrained^,Constrained,67% ^Normal^,Normal,151,Bruised Red,114,125,126,123,131,131,113,119,126,115,112,111,111,111,114,-8% ^Decreasing^,Green,1.78,Yellow
