STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Georgia,Georgia,Bruised Red,Decreasing,-26% ^Decreasing^,-26,290781,3396,3270,3106,2919,2834,2727,2547,2582,2534,2436,2417,2485,2382,2373,2333,2249,2219,2146,2031,2049,2003,2031,1997,1970,2032,1905,1808,1811,1691,1632,Minimal ^Level 1^,0.8% ^0.7% - 1.0%^,Green,18028,33,74% ^Elevated^,75% ^Elevated^,0.9 ^0.8 - 1.0^,121.0,69.14,67.43,68.0,67.29,69.14,67.86,65.71,57.29,61.86,58.86,48.14,47.57,48.0,45.0
Hawaii,Hawaii,Red,Decreasing,-38% ^Decreasing^,-38,10292,221,200,204,211,221,225,236,219,219,218,219,223,253,196,202,246,251,255,248,213,238,247,234,235,222,217,212,196,162,156,Minimal ^Level 1^,0.2% ^0.0% - 0.4%^,Green,4680,91,58% ^Normal^,67% ^Normal^,0.8 ^0.6 - 0.9^,43.0,1.86,2.14,2.29,3.0,3.57,3.43,3.43,3.14,3.14,3.14,2.29,2.0,2.29,2.14
Idaho,Idaho,Bruised Red,Decreasing,-16% ^Decreasing^,-16,34617,489,462,464,426,427,406,390,366,356,314,312,313,304,307,298,286,288,288,288,288,270,269,258,259,257,257,236,230,235,241,Minimal ^Level 1^,0.9% ^0.5% - 1.3%^,Green,1441,18,46% ^Normal^,45% ^Normal^,0.9 ^0.8 - 1.1^,97.0,7.0,7.43,7.43,6.71,6.0,5.0,4.14,4.14,3.71,3.71,3.43,3.0,4.86,5.0
Illinois,Illinois 😷,Red,Decreasing,-6% ^Decreasing^,-6,259883,1717,1745,1693,1719,1784,1811,1904,1904,1903,1979,2026,2003,1994,1975,1957,1977,1909,1923,1931,1904,1900,1851,2302,2434,2350,2309,2295,2182,2267,1798,Minimal ^Level 1^,0.7% ^0.5% - 0.8%^,Green,46087,78,49% ^Normal^,57% ^Normal^,0.9 ^0.8 - 1.0^,98.0,19.14,19.86,19.71,21.0,19.57,19.71,22.29,24.0,23.14,23.29,18.86,19.0,19.57,20.43
Indiana,Indiana 😷,Red,Decreasing,-21% ^Decreasing^,-21,103505,936,911,913,870,859,855,831,816,812,806,788,941,939,1003,1032,999,1017,1054,943,924,913,907,939,932,927,885,841,819,770,803,Minimal ^Level 1^,0.8% ^0.6% - 1.0%^,Green,9382,35,57% ^Normal^,56% ^Normal^,0.9 ^0.8 - 1.0^,87.0,9.57,10.14,10.14,10.14,9.43,9.43,10.43,11.0,10.43,10.29,9.71,10.29,11.14,10.0
Iowa,Iowa,Bruised Red,Decreasing,-25% ^Decreasing^,-25,71133,425,438,501,520,522,517,497,526,582,563,550,559,620,707,824,852,859,921,956,946,916,820,806,842,796,765,746,694,697,646,Very High ^Level 12^,1.1% ^0.8% - 1.3%^,Bruised Red,4466,21,60% ^Normal^,54% ^Normal^,0.8 ^0.7 - 0.9^,74.0,11.0,11.0,10.29,10.14,8.43,7.43,6.57,7.57,7.43,7.43,8.14,9.71,10.29,10.0
Kansas,Kansas 😷,Bruised Red,Decreasing,-24% ^Decreasing^,-24,48386,404,464,464,464,491,491,478,478,424,424,424,462,462,578,578,599,599,599,602,602,572,572,596,596,596,615,615,496,496,452,Minimal ^Level 1^,0.7% ^0.5% - 1.0%^,Green,3104,21,59% ^Normal^,54% ^Normal^,0.9 ^0.8 - 1.0^,72.0,3.43,3.43,2.86,2.86,3.0,3.0,5.43,5.43,5.43,5.57,5.57,5.29,5.29,4.29
Kentucky,Kentucky 😷,Red,Decreasing,-24% ^Decreasing^,-24,55704,633,643,622,619,634,644,569,563,567,476,602,601,610,615,622,642,759,643,642,660,680,701,703,698,677,667,591,569,555,575,Minimal ^Level 1^,0.5% ^0.3% - 0.7%^,Green,7307,38,78% ^Elevated^,62% ^Normal^,0.9 ^0.8 - 1.0^,65.0,8.14,7.0,6.86,7.57,9.14,9.43,9.86,10.29,9.43,9.0,7.0,6.71,8.43,8.14
Louisiana,Louisiana 😷,Red,Decreasing,-9% ^Decreasing^,-9,157109,1170,1142,1142,931,932,857,800,769,712,712,718,726,713,823,788,746,746,804,761,781,725,744,775,775,742,740,678,737,687,677,Minimal ^Level 1^,0.8% ^0.5% - 1.0%^,Green,15016,67,64% ^Normal^,62% ^Normal^,1.0 ^0.9 - 1.1^,158.0,31.0,26.43,26.57,26.71,21.86,21.0,18.71,18.71,23.14,22.14,19.14,19.43,20.0,23.86
Maine,Maine 😷,Green,Decreasing,-7% ^Decreasing^,-7,4792,13,14,17,18,21,23,23,23,24,25,24,23,22,22,23,22,25,25,24,26,25,29,28,25,24,25,24,24,20,23,Minimal ^Level 1^,0.3% ^0.1% - 0.6%^,Green,4772,236,66% ^Normal^,61% ^Normal^,0.9 ^0.5 - 1.3^,143.0,0.29,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.14,0.14,0.0
Maryland,Maryland 😷,Red,Flat,3% ^Flat^,3,114724,736,724,730,673,637,627,609,581,575,547,556,565,544,548,548,538,539,527,511,545,548,564,595,616,618,662,625,608,581,556,Minimal ^Level 1^,0.3% ^0.2% - 0.5%^,Green,8773,48,70% ^Normal^,75% ^Elevated^,1.0 ^0.9 - 1.1^,141.0,8.71,8.71,8.71,7.71,7.0,8.0,7.57,7.14,6.71,7.0,6.57,7.14,6.57,5.57
Massachusetts,Massachusetts 😷,Yellow,Decreasing,-17% ^Decreasing^,-17,123986,349,320,312,309,300,269,345,344,384,352,309,373,405,334,342,338,381,410,359,353,305,311,276,275,299,288,262,287,286,318,Minimal ^Level 1^,0.3% ^0.2% - 0.4%^,Green,43577,415,50% ^Normal^,78% ^Elevated^,0.9 ^0.8 - 1.0^,268.0,16.43,18.29,16.0,14.86,10.43,10.0,11.0,11.43,10.86,10.43,11.0,12.29,12.71,11.43
Michigan,Michigan 😷,Red,Increasing,17% ^Increasing^,17,122251,743,751,799,790,778,741,772,680,556,609,650,705,748,770,818,931,727,817,763,740,713,700,737,865,666,768,726,771,801,851,Minimal ^Level 1^,0.5% ^0.4% - 0.6%^,Green,27829,99,70% ^Normal^,68% ^Normal^,1.0 ^0.9 - 1.1^,97.0,8.14,12.71,12.86,11.86,13.0,12.14,12.29,13.43,8.29,8.14,6.29,15.14,14.71,14.57
Minnesota,Minnesota,Red,Decreasing,-30% ^Decreasing^,-30,82716,622,648,616,608,600,603,616,616,630,636,633,655,664,660,726,730,770,801,795,807,836,819,818,803,771,766,750,683,589,536,Minimal ^Level 1^,0.6% ^0.4% - 0.8%^,Green,6322,36,68% ^Normal^,63% ^Normal^,0.8 ^0.7 - 0.9^,105.0,8.0,7.43,7.0,6.71,5.71,4.86,5.71,5.71,6.29,6.57,6.0,5.57,6.71,7.14
Mississippi,Mississippi 😷,Bruised Red,Decreasing,-32% ^Decreasing^,-32,89175,798,785,730,709,680,702,740,780,770,788,823,856,857,794,749,710,680,683,649,625,608,632,664,636,602,597,542,491,458,462,Minimal ^Level 1^,1.0% ^0.6% - 1.3%^,Green,4425,29,72% ^Elevated^,62% ^Normal^,0.8 ^0.7 - 0.9^,131.0,27.14,28.71,32.14,25.43,21.86,19.57,20.71,20.29,20.43,16.0,13.14,13.86,17.14,16.0
Missouri,Missouri,Bruised Red,Increasing,13% ^Increasing^,13,99160,1059,1127,1288,1442,1238,1212,1164,1134,1099,1123,1086,1046,1031,1055,1120,1147,1133,1226,1250,1303,1307,1291,1318,1430,1397,1378,1337,1323,1283,1278,Minimal ^Level 2^,0.9% ^0.7% - 1.2%^,Green,10692,25,62% ^Normal^,55% ^Normal^,1.0 ^0.9 - 1.1^,51.0,10.14,11.71,14.86,14.0,13.29,13.57,14.0,20.43,21.43,18.43,17.57,18.71,20.86,19.86
Montana,Montana,Red,Decreasing,-12% ^Decreasing^,-12,8785,115,112,110,114,111,106,98,95,96,102,97,100,111,118,122,121,125,130,133,126,129,135,137,130,132,128,125,111,113,109,Minimal ^Level 1^,0.5% ^0.2% - 0.9%^,Green,2096,58,62% ^Normal^,73% ^Elevated^,1.0 ^0.8 - 1.1^,53.0,2.0,2.0,1.86,1.14,1.57,1.86,2.0,1.71,1.86,2.0,2.0,1.86,1.71,2.43
Nebraska,Nebraska,Red,Increasing,5% ^Increasing^,5,37373,251,263,269,285,277,267,256,257,241,234,220,217,212,218,241,250,259,282,308,320,318,324,338,318,293,263,241,272,275,272,Minimal ^Level 1^,1.3% ^0.9% - 1.8%^,Green,2889,32,54% ^Normal^,54% ^Normal^,1.1 ^0.9 - 1.2^,93.0,2.29,2.29,2.0,2.0,2.29,1.86,1.86,1.71,1.71,1.71,1.0,1.0,3.14,3.71
Nevada,Nevada 😷,Red,Decreasing,-38% ^Decreasing^,-38,72806,728,745,741,725,714,731,711,705,669,637,614,578,539,520,519,488,485,472,460,460,458,429,409,377,386,391,353,341,332,299,Minimal ^Level 1^,0.8% ^0.4% - 1.1%^,Green,3495,35,69% ^Normal^,69% ^Normal^,0.8 ^0.6 - 0.9^,166.0,15.0,15.0,15.0,11.86,12.29,13.14,12.57,12.29,12.43,12.57,11.43,10.86,9.43,9.14
New Hampshire,New Hampshire,Yellow,Increasing,64% ^Increasing^,64,7620,29,26,23,22,23,22,21,18,18,16,17,19,19,18,21,24,22,21,20,21,20,22,22,25,28,29,28,28,32,36,Minimal ^Level 1^,0.2% ^0.0% - 0.4%^,Green,1433,70,49% ^Normal^,60% ^Normal^,1.2 ^0.9 - 1.5^,144.0,0.43,0.43,0.43,0.43,0.29,0.14,0.0,0.0,0.14,0.14,0.14,0.14,0.29,0.29
New Jersey,New Jersey 😷,Green,Increasing,18% ^Increasing^,18,195888,413,443,430,383,391,375,356,276,236,256,291,279,275,268,298,308,298,302,320,324,327,337,350,347,350,347,340,342,349,352,Minimal ^Level 1^,0.2% ^0.1% - 0.3%^,Green,25152,188,48% ^Normal^,72% ^Elevated^,1.1 ^1.0 - 1.2^,383.0,5.57,5.71,6.43,6.57,6.71,6.71,6.43,7.0,7.0,6.14,6.14,6.43,6.14,6.43
New Mexico,New Mexico 😷,Yellow,Decreasing,-35% ^Decreasing^,-35,26429,179,173,171,170,156,151,134,133,138,134,143,141,138,137,140,138,135,125,127,126,132,126,127,123,124,118,113,103,94,88,Minimal ^Level 1^,0.4% ^0.2% - 0.6%^,Green,4315,137,54% ^Normal^,58% ^Normal^,0.8 ^0.6 - 1.1^,205.0,4.0,3.71,3.57,4.57,5.29,5.0,3.86,3.86,4.43,4.71,4.0,2.86,3.29,3.57
New York,New York 😷,Green,Increasing,14% ^Increasing^,14,442791,645,646,651,664,654,653,643,623,621,609,604,604,600,591,618,608,605,623,659,677,697,711,743,767,772,752,724,705,686,689,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,75978,259,58% ^Normal^,67% ^Normal^,1.0 ^0.9 - 1.1^,443.0,5.29,5.57,4.71,4.86,4.43,4.86,5.14,4.43,4.57,4.71,5.14,4.86,4.86,4.86
North Carolina,North Carolina,Red,Decreasing,-30% ^Decreasing^,-30,182286,1365,1337,1277,1248,1239,1269,1267,1297,1392,1419,1452,1554,1566,1579,1596,1511,1634,1573,1560,1669,1653,1590,1680,1534,1539,1515,1316,1283,1221,1147,Minimal ^Level 1^,0.6% ^0.4% - 0.7%^,Green,24223,64,64% ^Normal^,68% ^Normal^,0.8 ^0.7 - 0.9^,108.0,23.14,23.0,23.86,24.43,24.71,24.71,26.71,29.43,28.29,27.86,24.0,25.57,26.71,26.29
North Dakota,North Dakota,Bruised Red,Flat,-2% ^Flat^,-2,14684,142,143,134,142,134,128,143,153,165,184,183,193,207,213,222,233,250,262,260,254,259,263,267,265,276,284,267,263,259,245,Minimal ^Level 1^,0.8% ^0.3% - 1.4%^,Green,4229,52,48% ^Normal^,59% ^Normal^,1.0 ^0.9 - 1.1^,39.0,0.86,0.86,0.86,1.0,0.71,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14
Ohio,Ohio 😷,Red,Flat,-4% ^Flat^,-4,135326,1136,1126,1101,1063,1047,1014,948,940,927,927,931,941,939,958,975,1011,1025,1066,1072,1159,1169,1183,1189,1206,1185,1168,1055,1028,996,983,Minimal ^Level 1^,0.5% ^0.4% - 0.6%^,Green,24233,75,63% ^Normal^,63% ^Normal^,0.9 ^0.8 - 1.0^,93.0,21.57,21.43,21.71,24.14,18.86,21.43,20.43,18.57,18.71,19.71,19.0,21.14,18.29,22.14
Oklahoma,Oklahoma,Bruised Red,Increasing,18% ^Increasing^,18,67642,672,663,674,682,678,657,646,652,693,686,689,687,692,702,697,645,679,694,744,747,754,782,826,833,798,784,808,830,810,800,Minimal ^Level 1^,0.9% ^0.7% - 1.2%^,Green,8622,33,61% ^Normal^,55% ^Normal^,1.0 ^0.9 - 1.1^,56.0,10.29,10.43,10.0,9.29,8.29,8.14,8.57,7.57,7.71,7.57,6.43,6.0,5.86,6.0
Oregon,Oregon 😷,Yellow,Decreasing,-20% ^Decreasing^,-20,28865,296,282,287,284,280,272,264,266,258,242,239,243,245,243,228,233,226,231,223,222,215,225,221,223,213,211,201,199,188,181,Minimal ^Level 1^,0.4% ^0.2% - 0.5%^,Green,4116,65,58% ^Normal^,67% ^Normal^,0.9 ^0.7 - 1.0^,108.0,5.29,5.86,5.57,5.29,5.0,4.57,4.0,3.71,3.29,3.29,3.0,3.71,3.86,3.43
Pennsylvania,Pennsylvania 😷,Red,Increasing,19% ^Increasing^,19,142885,800,810,815,801,770,757,717,688,669,661,655,661,637,627,602,623,629,637,650,680,725,802,810,827,830,834,795,811,729,746,Minimal ^Level 3^,0.4% ^0.3% - 0.5%^,Green,11482,47,71% ^Elevated^,68% ^Normal^,1.0 ^0.9 - 1.1^,130.0,13.57,13.57,13.43,12.29,12.57,13.86,12.43,12.71,12.43,15.29,14.29,13.29,12.57,13.57
Rhode Island,Rhode Island 😷,Red,Flat,-3% ^Flat^,-3,22905,90,85,87,87,91,91,95,90,98,105,107,104,97,94,103,94,97,91,92,90,89,79,80,90,88,89,84,85,91,95,Minimal ^Level 1^,0.7% ^0.2% - 1.1%^,Green,8309,266,80% ^Elevated^,97% ^Constrained^,1.1 ^0.9 - 1.3^,165.0,1.71,1.71,1.86,1.57,1.43,1.57,1.29,1.57,1.57,1.57,1.29,1.57,1.71,2.29
South Carolina,South Carolina,Bruised Red,Flat,-4% ^Flat^,-4,129046,1016,946,917,866,828,792,777,773,791,773,784,800,831,812,754,796,851,905,920,908,916,1014,1053,1006,947,945,866,816,699,817,Minimal ^Level 1^,0.7% ^0.5% - 0.9%^,Green,8927,33,73% ^Elevated^,74% ^Elevated^,0.8 ^0.7 - 0.9^,107.0,29.29,29.29,29.86,32.57,31.57,25.57,27.29,25.57,25.43,26.71,22.14,21.14,24.0,26.0
South Dakota,South Dakota,Bruised Red,Decreasing,-16% ^Decreasing^,-16,16117,89,93,92,96,100,104,107,113,123,145,143,152,159,184,215,233,258,292,298,313,307,306,297,278,255,256,236,224,214,217,Minimal ^Level 1^,1.3% ^0.7% - 1.9%^,Green,1239,17,45% ^Normal^,56% ^Normal^,0.9 ^0.7 - 1.0^,49.0,1.0,0.86,0.86,0.86,1.0,1.0,0.71,0.86,0.86,0.86,0.86,0.57,1.14,1.0
Tennessee,Tennessee,Bruised Red,Decreasing,-9% ^Decreasing^,-9,169859,1737,1668,1595,1571,1547,1552,1630,1523,1484,1477,1461,1409,1377,1365,1429,1424,1457,1311,1476,1559,1497,1481,1397,1440,1573,1454,1346,1251,1242,1323,Minimal ^Level 1^,0.7% ^0.6% - 0.9%^,Green,19592,45,68% ^Normal^,65% ^Normal^,0.9 ^0.8 - 1.0^,87.0,23.14,25.71,23.71,21.86,21.29,20.29,19.43,19.57,16.86,16.43,16.43,19.14,24.71,26.86
Texas,Texas 😷,Red,Decreasing,-33% ^Decreasing^,-33,653356,6584,6581,6765,7031,7448,7087,7205,6998,6712,6329,5994,5348,5214,4983,5025,4884,4770,4688,4655,4372,4219,3944,4152,4112,3994,3914,3494,3446,3495,3218,Minimal ^Level 1^,0.7% ^0.6% - 0.8%^,Green,47755,45,72% ^Elevated^,68% ^Normal^,0.8 ^0.7 - 0.9^,138.0,164.86,162.86,163.0,157.86,152.14,145.86,137.86,141.14,137.43,136.57,124.57,117.43,108.86,109.43
Utah,Utah,Bruised Red,Increasing,9% ^Increasing^,9,56675,358,372,367,361,358,344,347,365,353,356,352,353,373,379,368,358,370,391,392,377,378,396,413,409,401,418,422,407,385,405,Minimal ^Level 1^,0.7% ^0.4% - 0.9%^,Green,4013,30,56% ^Normal^,51% ^Normal^,1.0 ^0.9 - 1.1^,95.0,3.14,3.14,2.43,1.71,1.29,1.57,1.71,1.86,2.14,2.29,2.14,2.43,2.29,1.71
Vermont,Vermont 😷,Green,Low case count,Low case count,-50,1668,6,8,8,8,9,8,8,8,6,6,6,6,6,6,7,7,7,8,8,9,9,7,8,6,5,4,3,3,3,4,Minimal ^Level 1^,0.5% ^0.0% - 1.0%^,Green,911,97,50% ^Normal^,55% ^Normal^,0.5 ^-0.5 - 1.5^,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,Virginia,Red,Flat,2% ^Flat^,2,131640,1108,994,937,943,953,934,928,894,860,903,897,887,908,920,797,962,962,969,995,997,1012,1173,1027,988,1026,997,970,964,980,980,Minimal ^Level 1^,0.6% ^0.4% - 0.7%^,Green,13460,42,66% ^Normal^,59% ^Normal^,1.0 ^0.9 - 1.1^,91.0,17.86,14.57,15.57,16.86,18.0,19.57,16.0,15.57,15.57,14.86,10.57,8.0,8.0,7.0
Washington,Washington 😷,Yellow,Increasing,85% ^Increasing^,85,79011,559,554,551,544,521,509,504,480,454,431,419,330,245,168,170,184,243,380,377,422,462,459,450,433,359,416,371,439,441,451,Minimal ^Level 1^,0.5% ^0.3% - 0.6%^,Green,13808,93,61% ^Normal^,56% ^Normal^,1.0 ^0.9 - 1.1^,119.0,7.86,6.86,6.0,6.86,7.86,7.86,7.86,6.86,6.86,6.86,5.43,6.71,7.14,6.57
West Virginia,West Virginia,Red,Increasing,45% ^Increasing^,45,12174,125,120,128,124,125,122,113,119,113,104,101,97,95,106,93,108,112,120,134,159,157,173,173,189,186,189,165,167,167,162,Minimal ^Level 1^,0.7% ^0.4% - 1.0%^,Green,3269,61,69% ^Normal^,62% ^Normal^,1.1 ^0.9 - 1.2^,49.0,5.14,5.0,5.0,5.0,5.71,5.43,5.86,4.43,4.71,4.71,4.0,3.43,2.86,2.86
Wisconsin,Wisconsin,Bruised Red,Increasing,43% ^Increasing^,43,91625,805,808,762,773,766,757,783,754,724,740,708,701,697,708,729,731,715,728,707,757,727,703,799,819,865,909,868,915,1037,1023,Minimal ^Level 1^,0.6% ^0.4% - 0.7%^,Green,7285,22,50% ^Normal^,56% ^Normal^,1.1 ^1.0 - 1.2^,60.0,5.43,5.86,5.86,5.29,6.0,5.0,5.71,7.0,6.57,6.57,5.29,5.86,6.71,6.29
Wyoming,Wyoming,Yellow,Increasing,14% ^Increasing^,14,4264,23,26,31,34,41,41,49,50,49,45,42,39,39,36,36,34,34,34,34,33,32,31,32,32,30,27,34,34,37,39,Minimal ^Level 1^,0.9% ^0.3% - 1.4%^,Green,1151,89,37% ^Normal^,35% ^Normal^,1.1 ^0.8 - 1.4^,73.0,0.0,0.0,0.0,0.57,0.57,0.57,0.71,0.71,0.71,0.71,0.14,0.14,0.14,0.0
Puerto Rico,Puerto Rico,Bruised Red,Decreasing,-21% ^Decreasing^,-21,36581,645,635,610,555,563,616,551,528,531,555,556,551,430,401,463,449,425,422,369,386,466,402,322,277,241,311,298,215,297,334,Low ^Level 5^,,Green,334,3,58% ^Normal^,52% ^Normal^,0.9 ^0.8 - 1.1^,73.0,6.71,6.29,6.29,5.71,5.57,5.14,4.43,5.14,6.14,6.14,6.71,8.14,9.14,9.71
United States,United States,Red,Decreasing,-16% ^Decreasing^,-16,6408790,53015,52197,52542,51379,50770,48639,47045,45892,44584,43168,42461,41991,41356,41210,41244,41249,40991,41273,40819,41688,40892,41006,41728,41791,40878,40495,37610,36557,35534,34589,N/A ^Not Available^,,Green,697559,61,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,,931.43,917.57,921.0,903.43,866.0,857.71,853.86,839.86,835.86,815.43,720.14,728.0,742.0,745.0
