STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Increasing,6% ^Increasing^,6,145780,947,1101,983,1111,1225,1345,1337,1454,1335,1482,1284,1180,1173,1131,1011,988,856,883,897,901,835,920,927,936,953,885,880,931,887,903,Minimal ^Level 1^,0.8% ^0.5% - 1.1%^,Green,6447,22,81% ^Constrained^,71% ^Elevated^,0.9 ^0.8 - 1.0^,109.0,11.0,9.71,9.71,9.57,10.71,10.71,11.29,15.71,15.29,14.29,13.57,12.43,12.29,12.0
Alaska,Alaska,Red,Flat,1% ^Flat^,1,7838,71,74,70,67,67,74,77,75,71,71,73,77,78,76,81,81,81,80,82,79,81,77,83,84,82,79,80,78,82,81,Insufficient Data ^Level 0^,0.4% ^0.0% - 0.7%^,Green,3605,135,49% ^Normal^,51% ^Normal^,1.0 ^0.8 - 1.2^,64.0,0.43,0.43,0.29,0.43,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.14,0.14,0.14
Arizona,Arizona,Red,Increasing,49% ^Increasing^,49,214251,652,630,622,557,551,537,485,508,489,438,486,545,575,604,586,590,529,526,436,406,373,392,394,452,481,665,774,775,787,789,Minimal ^Level 1^,0.4% ^0.2% - 0.6%^,Green,12900,50,55% ^Normal^,66% ^Normal^,1.2 ^1.1 - 1.3^,186.0,25.29,26.57,20.43,16.71,15.43,14.43,14.71,17.57,17.14,19.43,23.29,21.71,22.0,22.29
Arkansas,Arkansas 😷,Bruised Red,Increasing,9% ^Increasing^,9,76364,558,545,555,544,569,562,597,612,619,589,584,680,728,693,624,722,751,735,614,615,641,713,621,657,709,773,728,779,786,820,Minimal ^Level 1^,0.9% ^0.5% - 1.2%^,Green,12947,48,70% ^Normal^,67% ^Normal^,1.0 ^0.9 - 1.1^,62.0,14.71,12.43,11.29,11.43,12.43,12.43,12.0,13.29,32.71,32.29,31.43,29.14,28.57,29.29
California,California 😷,Red,Decreasing,-21% ^Decreasing^,-21,781694,6015,5798,5775,5753,5540,5503,5278,5177,5067,4957,4708,4807,4775,4771,4605,4450,4302,3925,3670,3415,3294,3254,3220,3157,3348,3334,3377,3405,3354,3417,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,123799,110,67% ^Normal^,71% ^Elevated^,0.9 ^0.8 - 1.0^,156.0,105.71,96.86,93.0,85.57,86.86,88.57,94.14,99.0,110.57,106.14,103.29,94.43,94.0,90.43
Colorado,Colorado,Red,Increasing,71% ^Increasing^,71,64857,292,281,282,310,299,302,312,308,297,298,282,289,278,269,278,293,295,271,272,271,262,274,293,316,346,395,423,465,493,505,Minimal ^Level 1^,0.5% ^0.3% - 0.7%^,Green,12035,72,58% ^Normal^,66% ^Normal^,1.2 ^1.1 - 1.3^,87.0,2.43,2.14,4.14,4.0,3.29,3.29,3.29,4.0,5.29,3.29,3.14,3.43,3.43,3.43
Connecticut,Connecticut 😷,Yellow,Increasing,45% ^Increasing^,45,56024,89,106,112,129,131,139,139,139,124,138,127,123,124,124,124,69,111,109,126,137,137,137,219,178,185,185,172,172,172,161,Minimal ^Level 1^,0.2% ^0.1% - 0.4%^,Green,12540,233,50% ^Normal^,73% ^Elevated^,1.2 ^1.1 - 1.4^,238.0,1.14,1.0,1.43,1.71,1.71,1.71,2.43,1.57,1.86,1.43,1.71,1.71,1.71,1.43
Delaware,Delaware 😷,Red,Decreasing,-6% ^Decreasing^,-6,19667,63,58,53,49,37,45,74,64,70,82,80,97,96,78,100,117,110,108,116,102,119,115,98,118,132,122,129,103,102,104,Minimal ^Level 1^,0.3% ^0.0% - 0.6%^,Green,1530,44,80% ^Elevated^,73% ^Elevated^,1.1 ^0.9 - 1.2^,128.0,0.57,0.43,1.0,1.0,0.71,0.86,1.14,1.29,1.43,0.86,1.0,1.14,0.86,1.43
District of Columbia,District of Columbia 😷,Yellow,Increasing,14% ^Increasing^,14,14978,53,52,51,53,55,55,56,53,50,52,51,49,48,45,46,46,45,44,40,44,45,45,44,46,51,54,51,50,52,51,Minimal ^Level 1^,0.0% ^-0.2% - 0.2%^,Green,3657,218,76% ^Elevated^,83% ^Constrained^,1.0 ^0.8 - 1.3^,202.0,0.57,1.0,1.0,0.71,0.71,0.71,0.71,0.71,0.29,0.43,0.43,0.43,0.57,0.71
Florida,Florida,Bruised Red,Flat,3% ^Flat^,3,685439,3879,3819,3653,3525,3341,3217,3058,3002,2949,3648,3531,3575,3486,3552,3549,3543,2722,2672,2531,2596,2529,2509,2494,2679,2722,2818,2754,2809,2823,2816,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,24607,26,76% ^Elevated^,56% ^Normal^,1.0 ^0.9 - 1.1^,166.0,78.0,88.29,97.43,107.86,113.29,109.0,111.0,125.57,118.71,109.29,104.14,99.14,99.29,97.14
