STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Decreasing,-37% ^Decreasing^,-37,139459,1014,855,930,956,985,923,993,947,1101,983,1111,1225,1345,1337,1454,1335,1482,1284,1180,1173,1131,1011,988,856,883,897,901,835,920,927,Minimal ^Level 1^,0.9% ^0.6% - 1.1%^,Green,5651,18,80% ^Constrained^,64% ^Normal^,0.9 ^0.8 - 1.0^,102.0,23.29,24.57,22.43,22.71,17.57,16.29,13.43,11.0,9.71,9.71,9.57,10.71,10.71,11.29
Alaska,Alaska,Red,Increasing,17% ^Increasing^,17,7270,84,82,84,85,83,76,77,71,74,70,67,67,74,77,75,71,71,73,77,78,76,81,81,81,80,82,79,81,77,83,Insufficient Data ^Level 0^,0.4% ^0.0% - 0.8%^,Green,2113,77,44% ^Normal^,43% ^Normal^,1.1 ^0.9 - 1.3^,58.0,0.43,0.29,0.43,0.43,0.71,0.71,0.71,0.43,0.43,0.29,0.43,0.29,0.29,0.29
Arizona,Arizona,Red,Decreasing,-10% ^Decreasing^,-10,208725,945,926,883,873,784,740,749,652,630,622,557,551,537,485,508,489,438,486,545,575,604,586,590,529,526,436,406,373,392,394,Minimal ^Level 1^,0.6% ^0.4% - 0.7%^,Green,5324,41,54% ^Normal^,61% ^Normal^,0.9 ^0.8 - 1.0^,364.0,36.0,24.14,28.71,27.57,28.57,27.29,27.14,25.29,26.57,20.43,16.71,15.43,14.43,14.71
Arkansas,Arkansas 😷,Bruised Red,Increasing,5% ^Increasing^,5,70627,469,436,439,443,428,466,601,558,545,555,544,569,562,597,612,619,589,584,680,728,693,624,722,751,735,614,615,641,713,621,Minimal ^Level 1^,0.8% ^0.5% - 1.1%^,Green,7922,39,63% ^Normal^,60% ^Normal^,1.0 ^0.9 - 1.1^,76.0,14.71,15.57,17.43,16.71,15.71,15.71,15.86,14.71,12.43,11.29,11.43,12.43,12.43,12.0
California,California 😷,Red,Decreasing,-35% ^Decreasing^,-35,757778,9629,9446,8322,7539,7373,7037,6172,6015,5798,5775,5753,5540,5503,5278,5177,5067,4957,4708,4807,4775,4771,4605,4450,4302,3925,3670,3415,3294,3254,3220,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,92557,87,66% ^Normal^,68% ^Normal^,0.8 ^0.7 - 0.9^,161.0,108.71,108.0,111.0,114.29,115.57,114.86,113.29,105.71,96.86,93.0,85.57,86.86,88.57,94.14
Colorado,Colorado,Yellow,Flat,-2% ^Flat^,-2,61324,359,359,333,313,306,287,293,292,281,282,310,299,302,312,308,297,298,282,289,278,269,278,293,295,271,272,271,262,274,293,Minimal ^Level 1^,0.6% ^0.4% - 0.8%^,Green,9232,96,53% ^Normal^,57% ^Normal^,1.0 ^0.9 - 1.1^,143.0,3.57,3.86,2.57,3.71,3.29,3.29,3.29,2.43,2.14,4.14,4.0,3.29,3.29,3.29
Connecticut,Connecticut 😷,Yellow,Increasing,58% ^Increasing^,58,54895,82,100,82,87,93,89,89,89,106,112,129,131,139,139,139,124,138,127,123,124,124,124,69,111,109,126,137,137,137,219,Minimal ^Level 1^,0.2% ^0.1% - 0.3%^,Green,20333,282,49% ^Normal^,73% ^Elevated^,1.1 ^0.9 - 1.2^,172.0,0.43,0.57,0.43,0.43,0.43,0.43,0.43,1.14,1.0,1.43,1.71,1.71,1.71,2.43
Delaware,Delaware 😷,Red,Increasing,20% ^Increasing^,20,18937,125,129,128,135,107,61,62,63,58,53,49,37,45,74,64,70,82,80,97,96,78,100,117,110,108,116,102,119,115,98,Minimal ^Level 1^,0.5% ^0.1% - 0.9%^,Green,1415,44,71% ^Elevated^,68% ^Normal^,1.2 ^1.0 - 1.3^,131.0,0.29,0.29,0.29,0.29,0.57,0.71,0.57,0.57,0.43,1.0,1.0,0.71,0.86,1.14
District of Columbia,District of Columbia 😷,Yellow,Decreasing,-16% ^Decreasing^,-16,14622,67,67,61,56,55,50,54,53,52,51,53,55,55,56,53,50,52,51,49,48,45,46,46,45,44,40,44,45,45,44,Minimal ^Level 1^,0.0% ^-0.2% - 0.2%^,Green,2633,182,70% ^Normal^,75% ^Elevated^,1.0 ^0.7 - 1.3^,229.0,0.43,0.43,0.57,0.86,0.86,0.71,0.57,0.57,1.0,1.0,0.71,0.71,0.71,0.71
Florida,Florida,Bruised Red,Decreasing,-32% ^Decreasing^,-32,665730,5801,5590,5306,4735,4495,4286,3994,3879,3819,3653,3525,3341,3217,3058,3002,2949,3648,3531,3575,3486,3552,3549,3543,2722,2672,2531,2596,2529,2509,2494,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,19903,24,73% ^Elevated^,55% ^Normal^,0.9 ^0.8 - 1.0^,183.0,114.86,111.29,112.71,114.86,102.0,105.43,98.86,78.0,88.29,97.43,107.86,113.29,109.0,111.0
Georgia,Georgia,Bruised Red,Decreasing,-20% ^Decreasing^,-20,295337,2919,2834,2727,2547,2582,2534,2436,2417,2485,2382,2373,2333,2249,2219,2146,2031,2049,2003,2031,1997,1970,2032,1905,1808,1811,1691,1632,1622,1588,1647,Minimal ^Level 1^,0.8% ^0.6% - 0.9%^,Green,19196,35,74% ^Elevated^,75% ^Elevated^,0.9 ^0.8 - 1.0^,122.0,67.29,69.14,67.86,65.71,57.29,61.86,58.86,48.14,47.57,48.0,45.0,44.29,42.29,44.14
Hawaii,Hawaii,Red,Decreasing,-43% ^Decreasing^,-43,10700,211,221,225,236,219,219,218,219,223,253,196,202,246,251,255,248,213,238,247,234,235,222,217,212,196,162,156,141,128,121,Minimal ^Level 1^,0.3% ^0.0% - 0.6%^,Green,3518,88,58% ^Normal^,67% ^Normal^,0.8 ^0.7 - 1.0^,59.0,3.0,3.57,3.43,3.43,3.14,3.14,3.14,2.29,2.0,2.29,2.14,2.14,1.86,2.0
Idaho,Idaho,Bruised Red,Decreasing,-20% ^Decreasing^,-20,35279,426,427,406,390,366,356,314,312,313,304,307,298,286,288,288,288,288,270,269,258,259,257,257,236,230,235,241,251,241,230,Minimal ^Level 1^,0.9% ^0.5% - 1.3%^,Green,1489,20,46% ^Normal^,45% ^Normal^,1.0 ^0.8 - 1.1^,104.0,6.71,6.0,5.0,4.14,4.14,3.71,3.71,3.43,3.0,4.86,5.0,4.29,4.43,4.29
Illinois,Illinois 😷,Red,Decreasing,-10% ^Decreasing^,-10,264839,1719,1784,1811,1904,1904,1903,1979,2026,2003,1994,1975,1957,1977,1909,1923,1931,1904,1900,1851,2302,2434,2350,2309,2295,2182,2267,1798,1700,1708,1707,Minimal ^Level 1^,0.6% ^0.5% - 0.8%^,Green,46374,82,49% ^Normal^,57% ^Normal^,1.0 ^0.9 - 1.1^,105.0,21.0,19.57,19.71,22.29,24.0,23.14,23.29,18.86,19.0,19.57,20.43,20.29,21.57,21.14
Indiana,Indiana 😷,Red,Decreasing,-5% ^Decreasing^,-5,106540,870,859,855,831,816,812,806,788,941,939,1003,1032,999,1017,1054,943,924,913,907,939,932,927,885,841,819,770,803,800,857,878,Minimal ^Level 1^,0.8% ^0.6% - 1.0%^,Green,14389,50,57% ^Normal^,56% ^Normal^,1.0 ^0.9 - 1.1^,82.0,10.14,9.43,9.43,10.43,11.0,10.43,10.29,9.71,10.29,11.14,10.0,10.71,10.57,10.14
Iowa,Iowa,Bruised Red,Decreasing,-37% ^Decreasing^,-37,72876,520,522,517,497,526,582,563,550,559,620,707,824,852,859,921,956,946,916,820,806,842,796,765,746,694,697,646,581,600,599,Very High ^Level 12^,1.0% ^0.7% - 1.4%^,Bruised Red,4399,22,60% ^Normal^,54% ^Normal^,0.9 ^0.7 - 1.0^,82.0,10.14,8.43,7.43,6.57,7.57,7.43,7.43,8.14,9.71,10.29,10.0,8.0,7.57,8.0
Kansas,Kansas 😷,Bruised Red,Decreasing,-29% ^Decreasing^,-29,49899,464,491,491,478,478,424,424,424,462,462,578,578,599,599,599,602,602,572,572,596,596,596,615,615,496,496,452,452,452,426,Minimal ^Level 1^,0.7% ^0.4% - 1.0%^,Green,3099,22,59% ^Normal^,54% ^Normal^,0.9 ^0.8 - 1.0^,79.0,2.86,3.0,3.0,5.43,5.43,5.43,5.57,5.57,5.29,5.29,4.29,4.29,4.29,7.0
Kentucky,Kentucky 😷,Red,Decreasing,-9% ^Decreasing^,-9,57282,619,634,644,569,563,567,476,602,601,610,615,622,642,759,643,642,660,680,701,703,698,677,667,591,569,555,575,564,596,603,Minimal ^Level 1^,0.5% ^0.3% - 0.7%^,Green,18192,91,78% ^Elevated^,62% ^Normal^,1.0 ^0.9 - 1.1^,63.0,7.57,9.14,9.43,9.86,10.29,9.43,9.0,7.0,6.71,8.43,8.14,9.14,9.14,9.86
