STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Decreasing,-10% ^Decreasing^,-10,144962,993,947,1101,983,1111,1225,1345,1337,1454,1335,1482,1284,1180,1173,1131,1011,988,856,883,897,901,835,920,927,936,953,885,880,931,887,Minimal ^Level 1^,0.8% ^0.5% - 1.1%^,Green,6256,21,81% ^Constrained^,71% ^Elevated^,0.9 ^0.8 - 1.0^,111.0,13.43,11.0,9.71,9.71,9.57,10.71,10.71,11.29,15.71,15.29,14.29,13.57,12.43,12.29
Alaska,Alaska,Red,Flat,2% ^Flat^,2,7767,77,71,74,70,67,67,74,77,75,71,71,73,77,78,76,81,81,81,80,82,79,81,77,83,84,82,79,80,78,82,Insufficient Data ^Level 0^,0.4% ^0.0% - 0.7%^,Green,3673,136,49% ^Normal^,51% ^Normal^,1.0 ^0.8 - 1.2^,63.0,0.71,0.43,0.43,0.29,0.43,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.14,0.14
Arizona,Arizona,Red,Increasing,33% ^Increasing^,33,214018,749,652,630,622,557,551,537,485,508,489,438,486,545,575,604,586,590,529,526,436,406,373,392,394,452,481,665,774,775,787,Minimal ^Level 1^,0.4% ^0.2% - 0.6%^,Green,12541,48,55% ^Normal^,66% ^Normal^,1.2 ^1.1 - 1.3^,186.0,27.14,25.29,26.57,20.43,16.71,15.43,14.43,14.71,17.57,17.14,19.43,23.29,21.71,22.0
Arkansas,Arkansas 😷,Bruised Red,Increasing,9% ^Increasing^,9,75723,601,558,545,555,544,569,562,597,612,619,589,584,680,728,693,624,722,751,735,614,615,641,713,621,657,709,773,728,625,786,Minimal ^Level 1^,0.9% ^0.5% - 1.2%^,Green,12754,49,70% ^Normal^,67% ^Normal^,1.0 ^0.9 - 1.1^,64.0,15.86,14.71,12.43,11.29,11.43,12.43,12.43,12.0,13.29,32.71,32.29,31.43,29.14,28.57
California,California 😷,Red,Decreasing,-25% ^Decreasing^,-25,778400,6172,6015,5798,5775,5753,5540,5503,5278,5177,5067,4957,4708,4807,4775,4771,4605,4450,4302,3925,3670,3415,3294,3254,3220,3157,3348,3334,3377,3405,3354,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,119020,108,67% ^Normal^,71% ^Elevated^,0.9 ^0.8 - 1.0^,158.0,113.29,105.71,96.86,93.0,85.57,86.86,88.57,94.14,99.0,110.57,106.14,103.29,94.43,94.0
Colorado,Colorado,Red,Increasing,68% ^Increasing^,68,64356,293,292,281,282,310,299,302,312,308,297,298,282,289,278,269,278,293,295,271,272,271,262,274,293,316,346,395,423,465,493,Minimal ^Level 1^,0.5% ^0.3% - 0.7%^,Green,11972,74,58% ^Normal^,66% ^Normal^,1.2 ^1.1 - 1.3^,88.0,3.29,2.43,2.14,4.14,4.0,3.29,3.29,3.29,4.0,5.29,3.29,3.14,3.43,3.43
Connecticut,Connecticut 😷,Yellow,Increasing,147% ^Increasing^,147,55527,89,89,106,112,129,131,139,139,139,124,138,127,123,124,124,124,69,111,109,126,137,137,137,219,178,185,185,172,172,172,Minimal ^Level 1^,0.2% ^0.1% - 0.4%^,Green,13023,230,50% ^Normal^,73% ^Elevated^,1.2 ^1.1 - 1.4^,222.0,0.43,1.14,1.0,1.43,1.71,1.71,1.71,2.43,1.57,1.86,1.43,1.71,1.71,1.71
Delaware,Delaware 😷,Red,Decreasing,-13% ^Decreasing^,-13,19566,62,63,58,53,49,37,45,74,64,70,82,80,97,96,78,100,117,110,108,116,102,119,115,98,118,132,122,129,103,102,Minimal ^Level 1^,0.3% ^0.0% - 0.6%^,Green,1446,43,80% ^Elevated^,73% ^Elevated^,1.1 ^0.9 - 1.2^,130.0,0.57,0.57,0.43,1.0,1.0,0.71,0.86,1.14,1.29,1.43,0.86,1.0,1.14,0.86
District of Columbia,District of Columbia 😷,Yellow,Increasing,12% ^Increasing^,12,14955,54,53,52,51,53,55,55,56,53,50,52,51,49,48,45,46,46,45,44,40,44,45,45,44,46,51,54,51,50,52,Minimal ^Level 1^,0.0% ^-0.2% - 0.2%^,Green,3500,205,76% ^Elevated^,83% ^Constrained^,1.0 ^0.8 - 1.3^,197.0,0.57,0.57,1.0,1.0,0.71,0.71,0.71,0.71,0.71,0.29,0.43,0.43,0.43,0.57
Florida,Florida,Bruised Red,Decreasing,-20% ^Decreasing^,-20,683754,3994,3879,3819,3653,3525,3341,3217,3058,3002,2949,3648,3531,3575,3486,3552,3549,3543,2722,2672,2531,2596,2529,2509,2494,2679,2722,2818,2754,2809,2823,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,24451,26,76% ^Elevated^,56% ^Normal^,1.0 ^0.9 - 1.1^,165.0,98.86,78.0,88.29,97.43,107.86,113.29,109.0,111.0,125.57,118.71,109.29,104.14,99.14,99.29
Georgia,Georgia,Bruised Red,Decreasing,-11% ^Decreasing^,-11,306155,2436,2417,2485,2382,2373,2333,2249,2219,2146,2031,2049,2003,2031,1997,1970,2032,1905,1808,1811,1691,1632,1622,1588,1647,1640,1681,1683,1708,1731,1692,Minimal ^Level 1^,0.5% ^0.4% - 0.7%^,Green,21231,38,78% ^Elevated^,79% ^Elevated^,1.0 ^0.9 - 1.1^,123.0,58.86,48.14,47.57,48.0,45.0,44.29,42.29,44.14,46.86,41.57,38.57,41.57,44.57,38.43
Hawaii,Hawaii,Yellow,Decreasing,-51% ^Decreasing^,-51,11326,218,219,223,253,196,202,246,251,255,248,213,238,247,234,235,222,217,212,196,162,156,141,128,121,117,117,118,116,108,105,Minimal ^Level 1^,0.4% ^0.0% - 0.7%^,Green,3493,100,74% ^Elevated^,75% ^Elevated^,0.7 ^0.5 - 0.9^,72.0,3.14,2.29,2.0,2.29,2.14,2.14,1.86,2.0,1.86,1.71,1.71,1.86,3.43,3.29
Idaho,Idaho,Bruised Red,Increasing,16% ^Increasing^,16,37247,314,312,313,304,307,298,286,288,288,288,288,270,269,258,259,257,257,236,230,235,241,251,241,230,256,261,255,267,287,297,Minimal ^Level 1^,0.8% ^0.5% - 1.1%^,Green,1780,18,46% ^Normal^,48% ^Normal^,1.0 ^0.9 - 1.2^,84.0,3.71,3.43,3.0,4.86,5.0,4.29,4.43,4.29,4.86,4.86,3.29,3.86,3.71,3.71
Illinois,Illinois 😷,Red,Decreasing,-20% ^Decreasing^,-20,276456,1979,2026,2003,1994,1975,1957,1977,1909,1923,1931,1904,1900,1851,2302,2434,2350,2309,2295,2182,2267,1798,1700,1708,1707,1718,1804,1819,1806,1864,1856,Minimal ^Level 1^,0.5% ^0.4% - 0.6%^,Green,52770,86,55% ^Normal^,64% ^Normal^,1.0 ^0.9 - 1.1^,101.0,23.29,18.86,19.0,19.57,20.43,20.29,21.57,21.14,22.71,23.71,23.29,20.29,20.71,20.71
Indiana,Indiana 😷,Red,Decreasing,-8% ^Decreasing^,-8,111505,806,788,941,939,1003,1032,999,1017,1054,943,924,913,907,939,932,927,885,841,819,770,803,800,857,878,921,903,915,883,885,814,Minimal ^Level 1^,0.6% ^0.5% - 0.8%^,Green,8994,33,62% ^Normal^,65% ^Normal^,0.9 ^0.8 - 1.0^,92.0,10.29,9.71,10.29,11.14,10.0,10.71,10.57,10.14,11.43,10.71,9.71,10.71,9.43,9.71
Iowa,Iowa,Bruised Red,Flat,-3% ^Flat^,-3,77679,563,550,559,620,707,824,852,859,921,956,946,916,820,806,842,796,765,746,694,697,646,581,600,599,591,654,660,725,765,741,Very High ^Level 12^,0.9% ^0.6% - 1.2%^,Bruised Red,4976,20,68% ^Normal^,62% ^Normal^,1.0 ^0.9 - 1.1^,70.0,7.43,8.14,9.71,10.29,10.0,8.0,7.57,8.0,7.71,6.14,6.29,7.0,6.71,6.71
Kansas,Kansas 😷,Bruised Red,Decreasing,-9% ^Decreasing^,-9,52285,424,424,462,462,578,578,599,599,599,602,602,572,572,596,596,596,615,615,496,496,452,452,452,426,426,494,494,557,557,557,Minimal ^Level 1^,0.6% ^0.4% - 0.9%^,Green,3688,20,62% ^Normal^,59% ^Normal^,0.9 ^0.8 - 1.0^,63.0,5.57,5.57,5.29,5.29,4.29,4.29,4.29,7.0,7.0,13.0,13.0,12.14,12.14,12.14
Kentucky,Kentucky 😷,Red,Flat,-2% ^Flat^,-2,61542,476,602,601,610,615,622,642,759,643,642,660,680,701,703,698,677,667,591,569,555,575,564,596,603,669,684,657,632,670,657,Minimal ^Level 1^,0.4% ^0.2% - 0.6%^,Green,17665,82,80% ^Constrained^,67% ^Normal^,1.0 ^0.9 - 1.1^,62.0,9.0,7.0,6.71,8.43,8.14,9.14,9.14,9.86,11.0,9.86,8.29,8.14,7.29,7.29
Louisiana,Louisiana 😷,Red,Decreasing,-25% ^Decreasing^,-25,162258,712,718,726,713,823,788,746,746,804,761,781,725,744,775,775,742,740,678,737,687,677,677,661,687,703,568,570,602,602,553,Minimal ^Level 1^,0.7% ^0.4% - 0.9%^,Green,16038,88,67% ^Normal^,68% ^Normal^,0.9 ^0.8 - 1.0^,201.0,22.14,19.14,19.43,20.0,23.86,23.86,20.29,21.0,22.86,22.0,21.43,19.71,19.71,18.71
