STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Increasing,55% ^Increasing^,55,127616,1649,1619,1553,1547,1511,1291,1413,1480,1450,1447,1281,1144,1313,1014,855,930,956,985,923,993,947,1101,983,1111,1225,1345,1337,1454,1335,1482,Minimal ^Level 1^,1.1% ^0.8% - 1.4%^,Green,8287,17,87% ^Severely constrained^,77% ^Elevated^,1.1 ^1.0 - 1.2^,57.0,8.86,12.0,13.86,16.43,16.43,14.14,14.43,14.43,14.57,16.71,20.14,21.29,22.57,23.29
Alaska,Alaska,Red,Decreasing,-17% ^Decreasing^,-17,6160,123,111,106,95,87,78,70,68,66,67,75,83,83,84,82,84,85,83,76,77,71,74,70,67,67,74,77,75,71,71,Insufficient Data ^Level 0^,1.1% ^0.5% - 1.7%^,Green,5775,248,53% ^Normal^,72% ^Elevated^,1.0 ^0.7 - 1.2^,58.0,0.29,0.29,0.43,0.43,0.57,0.57,1.0,1.14,1.14,1.0,0.86,0.71,0.71,0.43
Arizona,Arizona,Red,Decreasing,-50% ^Decreasing^,-50,202342,2239,2082,1990,1836,1578,1301,1208,1147,1176,1034,1021,953,935,945,926,883,873,784,740,749,652,630,622,557,551,537,485,508,489,438,Minimal ^Level 1^,0.5% ^0.3% - 0.6%^,Green,6684,46,63% ^Normal^,79% ^Elevated^,0.7 ^0.6 - 0.8^,317.0,41.0,43.0,37.86,37.71,37.86,37.86,37.57,37.43,35.0,41.43,35.86,37.0,36.86,36.0
Arkansas,Arkansas 😷,Bruised Red,Increasing,33% ^Increasing^,33,61497,736,743,761,753,790,695,887,776,719,689,677,622,565,469,436,439,443,428,466,601,558,545,555,544,569,562,597,612,619,589,Minimal ^Level 1^,0.6% ^0.4% - 0.9%^,Green,8120,42,68% ^Normal^,67% ^Normal^,1.0 ^0.9 - 1.1^,70.0,9.29,8.43,10.86,10.57,12.57,13.29,13.14,14.43,14.0,13.29,14.0,13.86,14.43,14.71
California,California 😷,Red,Decreasing,-34% ^Decreasing^,-34,707797,7764,7554,7060,6354,6404,6522,6428,6716,7855,8762,9023,8951,9700,9629,9446,8322,7539,7373,7037,6172,6015,5798,5775,5753,5540,5503,5278,5177,5067,4957,Minimal ^Level 1^,0.5% ^0.4% - 0.6%^,Green,101170,62,69% ^Normal^,72% ^Elevated^,0.9 ^0.8 - 1.0^,97.0,125.0,125.43,117.86,120.14,130.0,130.0,130.71,126.29,123.43,124.14,120.86,110.14,111.57,108.71
Colorado,Colorado,Yellow,Flat,-5% ^Flat^,-5,57424,483,486,440,456,462,441,437,421,439,435,395,398,378,359,359,333,313,306,287,293,292,281,282,310,299,302,312,308,297,298,Minimal ^Level 1^,0.5% ^0.3% - 0.6%^,Green,8904,91,57% ^Normal^,63% ^Normal^,0.9 ^0.8 - 1.0^,131.0,5.29,6.29,7.43,6.71,6.71,6.71,6.57,5.43,5.0,2.86,4.0,4.0,4.0,3.57
Connecticut,Connecticut 😷,Green,Increasing,59% ^Increasing^,59,53006,154,148,98,82,73,73,73,72,82,69,77,82,82,82,100,82,87,93,89,89,89,106,112,129,131,139,139,139,124,138,Minimal ^Level 1^,0.3% ^0.2% - 0.5%^,Green,15662,292,48% ^Normal^,74% ^Elevated^,1.2 ^1.1 - 1.3^,264.0,1.0,1.14,1.0,1.0,1.0,0.57,1.0,0.86,1.0,0.71,0.71,0.71,0.71,0.43
Delaware,Delaware 😷,Red,Decreasing,-39% ^Decreasing^,-39,17535,93,94,99,97,94,89,89,83,80,58,86,128,128,125,129,128,135,107,61,62,63,58,53,49,37,45,74,64,70,82,Minimal ^Level 1^,0.1% ^0.0% - 0.3%^,Green,1871,69,75% ^Elevated^,74% ^Elevated^,1.0 ^0.7 - 1.2^,146.0,0.57,0.29,1.0,1.0,1.0,1.57,1.43,1.29,1.29,0.57,0.57,0.57,0.14,0.29
District of Columbia,District of Columbia 😷,Yellow,Decreasing,-8% ^Decreasing^,-8,14049,65,65,63,66,66,64,68,71,71,74,72,76,72,67,67,61,56,55,50,54,53,52,51,53,55,55,56,53,50,52,Minimal ^Level 1^,0.4% ^-0.1% - 1.0%^,Green,3032,176,75% ^Elevated^,86% ^Constrained^,0.9 ^0.7 - 1.2^,184.0,1.0,1.0,1.14,1.0,1.0,1.0,0.71,0.71,0.57,0.43,0.14,0.29,0.43,0.43
Florida,Florida,Bruised Red,Decreasing,-23% ^Decreasing^,-23,631040,8448,7908,7331,7001,6813,6650,6525,6440,6495,6880,6678,6459,6151,5801,5590,5306,4735,4495,4286,3994,3879,3819,3653,3525,3341,3217,3058,3002,2949,3648,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,29906,25,75% ^Elevated^,58% ^Normal^,0.8 ^0.7 - 0.9^,117.0,167.0,162.71,146.86,133.0,125.0,122.86,117.71,115.0,117.86,113.57,119.71,114.43,113.86,114.86
Georgia,Georgia,Bruised Red,Decreasing,-20% ^Decreasing^,-20,272697,3513,3271,3341,3230,3236,3345,3346,3370,3520,3491,3396,3270,3106,2919,2834,2727,2547,2582,2534,2436,2417,2485,2382,2373,2333,2249,2219,2146,2031,2049,Minimal ^Level 2^,0.9% ^0.7% - 1.0%^,Green,19664,29,72% ^Elevated^,81% ^Constrained^,0.9 ^0.8 - 1.0^,90.0,56.14,52.29,60.71,60.43,61.43,61.29,66.86,66.0,69.86,67.57,69.14,67.43,68.0,67.29
Hawaii,Hawaii,Bruised Red,Decreasing,-10% ^Decreasing^,-10,8472,80,105,119,128,132,143,164,179,170,195,221,200,204,211,221,225,236,219,219,218,219,223,253,196,202,246,251,255,248,213,Minimal ^Level 1^,0.7% ^0.3% - 1.1%^,Green,2476,35,63% ^Normal^,90% ^Constrained^,1.0 ^0.9 - 1.1^,25.0,0.57,0.71,0.71,0.86,1.0,1.0,1.29,1.0,0.86,1.43,1.86,2.14,2.29,3.0
Idaho,Idaho,Bruised Red,Decreasing,-26% ^Decreasing^,-26,32088,452,426,430,433,450,457,483,475,489,480,489,462,464,426,427,406,390,366,356,314,312,313,304,307,298,286,288,288,288,288,Minimal ^Level 2^,1.0% ^0.6% - 1.3%^,Green,2513,26,54% ^Normal^,50% ^Normal^,0.9 ^0.7 - 1.0^,75.0,5.14,6.43,6.71,5.57,5.29,5.43,5.86,6.29,6.57,6.43,7.0,7.43,7.43,6.71
Illinois,Illinois 😷,Bruised Red,Flat,0% ^Flat^,0,238217,1518,1574,1627,1652,1670,1749,1737,1740,1751,1734,1717,1745,1693,1719,1784,1811,1904,1904,1903,1979,2026,2003,1994,1975,1957,1977,1909,1923,1931,1904,Minimal ^Level 1^,0.6% ^0.4% - 0.7%^,Green,43765,70,55% ^Normal^,66% ^Normal^,1.0 ^0.9 - 1.1^,84.0,19.43,19.86,19.14,20.86,19.14,18.57,19.0,20.86,20.29,20.0,19.14,19.86,19.71,21.0
Indiana,Indiana 😷,Red,Increasing,11% ^Increasing^,11,94891,789,797,811,823,871,881,924,937,944,935,936,911,913,870,859,855,831,816,812,806,788,941,939,1003,1032,999,1017,1054,943,924,Low ^Level 4^,0.7% ^0.5% - 0.8%^,Green,10398,34,62% ^Normal^,62% ^Normal^,1.0 ^0.9 - 1.1^,69.0,13.43,12.29,13.57,12.86,12.43,12.86,10.86,11.29,10.71,9.86,9.57,10.14,10.14,10.14
Iowa,Iowa,Bruised Red,Increasing,90% ^Increasing^,90,63919,470,466,483,475,469,472,471,461,470,450,425,438,501,520,522,517,497,526,582,563,550,559,620,707,824,852,859,921,956,946,Low ^Level 4^,0.8% ^0.6% - 1.0%^,Green,5115,16,59% ^Normal^,62% ^Normal^,1.3 ^1.2 - 1.4^,44.0,7.86,7.86,7.86,8.29,8.71,9.0,9.0,8.71,9.86,10.57,11.0,11.0,10.29,10.14
