STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Decreasing,-25% ^Decreasing^,-25,141757,956,985,923,993,947,1101,983,1111,1225,1345,1337,1454,1335,1482,1284,1180,1173,1131,1011,988,856,883,897,901,835,920,927,936,953,885,Minimal ^Level 1^,0.8% ^0.5% - 1.1%^,Green,5596,19,82% ^Constrained^,68% ^Normal^,0.9 ^0.8 - 1.0^,109.0,22.71,17.57,16.29,13.43,11.0,9.71,9.71,9.57,10.71,10.71,11.29,15.71,15.29,14.29
Alaska,Alaska,Red,Flat,2% ^Flat^,2,7471,85,83,76,77,71,74,70,67,67,74,77,75,71,71,73,77,78,76,81,81,81,80,82,79,81,77,83,84,82,79,Insufficient Data ^Level 0^,0.4% ^0.0% - 0.7%^,Green,3255,124,49% ^Normal^,45% ^Normal^,0.9 ^0.7 - 1.1^,63.0,0.43,0.71,0.71,0.71,0.43,0.43,0.29,0.43,0.29,0.29,0.29,0.29,0.29,0.29
Arizona,Arizona,Red,Increasing,16% ^Increasing^,16,211660,873,784,740,749,652,630,622,557,551,537,485,508,489,438,486,545,575,604,586,590,529,526,436,406,373,392,394,452,481,665,Minimal ^Level 1^,0.4% ^0.2% - 0.6%^,Green,11450,52,50% ^Normal^,61% ^Normal^,0.9 ^0.8 - 1.1^,218.0,27.57,28.57,27.29,27.14,25.29,26.57,20.43,16.71,15.43,14.43,14.71,17.57,17.14,19.43
Arkansas,Arkansas 😷,Bruised Red,Increasing,6% ^Increasing^,6,73211,443,428,466,601,558,545,555,544,569,562,597,612,619,589,584,680,728,693,624,722,751,735,614,615,641,713,621,657,709,773,Minimal ^Level 1^,0.9% ^0.5% - 1.2%^,Green,12240,48,68% ^Normal^,64% ^Normal^,1.0 ^0.9 - 1.1^,63.0,16.71,15.71,15.71,15.86,14.71,12.43,11.29,11.43,12.43,12.43,12.0,13.29,32.71,32.29
California,California 😷,Red,Decreasing,-30% ^Decreasing^,-30,766201,7539,7373,7037,6172,6015,5798,5775,5753,5540,5503,5278,5177,5067,4957,4708,4807,4775,4771,4605,4450,4302,3925,3670,3415,3294,3254,3220,3157,3348,3334,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,98578,90,64% ^Normal^,68% ^Normal^,0.8 ^0.7 - 0.9^,157.0,114.29,115.57,114.86,113.29,105.71,96.86,93.0,85.57,86.86,88.57,94.14,99.0,110.57,106.14
Colorado,Colorado,Yellow,Increasing,42% ^Increasing^,42,62686,313,306,287,293,292,281,282,310,299,302,312,308,297,298,282,289,278,269,278,293,295,271,272,271,262,274,293,316,346,395,Minimal ^Level 1^,0.5% ^0.3% - 0.7%^,Green,10654,82,53% ^Normal^,58% ^Normal^,1.2 ^1.1 - 1.3^,108.0,3.71,3.29,3.29,3.29,2.43,2.14,4.14,4.0,3.29,3.29,3.29,4.0,5.29,3.29
Connecticut,Connecticut 😷,Yellow,Increasing,49% ^Increasing^,49,55386,87,93,89,89,89,106,112,129,131,139,139,139,124,138,127,123,124,124,124,69,111,109,126,137,137,137,219,178,185,185,Minimal ^Level 1^,0.2% ^0.1% - 0.4%^,Green,14116,232,49% ^Normal^,71% ^Elevated^,1.2 ^1.1 - 1.3^,205.0,0.43,0.43,0.43,0.43,1.14,1.0,1.43,1.71,1.71,1.71,2.43,1.57,1.86,1.43
Delaware,Delaware 😷,Red,Increasing,27% ^Increasing^,27,19318,135,107,61,62,63,58,53,49,37,45,74,64,70,82,80,97,96,78,100,117,110,108,116,102,119,115,98,118,132,122,Minimal ^Level 1^,0.3% ^0.0% - 0.6%^,Green,1496,37,70% ^Normal^,69% ^Normal^,1.1 ^1.0 - 1.2^,108.0,0.29,0.57,0.71,0.57,0.57,0.43,1.0,1.0,0.71,0.86,1.14,1.29,1.43,0.86
District of Columbia,District of Columbia 😷,Yellow,Increasing,13% ^Increasing^,13,14790,56,55,50,54,53,52,51,53,55,55,56,53,50,52,51,49,48,45,46,46,45,44,40,44,45,45,44,46,51,54,Minimal ^Level 1^,0.0% ^-0.2% - 0.2%^,Green,3161,177,73% ^Elevated^,79% ^Elevated^,1.0 ^0.8 - 1.3^,187.0,0.86,0.86,0.71,0.57,0.57,1.0,1.0,0.71,0.71,0.71,0.71,0.71,0.29,0.43
Florida,Florida,Bruised Red,Decreasing,-19% ^Decreasing^,-19,674456,4735,4495,4286,3994,3879,3819,3653,3525,3341,3217,3058,3002,2949,3648,3531,3575,3486,3552,3549,3543,2722,2672,2531,2596,2529,2509,2494,2679,2722,2818,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,22959,25,74% ^Elevated^,53% ^Normal^,0.9 ^0.8 - 1.0^,163.0,114.86,102.0,105.43,98.86,78.0,88.29,97.43,107.86,113.29,109.0,111.0,125.57,118.71,109.29
Georgia,Georgia,Bruised Red,Decreasing,-16% ^Decreasing^,-16,300903,2547,2582,2534,2436,2417,2485,2382,2373,2333,2249,2219,2146,2031,2049,2003,2031,1997,1970,2032,1905,1808,1811,1691,1632,1622,1588,1647,1640,1681,1683,Minimal ^Level 1^,0.5% ^0.4% - 0.7%^,Green,20752,37,77% ^Elevated^,77% ^Elevated^,0.9 ^0.8 - 1.0^,121.0,65.71,57.29,61.86,58.86,48.14,47.57,48.0,45.0,44.29,42.29,44.14,46.86,41.57,38.57
Hawaii,Hawaii,Red,Decreasing,-50% ^Decreasing^,-50,10946,236,219,219,218,219,223,253,196,202,246,251,255,248,213,238,247,234,235,222,217,212,196,162,156,141,128,121,117,117,118,Minimal ^Level 1^,0.4% ^0.0% - 0.7%^,Green,3747,97,72% ^Elevated^,75% ^Elevated^,0.7 ^0.4 - 0.9^,62.0,3.43,3.14,3.14,3.14,2.29,2.0,2.29,2.14,2.14,1.86,2.0,1.86,1.71,1.71
Idaho,Idaho,Bruised Red,Flat,-1% ^Flat^,-1,36093,390,366,356,314,312,313,304,307,298,286,288,288,288,288,270,269,258,259,257,257,236,230,235,241,251,241,230,256,261,255,Minimal ^Level 1^,0.8% ^0.5% - 1.1%^,Green,1600,19,48% ^Normal^,45% ^Normal^,1.0 ^0.9 - 1.1^,96.0,4.14,4.14,3.71,3.71,3.43,3.0,4.86,5.0,4.29,4.43,4.29,4.86,4.86,3.29
Illinois,Illinois 😷,Red,Decreasing,-21% ^Decreasing^,-21,270302,1904,1904,1903,1979,2026,2003,1994,1975,1957,1977,1909,1923,1931,1904,1900,1851,2302,2434,2350,2309,2295,2182,2267,1798,1700,1708,1707,1718,1804,1819,Minimal ^Level 1^,0.5% ^0.4% - 0.6%^,Green,49341,82,51% ^Normal^,59% ^Normal^,1.0 ^0.9 - 1.1^,101.0,22.29,24.0,23.14,23.29,18.86,19.0,19.57,20.43,20.29,21.57,21.14,22.71,23.71,23.29
Indiana,Indiana 😷,Red,Flat,-3% ^Flat^,-3,108646,831,816,812,806,788,941,939,1003,1032,999,1017,1054,943,924,913,907,939,932,927,885,841,819,770,803,800,857,878,921,903,915,Minimal ^Level 1^,0.6% ^0.5% - 0.8%^,Green,15073,50,59% ^Normal^,59% ^Normal^,0.9 ^0.8 - 1.0^,80.0,10.43,11.0,10.43,10.29,9.71,10.29,11.14,10.0,10.71,10.57,10.14,11.43,10.71,9.71
