STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Decreasing,-8% ^Decreasing^,-8,132314,1291,1413,1480,1450,1447,1281,1144,1313,1014,855,930,956,985,923,993,947,1101,983,1111,1225,1345,1337,1454,1335,1482,1284,1180,1173,1131,1011,Minimal ^Level 1^,1.2% ^0.9% - 1.5%^,Green,4230,13,87% ^Severely constrained^,77% ^Elevated^,1.0 ^0.9 - 1.1^,88.0,14.14,14.43,14.43,14.57,16.71,20.14,21.29,22.57,23.29,24.57,22.43,22.71,17.57,16.29
Alaska,Alaska,Red,Increasing,10% ^Increasing^,10,6656,78,70,68,66,67,75,83,83,84,82,84,85,83,76,77,71,74,70,67,67,74,77,75,71,71,73,77,78,76,81,Insufficient Data ^Level 0^,0.6% ^0.1% - 1.2%^,Green,5745,214,53% ^Normal^,72% ^Elevated^,1.1 ^0.9 - 1.3^,54.0,0.57,1.0,1.14,1.14,1.0,0.86,0.71,0.71,0.43,0.29,0.43,0.43,0.71,0.71
Arizona,Arizona,Red,Decreasing,-7% ^Decreasing^,-7,205766,1301,1208,1147,1176,1034,1021,953,935,945,926,883,873,784,740,749,652,630,622,557,551,537,485,508,489,438,486,545,575,604,586,Minimal ^Level 1^,0.5% ^0.3% - 0.6%^,Green,8511,44,63% ^Normal^,79% ^Elevated^,1.0 ^0.9 - 1.1^,241.0,37.86,37.57,37.43,35.0,41.43,35.86,37.0,36.86,36.0,24.14,28.71,27.57,28.57,27.29
Arkansas,Arkansas 😷,Bruised Red,Increasing,18% ^Increasing^,18,65377,695,887,776,719,689,677,622,565,469,436,439,443,428,466,601,558,545,555,544,569,562,597,612,619,589,584,619,656,616,646,Minimal ^Level 1^,0.7% ^0.5% - 1.0%^,Green,7630,36,68% ^Normal^,67% ^Normal^,1.1 ^1.0 - 1.2^,68.0,13.29,13.14,14.43,14.0,13.29,14.0,13.86,14.43,14.71,15.57,17.43,16.71,15.71,15.71
California,California 😷,Red,Decreasing,-21% ^Decreasing^,-21,732144,6522,6428,6716,7855,8762,9023,8951,9700,9629,9446,8322,7539,7373,7037,6172,6015,5798,5775,5753,5540,5503,5278,5177,5067,4957,4708,4807,4775,4771,4605,Minimal ^Level 1^,0.4% ^0.4% - 0.5%^,Green,116480,77,69% ^Normal^,72% ^Elevated^,0.9 ^0.8 - 1.0^,108.0,130.0,130.71,126.29,123.43,124.14,120.86,110.14,111.57,108.71,108.0,111.0,114.29,115.57,114.86
Colorado,Colorado,Yellow,Flat,-1% ^Flat^,-1,58989,441,437,421,439,435,395,398,378,359,359,333,313,306,287,293,292,281,282,310,299,302,312,308,297,298,282,289,278,269,278,Minimal ^Level 1^,0.4% ^0.2% - 0.5%^,Green,8019,87,57% ^Normal^,63% ^Normal^,0.9 ^0.8 - 1.0^,144.0,6.71,6.57,5.43,5.0,2.86,4.0,4.0,4.0,3.57,3.86,2.57,3.71,3.29,3.29
Connecticut,Connecticut 😷,Green,Increasing,17% ^Increasing^,17,53365,73,73,72,82,69,77,82,82,82,100,82,87,93,89,89,89,106,112,129,131,139,139,139,124,138,127,123,124,124,124,Minimal ^Level 1^,0.3% ^0.2% - 0.4%^,Green,15736,293,48% ^Normal^,74% ^Elevated^,1.1 ^0.9 - 1.2^,295.0,0.57,1.0,0.86,1.0,0.71,0.71,0.71,0.71,0.43,0.57,0.43,0.43,0.43,0.43
Delaware,Delaware 😷,Red,Increasing,72% ^Increasing^,72,18043,89,89,83,80,58,86,128,128,125,129,128,135,107,61,62,63,58,53,49,37,45,74,64,70,82,80,97,96,78,100,Minimal ^Level 1^,0.2% ^0.0% - 0.4%^,Green,2303,70,75% ^Elevated^,74% ^Elevated^,1.1 ^0.9 - 1.3^,123.0,1.57,1.43,1.29,1.29,0.57,0.57,0.57,0.14,0.29,0.29,0.29,0.29,0.57,0.71
District of Columbia,District of Columbia 😷,Yellow,Decreasing,-13% ^Decreasing^,-13,14279,64,68,71,71,74,72,76,72,67,67,61,56,55,50,54,53,52,51,53,55,55,56,53,50,52,51,49,48,45,46,Minimal ^Level 1^,0.8% ^0.1% - 1.5%^,Green,3346,222,75% ^Elevated^,86% ^Constrained^,0.9 ^0.7 - 1.2^,214.0,1.0,0.71,0.71,0.57,0.43,0.14,0.29,0.43,0.43,0.43,0.57,0.86,0.86,0.71
Florida,Florida,Bruised Red,Decreasing,-7% ^Decreasing^,-7,646431,6650,6525,6440,6495,6880,6678,6459,6151,5801,5590,5306,4735,4495,4286,3994,3879,3819,3653,3525,3341,3217,3058,3002,2949,3648,3531,3575,3486,3552,3549,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,26452,23,75% ^Elevated^,58% ^Normal^,0.9 ^0.8 - 1.0^,124.0,122.86,117.71,115.0,117.86,113.57,119.71,114.43,113.86,114.86,111.29,112.71,114.86,102.0,105.43
