0,1,2,3
County,% Positive,County,% Positive
Aitkin,2.3%,Martin,4.4%
Anoka,6.6%,McLeod,4.4%
"Becker
28.1%",2.0%,Meeker,3.6%
Beltrami,3.7%,Mille Lacs,2.4%
Benton,5.2%,Morrison,2.1%
Big Stone,3.1%,Mower,6.8%
Blue Earth,6.5%,Murray,8.6%
Brown,3.1%,Nicollet,4.8%
Carlton,2.4%,Nobles,28.1%
Carver,6.6%,Norman,2.1%
Cass,2.4%,Olmsted,4.4%
Chippewa,3.9%,Otter Tail,1.9%
Chisago,2.7%,Pennington,3.6%
Clay,6.1%,Pine,3.2%
Clearwater,1.7%,Pipestone,7.5%
Cook,0.8%,Polk,2.1%
Cottonwood,7.6%,Pope,2.7%
Crow Wing,2.8%,Ramsey,7.2%
Dakota,6.7%,Red Lake,3.9%
Dodge,2.8%,Redwood,2.7%
Douglas,2.5%,Renville,3.0%
Faribault,3.9%,Rice,4.0%
Fillmore,2.2%,Rock,6.1%
Freeborn,4.9%,Roseau,3.7%
Goodhue,2.1%,Scott,6.4%
Grant,4.7%,Sherburne,4.0%
Hennepin,7.5%,Sibley,5.6%
Houston,2.6%,St. Louis,2.2%
Hubbard,1.4%,Stearns,8.7%
Isanti,2.7%,Steele,4.2%
Itasca,2.3%,Stevens,2.9%
Jackson,6.9%,Swift,3.6%
Kanabec,3.0%,Todd,8.9%
Kandiyohi,5.7%,Traverse,2.6%
Kittson,1.8%,Wabasha,2.4%
Koochiching,4.0%,Wadena,1.5%
Lac qui Parle,2.5%,Waseca,4.6%
Lake,2.4%,Washington,4.9%
Lake of the Woods,2.0%,Watonwan,11.8%
Le Sueur,6.2%,Wilkin,4.7%
Lincoln,6.3%,Winona,3.9%
Lyon,10.3%,Wright,5.3%
Mahnomen,2.3%,Yellow Medicine,5.4%
Marshall,2.5%,Unknown/missing,0.6%
