0,1,2,3
County,% Positive,County,% Positive
Aitkin,2.7%,Martin,4.4%
Anoka,6.4%,McLeod,4.5%
"Becker
27.5%",2.0%,Meeker,3.8%
Beltrami,3.5%,Mille Lacs,2.7%
Benton,5.2%,Morrison,2.3%
Big Stone,3.4%,Mower,6.6%
Blue Earth,6.3%,Murray,8.4%
Brown,3.1%,Nicollet,4.6%
Carlton,2.4%,Nobles,27.5%
Carver,6.4%,Norman,2.2%
Cass,2.4%,Olmsted,4.3%
Chippewa,4.2%,Otter Tail,1.9%
Chisago,2.8%,Pennington,3.8%
Clay,6.1%,Pine,3.3%
Clearwater,1.8%,Pipestone,7.3%
Cook,0.7%,Polk,2.1%
Cottonwood,7.3%,Pope,2.9%
Crow Wing,3.0%,Ramsey,7.1%
Dakota,6.6%,Red Lake,4.6%
Dodge,2.8%,Redwood,2.8%
Douglas,2.6%,Renville,3.2%
Faribault,3.8%,Rice,4.0%
Fillmore,2.2%,Rock,6.1%
Freeborn,4.9%,Roseau,3.8%
Goodhue,2.1%,Scott,6.3%
Grant,4.5%,Sherburne,4.0%
Hennepin,7.3%,Sibley,5.5%
Houston,2.7%,St. Louis,2.3%
Hubbard,1.5%,Stearns,8.5%
Isanti,3.0%,Steele,4.3%
Itasca,2.3%,Stevens,3.6%
Jackson,6.4%,Swift,3.8%
Kanabec,3.2%,Todd,8.4%
Kandiyohi,5.6%,Traverse,2.7%
Kittson,2.3%,Wabasha,2.5%
Koochiching,4.0%,Wadena,1.6%
Lac qui Parle,3.1%,Waseca,5.3%
Lake,2.7%,Washington,4.9%
Lake of the Woods,2.6%,Watonwan,11.4%
Le Sueur,6.1%,Wilkin,4.7%
Lincoln,6.5%,Winona,4.2%
Lyon,10.5%,Wright,5.4%
Mahnomen,2.4%,Yellow Medicine,5.8%
Marshall,2.7%,Unknown/missing,0.6%
