0,1,2,3
County,% Positive,County,% Positive
Aitkin,2.1%,Martin,4.3%
Anoka,6.5%,McLeod,4.4%
"Becker
28.4%",2.0%,Meeker,3.5%
Beltrami,3.7%,Mille Lacs,2.2%
Benton,4.9%,Morrison,2.1%
Big Stone,3.1%,Mower,6.9%
Blue Earth,6.1%,Murray,8.8%
Brown,2.9%,Nicollet,4.7%
Carlton,2.3%,Nobles,28.4%
Carver,6.6%,Norman,2.2%
Cass,2.3%,Olmsted,4.4%
Chippewa,3.8%,Otter Tail,1.8%
Chisago,2.5%,Pennington,3.1%
Clay,6.0%,Pine,3.2%
Clearwater,1.8%,Pipestone,7.0%
Cook,0.9%,Polk,2.0%
Cottonwood,8.1%,Pope,2.7%
Crow Wing,2.7%,Ramsey,7.4%
Dakota,6.6%,Red Lake,4.0%
Dodge,2.7%,Redwood,1.9%
Douglas,2.3%,Renville,2.9%
Faribault,3.8%,Rice,4.3%
Fillmore,2.2%,Rock,5.9%
Freeborn,5.1%,Roseau,3.4%
Goodhue,2.0%,Scott,6.3%
Grant,4.9%,Sherburne,4.0%
Hennepin,7.7%,Sibley,5.8%
Houston,2.3%,St. Louis,2.0%
Hubbard,1.4%,Stearns,8.8%
Isanti,2.7%,Steele,4.1%
Itasca,2.2%,Stevens,1.6%
Jackson,6.8%,Swift,3.7%
Kanabec,3.1%,Todd,9.3%
Kandiyohi,5.8%,Traverse,2.7%
Kittson,0.6%,Wabasha,2.3%
Koochiching,4.1%,Wadena,1.4%
Lac qui Parle,2.0%,Waseca,4.2%
Lake,2.1%,Washington,4.7%
Lake of the Woods,1.4%,Watonwan,11.8%
Le Sueur,5.9%,Wilkin,4.2%
Lincoln,6.0%,Winona,2.8%
Lyon,8.5%,Wright,5.1%
Mahnomen,2.3%,Yellow Medicine,4.5%
Marshall,2.4%,Unknown/missing,0.5%
