lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day
2020-08-07,Prince William,840,71,886,76,0.08452,0.08578,0.0876
2020-08-07,Portsmouth,242,29,245,29,0.11983,0.11837,0.12715
2020-08-07,Pittsylvania-Danville,273,56,279,56,0.20513,0.20072,0.17105
2020-08-07,Piedmont,166,8,173,11,0.04819,0.06358,0.05921
2020-08-07,Peninsula,563,36,574,37,0.06394,0.06446,0.08117
2020-08-07,Richmond,613,81,626,82,0.13214,0.13099,0.08679
2020-08-07,Norfolk,503,50,517,53,0.0994,0.10251,0.10613
2020-08-08,Henrico,774,47,805,52,0.06072,0.0646,0.0763
2020-08-08,Hampton,265,23,273,23,0.08679,0.08425,0.09317
2020-08-08,Fairfax,2317,107,2487,123,0.04618,0.04946,0.04799
2020-08-08,Eastern Shore,79,3,81,3,0.03797,0.03704,0.04861
2020-08-08,Cumberland Plateau,78,16,81,16,0.20513,0.19753,0.10556
2020-08-08,Crater,295,30,303,32,0.10169,0.10561,0.09708
2020-08-08,Chesapeake,519,66,540,68,0.12717,0.12593,0.12563
2020-08-08,Chesterfield,661,34,693,35,0.05144,0.05051,0.08613
2020-08-08,Lenowisco,112,17,117,19,0.15179,0.16239,0.14667
2020-08-08,Central Virginia,487,38,490,40,0.07803,0.08163,0.07941
2020-08-08,Central Shenandoah,305,8,316,8,0.02623,0.02532,0.04067
2020-08-08,Arlington,484,15,522,16,0.03099,0.03065,0.03974
2020-08-08,Alleghany,140,3,146,4,0.02143,0.0274,0.03531
2020-08-08,Alexandria,351,19,373,21,0.05413,0.0563,0.05695
2020-08-08,Chickahominy,252,10,272,10,0.03968,0.03676,0.05476
2020-08-08,Lord Fairfax,378,6,392,6,0.01587,0.01531,0.03194
2020-08-08,Peninsula,1193,32,1213,35,0.02682,0.02885,0.0734
2020-08-08,Mount Rogers,249,15,252,15,0.06024,0.05952,0.09889
2020-08-08,West Piedmont,169,22,170,22,0.13018,0.12941,0.13989
2020-08-08,Western Tidewater,402,33,408,33,0.08209,0.08088,0.13538
2020-08-08,Virginia Beach,846,75,868,78,0.08865,0.08986,0.08531
2020-08-08,Three Rivers,268,20,277,22,0.07463,0.07942,0.0764
2020-08-08,Thomas Jefferson,350,13,362,14,0.03714,0.03867,0.05345
2020-08-08,Southside,136,9,138,10,0.06618,0.07246,0.06783
2020-08-08,Roanoke,590,20,602,20,0.0339,0.03322,0.0413
2020-08-08,Richmond,480,39,500,39,0.08125,0.078,0.086
2020-08-08,Rappahannock Rapidan,195,12,207,14,0.06154,0.06763,0.06189
2020-08-08,Prince William,820,58,865,63,0.07073,0.07283,0.08519
2020-08-08,Portsmouth,385,46,388,47,0.11948,0.12113,0.12606
2020-08-08,Pittsylvania-Danville,187,17,189,17,0.09091,0.08995,0.15961
2020-08-08,Piedmont,103,2,106,2,0.01942,0.01887,0.05353
2020-08-08,Norfolk,481,36,491,37,0.07484,0.07536,0.10166
2020-08-08,New River,114,5,121,6,0.04386,0.04959,0.05823
2020-08-08,Loudoun,704,37,752,43,0.05256,0.05718,0.05428
2020-08-08,Rappahannock,511,39,539,44,0.07632,0.08163,0.06898
2020-08-09,Alexandria,279,16,291,16,0.05735,0.05498,0.05837
2020-08-09,Western Tidewater,301,41,307,41,0.13621,0.13355,0.13198
2020-08-09,Three Rivers,197,13,206,13,0.06599,0.06311,0.07685
2020-08-09,Thomas Jefferson,309,25,315,25,0.08091,0.07937,0.05538
2020-08-09,Southside,128,12,131,12,0.09375,0.0916,0.06994
2020-08-09,Roanoke,987,56,998,56,0.05674,0.05611,0.04293
2020-08-09,Richmond,235,26,248,30,0.11064,0.12097,0.08867
2020-08-09,Rappahannock Rapidan,198,7,211,12,0.03535,0.05687,0.06067
2020-08-09,Rappahannock,411,36,446,40,0.08759,0.08969,0.07136
2020-08-09,Prince William,576,45,610,50,0.07812,0.08197,0.08346
2020-08-09,Portsmouth,283,36,284,36,0.12721,0.12676,0.12642
2020-08-09,Pittsylvania-Danville,156,13,156,13,0.08333,0.08333,0.16199
2020-08-09,Piedmont,140,8,146,8,0.05714,0.05479,0.05582
2020-08-09,Peninsula,598,47,607,48,0.0786,0.07908,0.07268
2020-08-09,Norfolk,543,41,545,41,0.07551,0.07523,0.09631
2020-08-09,New River,91,3,92,3,0.03297,0.03261,0.05437
2020-08-09,Mount Rogers,211,13,215,13,0.06161,0.06047,0.09419
2020-08-09,Loudoun,546,41,592,47,0.07509,0.07939,0.05446
2020-08-09,Lord Fairfax,351,16,358,16,0.04558,0.04469,0.03573
2020-08-09,Alleghany,88,2,88,2,0.02273,0.02273,0.034
2020-08-09,Arlington,397,20,420,21,0.05038,0.05,0.04084
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04128
2020-08-09,Central Virginia,392,38,399,38,0.09694,0.09524,0.07974
2020-08-09,Chesapeake,428,62,442,68,0.14486,0.15385,0.12747
2020-08-09,Chesterfield,588,44,627,49,0.07483,0.07815,0.08105
2020-08-09,West Piedmont,122,15,127,16,0.12295,0.12598,0.14086
2020-08-09,Chickahominy,182,11,198,12,0.06044,0.06061,0.05425
2020-08-09,Cumberland Plateau,74,8,78,8,0.10811,0.10256,0.11505
2020-08-09,Eastern Shore,48,3,48,3,0.0625,0.0625,0.05104
2020-08-09,Fairfax,1594,106,1678,118,0.0665,0.07032,0.04984
2020-08-09,Hampton,316,30,321,30,0.09494,0.09346,0.09477
2020-08-09,Henrico,501,47,533,52,0.09381,0.09756,0.07718
2020-08-09,Lenowisco,169,23,170,23,0.13609,0.13529,0.15393
2020-08-09,Crater,313,65,319,66,0.20767,0.2069,0.12057
2020-08-09,Virginia Beach,887,51,908,51,0.0575,0.05617,0.08278
2020-08-13,Three Rivers,207,10,216,10,0.04831,0.0463,0.07936
2020-08-13,Alexandria,411,29,439,33,0.07056,0.07517,0.06327
2020-08-13,Thomas Jefferson,556,28,571,29,0.05036,0.05079,0.05571
2020-08-13,Southside,147,10,152,12,0.06803,0.07895,0.06618
2020-08-13,Roanoke,387,13,396,13,0.03359,0.03283,0.04475
2020-08-13,Richmond,456,42,466,46,0.09211,0.09871,0.09
2020-08-13,Rappahannock Rapidan,208,10,230,13,0.04808,0.05652,0.05768
2020-08-13,Rappahannock,446,29,470,30,0.06502,0.06383,0.07032
2020-08-13,Prince William,787,59,853,64,0.07497,0.07503,0.08163
2020-08-13,Portsmouth,372,47,374,47,0.12634,0.12567,0.1256
2020-08-13,Pittsylvania-Danville,267,38,270,38,0.14232,0.14074,0.12176
2020-08-13,Piedmont,151,12,154,12,0.07947,0.07792,0.06087
2020-08-13,Peninsula,625,53,651,54,0.0848,0.08295,0.07683
2020-08-13,Norfolk,488,52,497,53,0.10656,0.10664,0.0977
2020-08-13,New River,394,16,396,16,0.04061,0.0404,0.04336
2020-08-13,Mount Rogers,433,25,447,34,0.05774,0.07606,0.08815
2020-08-13,Virginia Beach,823,65,859,69,0.07898,0.08033,0.08428
2020-08-13,Loudoun,695,39,773,43,0.05612,0.05563,0.05655
2020-08-13,Lenowisco,180,10,185,11,0.05556,0.05946,0.14401
2020-08-13,Henrico,822,60,864,66,0.07299,0.07639,0.07887
2020-08-13,Hampton,222,21,225,21,0.09459,0.09333,0.09241
2020-08-13,Fairfax,2074,112,2286,128,0.054,0.05599,0.05258
2020-08-13,Eastern Shore,110,4,111,4,0.03636,0.03604,0.05624
2020-08-13,Cumberland Plateau,98,2,101,2,0.02041,0.0198,0.08807
2020-08-13,Crater,329,17,342,20,0.05167,0.05848,0.11563
2020-08-13,Chickahominy,314,27,327,28,0.08599,0.08563,0.05939
2020-08-13,Chesterfield,759,59,804,63,0.07773,0.07836,0.08114
2020-08-13,Chesapeake,472,41,486,42,0.08686,0.08642,0.12165
2020-08-13,Central Virginia,732,34,733,34,0.04645,0.04638,0.07569
2020-08-13,Central Shenandoah,517,18,525,20,0.03482,0.0381,0.0376
2020-08-13,Arlington,665,24,708,27,0.03609,0.03814,0.03948
2020-08-13,Alleghany,212,12,216,13,0.0566,0.06019,0.03476
2020-08-13,Lord Fairfax,370,23,394,23,0.06216,0.05838,0.04126
2020-08-13,Western Tidewater,346,38,352,38,0.10983,0.10795,0.12246
2020-08-13,West Piedmont,168,30,171,33,0.17857,0.19298,0.15579
2020-08-14,Cumberland Plateau,126,7,127,7,0.05556,0.05512,0.0824
2020-08-14,Lord Fairfax,328,9,339,10,0.02744,0.0295,0.04318
2020-08-14,Henrico,871,55,916,59,0.06315,0.06441,0.07643
2020-08-14,Hampton,224,15,230,15,0.06696,0.06522,0.0909
2020-08-14,Fairfax,2127,157,2348,183,0.07381,0.07794,0.05553
2020-08-14,Eastern Shore,257,5,257,5,0.01946,0.01946,0.04803
2020-08-14,Crater,368,28,373,28,0.07609,0.07507,0.10832
2020-08-14,Loudoun,597,32,647,34,0.0536,0.05255,0.05409
2020-08-14,Chickahominy,229,12,248,14,0.0524,0.05645,0.05782
2020-08-14,Chesapeake,572,61,590,62,0.10664,0.10508,0.12139
2020-08-14,Central Virginia,580,53,583,53,0.09138,0.09091,0.08222
2020-08-14,Central Shenandoah,638,22,645,22,0.03448,0.03411,0.03612
2020-08-14,Arlington,623,41,666,46,0.06581,0.06907,0.04502
2020-08-14,Alleghany,223,7,230,8,0.03139,0.03478,0.03271
2020-08-14,Alexandria,310,19,339,20,0.06129,0.059,0.0599
2020-08-14,Chesterfield,755,53,794,54,0.0702,0.06801,0.07873
2020-08-14,Mount Rogers,273,12,282,13,0.04396,0.0461,0.07961
2020-08-14,Lenowisco,160,31,170,32,0.19375,0.18824,0.15978
2020-08-14,Norfolk,745,66,755,67,0.08859,0.08874,0.09283
2020-08-14,West Piedmont,73,22,76,23,0.30137,0.30263,0.17603
2020-08-14,Western Tidewater,423,58,437,60,0.13712,0.1373,0.1167
2020-08-14,Virginia Beach,821,57,853,58,0.06943,0.068,0.08638
2020-08-14,Three Rivers,350,13,359,13,0.03714,0.03621,0.0766
2020-08-14,Thomas Jefferson,495,39,509,41,0.07879,0.08055,0.06122
2020-08-14,New River,218,22,223,26,0.10092,0.11659,0.05273
2020-08-14,Roanoke,445,22,449,22,0.04944,0.049,0.04325
2020-08-14,Richmond,653,27,672,33,0.04135,0.04911,0.08563
2020-08-14,Southside,130,8,130,8,0.06154,0.06154,0.06429
2020-08-14,Rappahannock,458,39,478,43,0.08515,0.08996,0.07545
2020-08-14,Prince William,798,86,841,96,0.10777,0.11415,0.08497
2020-08-14,Portsmouth,273,32,274,32,0.11722,0.11679,0.12554
2020-08-14,Pittsylvania-Danville,165,19,167,19,0.11515,0.11377,0.1144
2020-08-14,Piedmont,144,8,151,9,0.05556,0.0596,0.05738
2020-08-14,Peninsula,772,47,788,49,0.06088,0.06218,0.06896
2020-08-14,Rappahannock Rapidan,275,15,303,27,0.05455,0.08911,0.05758
2020-08-15,Lord Fairfax,567,15,585,16,0.02646,0.02735,0.0416
2020-08-15,Crater,194,14,204,14,0.07216,0.06863,0.10141
2020-08-15,Lenowisco,120,11,129,14,0.09167,0.10853,0.14639
2020-08-15,Henrico,601,45,628,50,0.07488,0.07962,0.07993
2020-08-15,Hampton,186,13,190,13,0.06989,0.06842,0.08731
2020-08-15,Fairfax,1290,56,1483,68,0.04341,0.04585,0.05534
2020-08-15,Cumberland Plateau,66,5,68,5,0.07576,0.07353,0.08316
2020-08-15,Chickahominy,171,12,185,15,0.07018,0.08108,0.06169
2020-08-15,Eastern Shore,110,2,110,2,0.01818,0.01818,0.04413
2020-08-15,Chesapeake,372,55,393,58,0.14785,0.14758,0.1252
2020-08-15,Central Virginia,548,35,553,36,0.06387,0.0651,0.07614
2020-08-15,Central Shenandoah,277,22,283,24,0.07942,0.08481,0.04371
2020-08-15,Arlington,347,10,386,11,0.02882,0.0285,0.04354
2020-08-15,Alleghany,181,9,187,9,0.04972,0.04813,0.03578
2020-08-15,Alexandria,195,13,218,15,0.06667,0.06881,0.06205
2020-08-15,Loudoun,503,23,561,29,0.04573,0.05169,0.05632
2020-08-15,Chesterfield,453,27,488,28,0.0596,0.05738,0.0796
2020-08-15,Mount Rogers,268,15,275,16,0.05597,0.05818,0.06719
2020-08-15,Richmond,429,16,442,18,0.0373,0.04072,0.08255
2020-08-15,Norfolk,496,42,504,42,0.08468,0.08333,0.09217
2020-08-15,New River,812,13,817,13,0.01601,0.01591,0.04806
2020-08-15,Western Tidewater,428,41,439,43,0.09579,0.09795,0.11577
2020-08-15,Virginia Beach,753,56,771,59,0.07437,0.07652,0.08416
2020-08-15,Three Rivers,161,10,170,11,0.06211,0.06471,0.0728
2020-08-15,Thomas Jefferson,365,15,376,15,0.0411,0.03989,0.05818
2020-08-15,Southside,61,3,67,4,0.04918,0.0597,0.06403
2020-08-15,Roanoke,867,28,877,29,0.0323,0.03307,0.04183
2020-08-15,West Piedmont,184,18,186,19,0.09783,0.10215,0.15742
2020-08-15,Rappahannock,324,25,353,25,0.07716,0.07082,0.07948
2020-08-15,Prince William,673,64,733,72,0.0951,0.09823,0.08604
2020-08-15,Portsmouth,217,25,220,25,0.11521,0.11364,0.13266
2020-08-15,Pittsylvania-Danville,227,29,230,29,0.12775,0.12609,0.11563
2020-08-15,Piedmont,116,6,124,6,0.05172,0.04839,0.05683
2020-08-15,Peninsula,515,28,533,30,0.05437,0.05629,0.06317
2020-08-15,Rappahannock Rapidan,251,7,270,10,0.02789,0.03704,0.05149
2020-08-16,Loudoun,435,33,467,35,0.07586,0.07495,0.05831
2020-08-16,Lord Fairfax,235,10,243,10,0.04255,0.04115,0.04226
2020-08-16,Lenowisco,291,15,293,15,0.05155,0.05119,0.12262
2020-08-16,Henrico,506,23,531,25,0.04545,0.04708,0.07523
2020-08-16,Hampton,143,8,145,8,0.05594,0.05517,0.07765
2020-08-16,Fairfax,1531,86,1629,94,0.05617,0.0577,0.05678
2020-08-16,Eastern Shore,72,2,72,2,0.02778,0.02778,0.0425
2020-08-16,Cumberland Plateau,77,5,77,5,0.06494,0.06494,0.08255
2020-08-16,Chesapeake,311,21,322,21,0.06752,0.06522,0.11099
2020-08-16,Chickahominy,142,6,154,7,0.04225,0.04545,0.05574
2020-08-16,Chesterfield,401,30,444,43,0.07481,0.09685,0.07742
2020-08-16,Central Virginia,477,41,485,42,0.08595,0.0866,0.08129
2020-08-16,Central Shenandoah,321,16,323,16,0.04984,0.04954,0.04417
2020-08-16,Arlington,375,26,397,27,0.06933,0.06801,0.04673
2020-08-16,Alleghany,123,8,134,9,0.06504,0.06716,0.03894
2020-08-16,Alexandria,328,17,341,18,0.05183,0.05279,0.06022
2020-08-16,Crater,319,34,324,34,0.10658,0.10494,0.10368
2020-08-16,Mount Rogers,234,23,236,23,0.09829,0.09746,0.06482
2020-08-16,Norfolk,330,26,337,27,0.07879,0.08012,0.08691
2020-08-16,Thomas Jefferson,287,18,296,18,0.06272,0.06081,0.05822
2020-08-16,New River,885,5,895,5,0.00565,0.00559,0.03884
2020-08-16,West Piedmont,86,7,89,7,0.0814,0.07865,0.15454
2020-08-16,Western Tidewater,313,44,317,45,0.14058,0.14196,0.11998
2020-08-16,Virginia Beach,809,34,834,38,0.04203,0.04556,0.07352
2020-08-16,Three Rivers,131,4,136,4,0.03053,0.02941,0.06607
2020-08-16,Southside,146,9,148,9,0.06164,0.06081,0.06797
2020-08-16,Richmond,428,15,441,17,0.03505,0.03855,0.07569
2020-08-16,Roanoke,173,14,183,14,0.08092,0.0765,0.04947
2020-08-16,Rappahannock,348,31,368,34,0.08908,0.09239,0.07818
2020-08-16,Prince William,632,59,662,62,0.09335,0.09366,0.08637
2020-08-16,Portsmouth,187,22,189,23,0.11765,0.12169,0.12042
2020-08-16,Pittsylvania-Danville,167,18,169,18,0.10778,0.10651,0.12462
2020-08-16,Piedmont,129,8,135,8,0.06202,0.05926,0.05336
2020-08-16,Peninsula,441,29,450,30,0.06576,0.06667,0.06217
2020-08-16,Rappahannock Rapidan,238,14,246,16,0.05882,0.06504,0.04936
2020-08-17,Hampton,192,18,192,18,0.09375,0.09375,0.08041
2020-08-17,Fairfax,1532,94,1567,98,0.06136,0.06254,0.05735
2020-08-17,Henrico,613,37,622,42,0.06036,0.06752,0.06734
2020-08-17,Alexandria,311,14,316,16,0.04502,0.05063,0.05812
2020-08-17,Lord Fairfax,215,13,217,14,0.06047,0.06452,0.04008
2020-08-17,Eastern Shore,33,0,33,0,0.0,0.0,0.02889
2020-08-17,Lenowisco,51,6,52,7,0.11765,0.13462,0.11401
2020-08-17,Cumberland Plateau,36,3,36,3,0.08333,0.08333,0.08761
2020-08-17,Loudoun,448,33,459,37,0.07366,0.08061,0.0618
2020-08-17,Chickahominy,203,4,207,6,0.0197,0.02899,0.05295
2020-08-17,Chesterfield,481,29,486,33,0.06029,0.0679,0.06699
2020-08-17,Chesapeake,405,52,406,52,0.1284,0.12808,0.11561
2020-08-17,Central Virginia,153,22,156,22,0.14379,0.14103,0.08663
2020-08-17,Central Shenandoah,238,14,238,14,0.05882,0.05882,0.04628
2020-08-17,Arlington,329,20,334,21,0.06079,0.06287,0.04889
2020-08-17,Crater,223,19,224,19,0.0852,0.08482,0.10015
2020-08-17,Mount Rogers,84,8,90,12,0.09524,0.13333,0.06758
2020-08-17,Alleghany,42,3,44,4,0.07143,0.09091,0.04548
2020-08-17,Norfolk,388,36,390,36,0.09278,0.09231,0.08596
2020-08-17,New River,1018,4,1021,6,0.00393,0.00588,0.03485
2020-08-17,Western Tidewater,316,37,316,37,0.11709,0.11709,0.11696
2020-08-17,Virginia Beach,658,61,664,61,0.09271,0.09187,0.07195
2020-08-17,Three Rivers,150,3,154,5,0.02,0.03247,0.04839
2020-08-17,Thomas Jefferson,366,16,374,17,0.04372,0.04545,0.05639
2020-08-17,Southside,91,8,91,8,0.08791,0.08791,0.06975
2020-08-17,Roanoke,655,14,666,16,0.02137,0.02402,0.04404
2020-08-17,West Piedmont,76,18,78,20,0.23684,0.25641,0.16416
2020-08-17,Rappahannock Rapidan,174,13,181,19,0.07471,0.10497,0.05156
2020-08-17,Rappahannock,356,30,366,32,0.08427,0.08743,0.08066
2020-08-17,Prince William,626,55,646,67,0.08786,0.10372,0.08684
2020-08-17,Portsmouth,190,25,192,25,0.13158,0.13021,0.1221
2020-08-17,Pittsylvania-Danville,65,12,65,12,0.18462,0.18462,0.12169
2020-08-17,Piedmont,124,3,124,3,0.02419,0.02419,0.04993
2020-08-17,Richmond,553,21,555,23,0.03797,0.04144,0.06224
2020-08-17,Peninsula,383,38,386,38,0.09922,0.09845,0.06721
2020-08-18,Pittsylvania-Danville,113,15,113,15,0.13274,0.13274,0.12767
2020-08-18,Portsmouth,119,16,122,17,0.13445,0.13934,0.12424
2020-08-18,Prince William,574,40,602,43,0.06969,0.07143,0.08669
2020-08-18,Rappahannock,316,16,328,16,0.05063,0.04878,0.07699
2020-08-18,Rappahannock Rapidan,186,48,201,56,0.25806,0.27861,0.07964
2020-08-18,Richmond,253,13,259,14,0.05138,0.05405,0.05797
2020-08-18,Thomas Jefferson,457,33,462,33,0.07221,0.07143,0.0614
2020-08-18,Southside,77,5,77,5,0.06494,0.06494,0.06957
2020-08-18,Three Rivers,171,6,171,6,0.03509,0.03509,0.04274
2020-08-18,Virginia Beach,414,22,423,23,0.05314,0.05437,0.06688
2020-08-18,Western Tidewater,178,22,181,23,0.1236,0.12707,0.12289
2020-08-18,West Piedmont,144,26,146,28,0.18056,0.19178,0.17136
2020-08-18,Piedmont,77,5,78,5,0.06494,0.0641,0.05643
2020-08-18,Roanoke,615,25,620,25,0.04065,0.04032,0.045
2020-08-18,Peninsula,244,33,250,35,0.13525,0.14,0.0827
2020-08-18,Fairfax,1463,65,1580,81,0.04443,0.05127,0.0571
2020-08-18,New River,1147,14,1147,14,0.01221,0.01221,0.03033
2020-08-18,Central Virginia,260,37,260,37,0.14231,0.14231,0.09581
2020-08-18,Alleghany,124,7,125,7,0.05645,0.056,0.05048
2020-08-18,Chesapeake,249,34,265,34,0.13655,0.1283,0.11695
2020-08-18,Chesterfield,404,28,412,33,0.06931,0.0801,0.06954
2020-08-18,Chickahominy,132,8,134,8,0.06061,0.0597,0.05594
2020-08-18,Crater,218,21,219,21,0.09633,0.09589,0.09939
2020-08-18,Norfolk,417,26,422,29,0.06235,0.06872,0.08418
2020-08-18,Cumberland Plateau,75,1,75,1,0.01333,0.01333,0.06021
2020-08-18,Hampton,106,9,110,11,0.08491,0.1,0.08014
2020-08-18,Henrico,376,19,386,23,0.05053,0.05959,0.06588
2020-08-18,Lenowisco,123,4,133,7,0.03252,0.05263,0.09697
2020-08-18,Lord Fairfax,304,14,313,14,0.04605,0.04473,0.04439
2020-08-18,Loudoun,387,14,427,19,0.03618,0.0445,0.05946
2020-08-18,Mount Rogers,126,9,143,25,0.07143,0.17483,0.06918
2020-08-18,Eastern Shore,70,6,70,6,0.08571,0.08571,0.03571
2020-08-18,Alexandria,184,10,197,10,0.05435,0.05076,0.05815
2020-08-18,Arlington,256,11,287,17,0.04297,0.05923,0.0506
2020-08-18,Central Shenandoah,272,7,276,8,0.02574,0.02899,0.04621
2020-08-19,Western Tidewater,344,35,352,35,0.10174,0.09943,0.11796
2020-08-19,Henrico,603,37,630,40,0.06136,0.06349,0.06125
2020-08-19,Hampton,188,20,194,20,0.10638,0.10309,0.08177
2020-08-19,Fairfax,1994,116,2229,138,0.05817,0.06191,0.05591
2020-08-19,Eastern Shore,62,2,62,2,0.03226,0.03226,0.03139
2020-08-19,Cumberland Plateau,46,7,51,8,0.15217,0.15686,0.0665
2020-08-19,Crater,314,69,325,69,0.21975,0.21231,0.10111
2020-08-19,Chickahominy,205,13,225,14,0.06341,0.06222,0.05636
2020-08-19,Chesterfield,517,36,560,42,0.06963,0.075,0.0688
2020-08-19,Chesapeake,488,51,504,53,0.10451,0.10516,0.11119
2020-08-19,Central Virginia,632,51,642,51,0.0807,0.07944,0.09349
2020-08-19,Central Shenandoah,247,11,261,11,0.04453,0.04215,0.04681
2020-08-19,Arlington,617,23,679,28,0.03728,0.04124,0.04873
2020-08-19,Alleghany,176,23,189,24,0.13068,0.12698,0.0659
