lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day
2020-08-01,Thomas Jefferson,580,20,589,20,0.03448,0.03396,0.03448
2020-08-01,Rappahannock Rapidan,185,12,204,21,0.06486,0.10294,0.06486
2020-08-01,Rappahannock,459,26,489,30,0.05664,0.06135,0.05664
2020-08-01,Prince William,758,70,817,83,0.09235,0.10159,0.09235
2020-08-01,Portsmouth,357,49,366,51,0.13725,0.13934,0.13725
2020-08-01,Pittsylvania-Danville,161,19,167,20,0.11801,0.11976,0.11801
2020-08-01,Piedmont,125,5,131,5,0.04,0.03817,0.04
2020-08-01,Peninsula,794,50,811,50,0.06297,0.06165,0.06297
2020-08-01,Richmond,422,20,435,21,0.04739,0.04828,0.04739
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.04055
2020-08-02,Pittsylvania-Danville,210,14,213,14,0.06667,0.06573,0.09234
2020-08-02,Portsmouth,361,45,362,45,0.12465,0.12431,0.13095
2020-08-02,Prince William,797,72,827,75,0.09034,0.09069,0.09135
2020-08-02,Rappahannock,437,31,458,32,0.07094,0.06987,0.06379
2020-08-02,Rappahannock Rapidan,205,9,214,12,0.0439,0.05607,0.05438
2020-08-02,West Piedmont,155,18,161,19,0.11613,0.11801,0.16631
2020-08-02,Roanoke,331,15,354,17,0.04532,0.04802,0.05522
2020-08-02,Southside,76,6,76,6,0.07895,0.07895,0.06682
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.05095
2020-08-02,Three Rivers,189,12,193,12,0.06349,0.06218,0.05447
2020-08-02,Virginia Beach,1090,82,1113,84,0.07523,0.07547,0.08778
2020-08-02,Western Tidewater,349,56,356,57,0.16046,0.16011,0.13342
2020-08-02,Peninsula,586,49,603,50,0.08362,0.08292,0.07329
2020-08-02,Richmond,174,16,186,17,0.09195,0.0914,0.06967
2020-08-02,Norfolk,602,68,609,68,0.11296,0.11166,0.10132
2020-08-02,Fairfax,1570,83,1700,98,0.05287,0.05765,0.05153
2020-08-02,Mount Rogers,200,18,204,18,0.09,0.08824,0.07593
2020-08-02,Arlington,516,22,541,23,0.04264,0.04251,0.04177
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03282
2020-08-02,Central Virginia,602,57,615,57,0.09468,0.09268,0.07011
2020-08-02,Chesapeake,409,54,421,55,0.13203,0.13064,0.12668
2020-08-02,Chesterfield,317,35,353,37,0.11041,0.10482,0.0963
2020-08-02,Chickahominy,125,8,128,9,0.064,0.07031,0.04502
2020-08-02,New River,99,6,108,7,0.06061,0.06481,0.05031
2020-08-02,Crater,185,8,196,11,0.04324,0.05612,0.06495
2020-08-02,Eastern Shore,88,4,89,4,0.04545,0.04494,0.03243
2020-08-02,Hampton,230,19,231,19,0.08261,0.08225,0.08469
2020-08-02,Henrico,365,32,382,34,0.08767,0.08901,0.07291
2020-08-02,Lenowisco,131,13,135,15,0.09924,0.11111,0.11268
2020-08-02,Lord Fairfax,367,7,373,7,0.01907,0.01877,0.02959
2020-08-02,Loudoun,405,29,442,33,0.0716,0.07466,0.06103
2020-08-02,Cumberland Plateau,72,3,72,3,0.04167,0.04167,0.05532
2020-08-02,Alleghany,188,6,193,6,0.03191,0.03109,0.02015
2020-08-02,Alexandria,232,11,245,11,0.04741,0.0449,0.05391
2020-08-03,Cumberland Plateau,129,27,129,27,0.2093,0.2093,0.10665
2020-08-03,Lord Fairfax,256,6,257,6,0.02344,0.02335,0.02754
2020-08-03,Henrico,900,55,907,62,0.06111,0.06836,0.06898
2020-08-03,Hampton,162,18,163,18,0.11111,0.11043,0.09349
2020-08-03,Fairfax,1923,67,1974,72,0.03484,0.03647,0.04597
2020-08-03,Eastern Shore,40,0,42,0,0.0,0.0,0.02162
2020-08-03,Crater,255,22,255,22,0.08627,0.08627,0.07206
2020-08-03,Loudoun,579,24,590,26,0.04145,0.04407,0.05451
2020-08-03,Chickahominy,240,12,241,13,0.05,0.05394,0.04668
2020-08-03,Chesapeake,336,42,336,42,0.125,0.125,0.12612
2020-08-03,Central Virginia,214,16,214,16,0.07477,0.07477,0.07166
2020-08-03,Central Shenandoah,231,14,233,14,0.06061,0.06009,0.04208
2020-08-03,Arlington,395,18,407,19,0.04557,0.04668,0.04304
2020-08-03,Alleghany,117,6,117,6,0.05128,0.05128,0.03053
2020-08-03,Alexandria,248,9,255,9,0.03629,0.03529,0.04951
2020-08-03,Chesterfield,726,56,729,59,0.07713,0.08093,0.08991
2020-08-03,Mount Rogers,170,17,178,24,0.1,0.13483,0.08395
2020-08-03,Lenowisco,41,6,42,6,0.14634,0.14286,0.1239
2020-08-03,Norfolk,547,53,547,53,0.09689,0.09689,0.09985
2020-08-03,West Piedmont,108,8,108,8,0.07407,0.07407,0.13556
2020-08-03,Western Tidewater,255,45,255,45,0.17647,0.17647,0.14777
2020-08-03,Virginia Beach,802,54,804,56,0.06733,0.06965,0.08096
2020-08-03,Three Rivers,195,6,196,6,0.03077,0.03061,0.04657
2020-08-03,Thomas Jefferson,375,18,382,18,0.048,0.04712,0.04997
2020-08-03,New River,170,20,170,20,0.11765,0.11765,0.07275
2020-08-03,Roanoke,383,8,385,8,0.02089,0.02078,0.04378
2020-08-03,Richmond,447,37,447,37,0.08277,0.08277,0.07404
2020-08-03,Southside,53,5,53,5,0.09434,0.09434,0.07599
2020-08-03,Rappahannock,498,36,499,36,0.07229,0.07214,0.06662
2020-08-03,Prince William,877,77,889,80,0.0878,0.08999,0.09016
2020-08-03,Portsmouth,212,28,212,28,0.13208,0.13208,0.13133
2020-08-03,Pittsylvania-Danville,184,78,184,78,0.42391,0.42391,0.20286
2020-08-03,Piedmont,68,3,69,4,0.04412,0.05797,0.04174
2020-08-03,Peninsula,484,27,484,27,0.05579,0.05579,0.06746
2020-08-03,Rappahannock Rapidan,145,10,146,10,0.06897,0.06849,0.05924
2020-08-04,Lord Fairfax,501,7,512,8,0.01397,0.01562,0.02414
2020-08-04,Cumberland Plateau,84,8,85,8,0.09524,0.09412,0.10379
2020-08-04,Lenowisco,109,10,112,10,0.09174,0.08929,0.11586
2020-08-04,Henrico,486,39,500,43,0.08025,0.086,0.07179
2020-08-04,Hampton,129,10,133,10,0.07752,0.07519,0.0895
2020-08-04,Fairfax,1186,63,1287,78,0.05312,0.06061,0.04776
2020-08-04,Eastern Shore,39,3,39,3,0.07692,0.07692,0.03545
2020-08-04,Crater,219,28,219,28,0.12785,0.12785,0.08601
2020-08-04,Alexandria,165,14,178,14,0.08485,0.07865,0.05657
2020-08-04,Chesterfield,540,47,558,55,0.08704,0.09857,0.08919
2020-08-04,Chesapeake,249,27,254,27,0.10843,0.1063,0.12169
2020-08-04,Central Virginia,460,21,463,22,0.04565,0.04752,0.06516
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04276
2020-08-04,Arlington,222,6,236,7,0.02703,0.02966,0.03904
2020-08-04,Alleghany,153,7,153,7,0.04575,0.04575,0.03434
2020-08-04,Loudoun,353,25,401,31,0.07082,0.07731,0.05858
2020-08-04,Chickahominy,142,9,149,11,0.06338,0.07383,0.05085
2020-08-04,Mount Rogers,106,11,113,16,0.10377,0.14159,0.08891
2020-08-04,Richmond,264,19,272,25,0.07197,0.09191,0.07352
2020-08-04,Norfolk,318,39,321,39,0.12264,0.1215,0.10554
2020-08-04,New River,283,10,283,10,0.03534,0.03534,0.0634
2020-08-04,West Piedmont,119,19,121,21,0.15966,0.17355,0.14159
2020-08-04,Western Tidewater,124,22,126,22,0.17742,0.1746,0.15518
2020-08-04,Virginia Beach,767,41,779,43,0.05346,0.0552,0.07408
2020-08-04,Three Rivers,124,7,125,8,0.05645,0.064,0.04904
2020-08-04,Southside,107,8,108,8,0.07477,0.07407,0.07569
2020-08-04,Roanoke,217,13,218,13,0.05991,0.05963,0.04781
2020-08-04,Thomas Jefferson,447,18,453,18,0.04027,0.03974,0.04754
2020-08-04,Rappahannock Rapidan,181,10,196,16,0.05525,0.08163,0.05824
2020-08-04,Rappahannock,345,17,359,17,0.04928,0.04735,0.06229
2020-08-04,Prince William,497,41,533,54,0.08249,0.10131,0.08825
2020-08-04,Portsmouth,85,10,85,10,0.11765,0.11765,0.12791
2020-08-04,Pittsylvania-Danville,132,22,132,22,0.16667,0.16667,0.19381
2020-08-04,Piedmont,100,8,101,8,0.08,0.07921,0.05131
2020-08-04,Peninsula,277,32,281,33,0.11552,0.11744,0.07948
2020-08-05,Rappahannock,572,28,617,35,0.04895,0.05673,0.05962
2020-08-05,Piedmont,162,9,193,27,0.05556,0.1399,0.05216
2020-08-05,Pittsylvania-Danville,277,33,282,33,0.11913,0.11702,0.17888
2020-08-05,Portsmouth,476,33,479,34,0.06933,0.07098,0.11619
2020-08-05,Prince William,798,70,898,94,0.08772,0.10468,0.08814
2020-08-05,Peninsula,681,65,706,66,0.09545,0.09348,0.08267
2020-08-05,Rappahannock Rapidan,241,17,272,24,0.07054,0.08824,0.0607
2020-08-05,West Piedmont,206,47,214,51,0.22816,0.23832,0.1589
2020-08-05,Roanoke,213,9,229,10,0.04225,0.04367,0.0467
2020-08-05,Southside,255,13,269,15,0.05098,0.05576,0.07075
2020-08-05,Thomas Jefferson,561,35,593,37,0.06239,0.06239,0.05051
2020-08-05,Three Rivers,251,22,261,22,0.08765,0.08429,0.05676
2020-08-05,Virginia Beach,1034,93,1080,98,0.08994,0.09074,0.07726
2020-08-05,Western Tidewater,557,57,565,57,0.10233,0.10088,0.14461
2020-08-05,Norfolk,839,74,855,76,0.0882,0.08889,0.10208
2020-08-05,Richmond,357,21,375,21,0.05882,0.056,0.07058
2020-08-05,New River,349,17,354,17,0.04871,0.04802,0.06046
2020-08-05,Alexandria,270,14,321,25,0.05185,0.07788,0.05579
2020-08-05,Loudoun,598,18,679,22,0.0301,0.0324,0.05289
2020-08-05,Mount Rogers,252,36,269,45,0.14286,0.16729,0.0997
2020-08-05,Alleghany,177,5,187,5,0.02825,0.02674,0.03312
2020-08-05,Arlington,383,15,452,19,0.03916,0.04204,0.03906
2020-08-05,Central Shenandoah,646,17,661,18,0.02632,0.02723,0.03947
2020-08-05,Chesapeake,527,63,565,68,0.11954,0.12035,0.12126
2020-08-05,Chesterfield,617,33,655,36,0.05348,0.05496,0.08205
2020-08-05,Chickahominy,233,10,247,13,0.04292,0.05263,0.04927
2020-08-05,Central Virginia,620,66,632,66,0.10645,0.10443,0.07342
2020-08-05,Cumberland Plateau,70,4,76,5,0.05714,0.06579,0.09446
2020-08-05,Eastern Shore,88,4,92,4,0.04545,0.04348,0.03745
2020-08-05,Fairfax,1608,72,1900,99,0.04478,0.05211,0.04716
2020-08-05,Hampton,263,25,272,27,0.09506,0.09926,0.09061
2020-08-05,Henrico,873,44,904,52,0.0504,0.05752,0.06752
2020-08-05,Lenowisco,152,29,160,31,0.19079,0.19375,0.13085
2020-08-05,Lord Fairfax,373,14,391,17,0.03753,0.04348,0.02682
2020-08-05,Crater,249,30,268,34,0.12048,0.12687,0.0929
2020-08-06,Cumberland Plateau,130,9,133,10,0.06923,0.07519,0.09026
2020-08-06,Lord Fairfax,290,11,304,14,0.03793,0.04605,0.02867
2020-08-06,Lenowisco,78,17,79,17,0.21795,0.21519,0.14536
2020-08-06,Henrico,536,42,551,48,0.07836,0.08711,0.06932
2020-08-06,Hampton,249,31,251,31,0.1245,0.12351,0.09626
2020-08-06,Fairfax,2061,95,2248,122,0.04609,0.05427,0.04698
2020-08-06,Eastern Shore,91,4,91,4,0.04396,0.04396,0.03853
2020-08-06,Crater,484,44,487,44,0.09091,0.09035,0.09257
2020-08-06,Alexandria,294,19,323,19,0.06463,0.05882,0.05705
2020-08-06,Chesterfield,677,61,720,71,0.0901,0.09861,0.08339
2020-08-06,Chesapeake,516,86,527,86,0.16667,0.16319,0.12883
2020-08-06,Central Virginia,1002,50,1007,50,0.0499,0.04965,0.0695
2020-08-06,Central Shenandoah,343,16,352,16,0.04665,0.04545,0.04066
2020-08-06,Arlington,510,24,558,27,0.04706,0.04839,0.0404
2020-08-06,Alleghany,233,10,240,13,0.04292,0.05417,0.03475
2020-08-06,Loudoun,662,41,734,47,0.06193,0.06403,0.05439
2020-08-06,Chickahominy,143,12,154,13,0.08392,0.08442,0.05504
2020-08-06,Mount Rogers,235,27,251,30,0.11489,0.11952,0.10223
2020-08-06,New River,171,12,171,12,0.07018,0.07018,0.06208
2020-08-06,Norfolk,467,54,480,57,0.11563,0.11875,0.10434
2020-08-06,West Piedmont,197,20,202,21,0.10152,0.10396,0.14934
2020-08-06,Western Tidewater,378,42,381,42,0.11111,0.11024,0.13903
2020-08-06,Virginia Beach,747,87,780,89,0.11647,0.1141,0.08379
2020-08-06,Three Rivers,220,17,224,17,0.07727,0.07589,0.06018
2020-08-06,Southside,264,9,268,10,0.03409,0.03731,0.06464
2020-08-06,Roanoke,474,13,487,15,0.02743,0.0308,0.04349
2020-08-06,Richmond,349,29,360,30,0.08309,0.08333,0.07266
2020-08-06,Thomas Jefferson,513,32,530,33,0.06238,0.06226,0.05249
2020-08-06,Rappahannock,489,48,523,51,0.09816,0.09751,0.06604
2020-08-06,Prince William,955,87,1020,96,0.0911,0.09412,0.08863
2020-08-06,Portsmouth,182,37,182,37,0.2033,0.2033,0.13071
2020-08-06,Pittsylvania-Danville,357,16,362,17,0.04482,0.04696,0.15653
2020-08-06,Piedmont,197,17,203,17,0.08629,0.08374,0.05785
2020-08-06,Peninsula,674,48,680,48,0.07122,0.07059,0.08076
2020-08-06,Rappahannock Rapidan,217,16,249,30,0.07373,0.12048,0.06288
2020-08-07,Fairfax,1551,89,1735,104,0.05738,0.05994,0.04847
2020-08-07,Loudoun,589,29,628,31,0.04924,0.04936,0.05366
2020-08-07,Lord Fairfax,330,25,345,27,0.07576,0.07826,0.0354
2020-08-07,Lenowisco,163,29,170,29,0.17791,0.17059,0.15001
2020-08-07,Henrico,915,104,943,110,0.11366,0.11665,0.07566
2020-08-07,Hampton,185,14,188,14,0.07568,0.07447,0.09332
2020-08-07,Arlington,438,20,481,23,0.04566,0.04782,0.04115
2020-08-07,Central Shenandoah,613,27,625,28,0.04405,0.0448,0.04115
2020-08-07,Cumberland Plateau,146,7,147,7,0.04795,0.04762,0.08421
2020-08-07,Crater,364,40,369,40,0.10989,0.1084,0.09504
2020-08-07,Chickahominy,307,13,326,13,0.04235,0.03988,0.05323
2020-08-07,Chesterfield,766,103,811,112,0.13446,0.1381,0.09069
2020-08-07,Chesapeake,553,53,569,55,0.09584,0.09666,0.12412
2020-08-07,Central Virginia,639,68,649,68,0.10642,0.10478,0.07477
2020-08-07,Mount Rogers,395,30,405,32,0.07595,0.07901,0.09848
2020-08-07,Eastern Shore,83,8,85,8,0.09639,0.09412,0.0468
2020-08-07,New River,314,10,338,28,0.03185,0.08284,0.05776
2020-08-07,Richmond,613,81,626,82,0.13214,0.13099,0.08116
2020-08-07,Peninsula,566,36,577,37,0.0636,0.06412,0.07831
2020-08-07,Norfolk,502,49,516,52,0.09761,0.10078,0.10337
2020-08-07,Alexandria,268,16,311,21,0.0597,0.06752,0.05511
2020-08-07,West Piedmont,236,40,245,45,0.16949,0.18367,0.15222
2020-08-07,Western Tidewater,340,47,349,47,0.13824,0.13467,0.13892
2020-08-07,Virginia Beach,810,84,838,87,0.1037,0.10382,0.08664
2020-08-07,Three Rivers,153,22,161,23,0.14379,0.14286,0.07212
2020-08-07,Thomas Jefferson,672,38,688,40,0.05655,0.05814,0.05307
2020-08-07,Alleghany,312,8,323,10,0.02564,0.03096,0.03345
2020-08-07,Roanoke,926,55,936,56,0.0594,0.05983,0.04576
2020-08-07,Rappahannock Rapidan,253,15,270,19,0.05929,0.07037,0.06236
2020-08-07,Rappahannock,478,32,506,34,0.06695,0.06719,0.06617
2020-08-07,Prince William,840,71,886,76,0.08452,0.08578,0.08805
2020-08-07,Portsmouth,242,29,245,29,0.11983,0.11837,0.12916
2020-08-07,Southside,106,8,112,11,0.07547,0.09821,0.06618
2020-08-07,Pittsylvania-Danville,247,30,253,30,0.12146,0.11858,0.15152
2020-08-07,Piedmont,166,8,173,11,0.04819,0.06358,0.05647
2020-08-08,Henrico,773,46,804,51,0.05951,0.06343,0.07585
2020-08-08,Hampton,265,23,273,23,0.08679,0.08425,0.09332
2020-08-08,Fairfax,2317,107,2487,123,0.04618,0.04946,0.04789
2020-08-08,Eastern Shore,79,3,81,3,0.03797,0.03704,0.04945
2020-08-08,Cumberland Plateau,78,16,81,16,0.20513,0.19753,0.10367
2020-08-08,Crater,295,30,303,32,0.10169,0.10561,0.09719
2020-08-08,Chesapeake,519,66,540,68,0.12717,0.12593,0.12495
2020-08-08,Chesterfield,661,34,693,35,0.05144,0.05051,0.08629
2020-08-08,Lenowisco,113,18,118,20,0.15929,0.16949,0.15475
2020-08-08,Central Virginia,487,38,490,40,0.07803,0.08163,0.07941
2020-08-08,Central Shenandoah,305,8,316,8,0.02623,0.02532,0.04067
2020-08-08,Arlington,483,15,521,16,0.03106,0.03071,0.03974
2020-08-08,Alleghany,140,3,146,4,0.02143,0.0274,0.03531
2020-08-08,Alexandria,351,19,373,21,0.05413,0.0563,0.05698
2020-08-08,Chickahominy,252,10,272,10,0.03968,0.03676,0.05518
2020-08-08,Lord Fairfax,378,6,392,6,0.01587,0.01531,0.03194
2020-08-08,Norfolk,481,36,491,37,0.07484,0.07536,0.10125
2020-08-08,Mount Rogers,249,15,252,15,0.06024,0.05952,0.09824
2020-08-08,West Piedmont,169,22,170,22,0.13018,0.12941,0.13989
2020-08-08,Western Tidewater,402,33,408,33,0.08209,0.08088,0.13545
2020-08-08,Virginia Beach,846,75,868,78,0.08865,0.08986,0.08497
2020-08-08,Three Rivers,268,20,277,22,0.07463,0.07942,0.07629
2020-08-08,Thomas Jefferson,350,13,362,14,0.03714,0.03867,0.05345
2020-08-08,Southside,136,9,138,10,0.06618,0.07246,0.06783
2020-08-08,Roanoke,590,20,602,20,0.0339,0.03322,0.0413
2020-08-08,Richmond,480,39,500,39,0.08125,0.078,0.086
2020-08-08,Rappahannock Rapidan,195,12,207,14,0.06154,0.06763,0.06189
2020-08-08,Rappahannock,511,39,539,44,0.07632,0.08163,0.06898
2020-08-08,Portsmouth,385,46,388,47,0.11948,0.12113,0.12662
2020-08-08,Pittsylvania-Danville,187,17,189,17,0.09091,0.08995,0.14765
2020-08-08,Piedmont,103,2,106,2,0.01942,0.01887,0.05353
2020-08-08,Peninsula,1193,32,1213,35,0.02682,0.02885,0.07315
2020-08-08,New River,114,5,121,6,0.04386,0.04959,0.05831
2020-08-08,Loudoun,704,37,752,43,0.05256,0.05718,0.05396
2020-08-08,Prince William,820,58,865,63,0.07073,0.07283,0.08496
2020-08-09,Alexandria,279,16,291,16,0.05735,0.05498,0.0584
2020-08-09,Rappahannock Rapidan,198,7,211,12,0.03535,0.05687,0.06067
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04128
2020-08-09,Central Virginia,392,38,399,38,0.09694,0.09524,0.07974
2020-08-09,Chesapeake,428,62,442,68,0.14486,0.15385,0.12679
2020-08-09,Chesterfield,587,44,626,49,0.07496,0.07827,0.08123
2020-08-09,Chickahominy,182,11,198,12,0.06044,0.06061,0.05467
2020-08-09,Cumberland Plateau,74,8,78,8,0.10811,0.10256,0.11316
2020-08-09,Eastern Shore,48,3,48,3,0.0625,0.0625,0.05188
2020-08-09,Fairfax,1594,106,1678,118,0.0665,0.07032,0.04984
2020-08-09,Hampton,316,30,321,30,0.09494,0.09346,0.09509
2020-08-09,Henrico,501,47,533,52,0.09381,0.09756,0.07673
2020-08-09,Lenowisco,169,23,170,23,0.13609,0.13529,0.16002
2020-08-09,Lord Fairfax,351,16,358,16,0.04558,0.04469,0.03573
2020-08-09,Loudoun,546,41,592,47,0.07509,0.07939,0.05446
2020-08-09,Mount Rogers,211,13,215,13,0.06161,0.06047,0.09419
2020-08-09,Arlington,397,20,420,21,0.05038,0.05,0.04085
2020-08-09,New River,91,3,92,3,0.03297,0.03261,0.05437
2020-08-09,Peninsula,598,47,607,48,0.0786,0.07908,0.07243
2020-08-09,Piedmont,140,8,146,8,0.05714,0.05479,0.05582
2020-08-09,Pittsylvania-Danville,156,13,156,13,0.08333,0.08333,0.15003
2020-08-09,Portsmouth,283,36,284,36,0.12721,0.12676,0.12698
2020-08-09,Prince William,576,45,610,50,0.07812,0.08197,0.08321
2020-08-09,Rappahannock,411,36,446,40,0.08759,0.08969,0.07136
2020-08-09,Richmond,235,26,248,30,0.11064,0.12097,0.08867
2020-08-09,Roanoke,987,56,998,56,0.05674,0.05611,0.04293
2020-08-09,Southside,128,12,131,12,0.09375,0.0916,0.06994
2020-08-09,Thomas Jefferson,309,25,315,25,0.08091,0.07937,0.05538
2020-08-09,Three Rivers,197,13,206,13,0.06599,0.06311,0.07665
2020-08-09,Virginia Beach,887,51,908,51,0.0575,0.05617,0.08244
2020-08-09,Western Tidewater,301,41,307,41,0.13621,0.13355,0.13198
2020-08-09,West Piedmont,122,15,127,16,0.12295,0.12598,0.14086
2020-08-09,Norfolk,543,41,545,41,0.07551,0.07523,0.0959
2020-08-09,Alleghany,88,2,88,2,0.02273,0.02273,0.034
2020-08-09,Crater,314,65,320,66,0.20701,0.20625,0.12059
2020-08-10,Alexandria,204,14,208,17,0.06863,0.08173,0.06302
2020-08-10,Central Virginia,115,8,116,8,0.06957,0.06897,0.07899
2020-08-10,Chesapeake,377,41,379,41,0.10875,0.10818,0.12447
2020-08-10,Chesterfield,471,22,476,27,0.04671,0.05672,0.07688
2020-08-10,Chickahominy,200,5,204,9,0.025,0.04412,0.0511
2020-08-10,Crater,260,18,260,18,0.06923,0.06923,0.11815
2020-08-10,Cumberland Plateau,35,3,35,3,0.08571,0.08571,0.0955
2020-08-10,Eastern Shore,48,6,48,6,0.125,0.125,0.06974
2020-08-10,Fairfax,1579,65,1607,77,0.04117,0.04792,0.05075
2020-08-10,Hampton,183,16,186,16,0.08743,0.08602,0.0917
2020-08-10,Henrico,561,32,565,36,0.05704,0.06372,0.07615
2020-08-10,Lenowisco,93,13,95,13,0.13978,0.13684,0.15908
2020-08-10,Lord Fairfax,303,3,304,3,0.0099,0.00987,0.03379
2020-08-10,Loudoun,444,18,456,22,0.04054,0.04825,0.05433
2020-08-10,Mount Rogers,115,10,124,18,0.08696,0.14516,0.09233
2020-08-10,New River,292,26,293,26,0.08904,0.08874,0.05028
2020-08-10,Norfolk,326,31,326,31,0.09509,0.09509,0.09565
2020-08-10,Peninsula,391,25,392,25,0.06394,0.06378,0.07359
2020-08-10,West Piedmont,46,10,46,10,0.21739,0.21739,0.16134
2020-08-10,Western Tidewater,303,44,303,44,0.14521,0.14521,0.12752
2020-08-10,Virginia Beach,692,54,694,54,0.07803,0.07781,0.08396
2020-08-10,Three Rivers,159,14,159,14,0.08805,0.08805,0.08483
2020-08-10,Thomas Jefferson,397,19,400,20,0.04786,0.05,0.05536
2020-08-10,Southside,66,5,66,5,0.07576,0.07576,0.06729
2020-08-10,Central Shenandoah,427,11,427,11,0.02576,0.02576,0.0363
2020-08-10,Roanoke,545,13,548,13,0.02385,0.02372,0.04335
2020-08-10,Rappahannock Rapidan,200,7,201,8,0.035,0.0398,0.05581
2020-08-10,Alleghany,60,2,60,2,0.03333,0.03333,0.03144
2020-08-10,Prince William,702,57,722,68,0.0812,0.09418,0.08227
2020-08-10,Portsmouth,301,39,301,39,0.12957,0.12957,0.12662
2020-08-10,Pittsylvania-Danville,49,10,49,10,0.20408,0.20408,0.11863
2020-08-10,Piedmont,137,5,139,6,0.0365,0.04317,0.05473
2020-08-10,Richmond,447,18,447,18,0.04027,0.04027,0.0826
2020-08-10,Arlington,363,22,366,22,0.06061,0.06011,0.04299
2020-08-10,Rappahannock,421,33,426,34,0.07838,0.07981,0.07223
2020-08-11,Alexandria,289,6,319,8,0.02076,0.02508,0.05386
2020-08-11,Peninsula,374,33,396,33,0.08824,0.08333,0.0697
2020-08-11,Piedmont,96,6,96,6,0.0625,0.0625,0.05223
2020-08-11,Pittsylvania-Danville,93,16,93,16,0.17204,0.17204,0.1194
2020-08-11,Portsmouth,168,15,169,15,0.08929,0.08876,0.12257
2020-08-11,Prince William,709,52,764,62,0.07334,0.08115,0.08096
2020-08-11,Rappahannock Rapidan,191,8,207,10,0.04188,0.04831,0.0539
2020-08-11,Norfolk,406,25,423,26,0.06158,0.06147,0.08692
2020-08-11,Richmond,367,19,373,21,0.05177,0.0563,0.07971
2020-08-11,Southside,95,5,97,5,0.05263,0.05155,0.06412
2020-08-11,Thomas Jefferson,415,37,425,37,0.08916,0.08706,0.06234
2020-08-11,Three Rivers,147,9,155,9,0.06122,0.05806,0.08551
2020-08-11,Virginia Beach,751,39,791,41,0.05193,0.05183,0.08375
2020-08-11,Western Tidewater,161,25,170,25,0.15528,0.14706,0.12435
2020-08-11,Alleghany,87,1,90,1,0.01149,0.01111,0.02654
2020-08-11,Roanoke,555,23,567,24,0.04144,0.04233,0.04072
2020-08-11,New River,584,35,584,35,0.05993,0.05993,0.05379
2020-08-11,Rappahannock,402,30,426,32,0.07463,0.07512,0.07585
2020-08-11,Loudoun,559,29,611,33,0.05188,0.05401,0.05162
2020-08-11,Arlington,412,16,444,16,0.03883,0.03604,0.04468
2020-08-11,Mount Rogers,149,11,165,24,0.07383,0.14545,0.08805
2020-08-11,Central Virginia,363,18,365,18,0.04959,0.04932,0.07956
2020-08-11,Chesapeake,518,64,543,68,0.12355,0.12523,0.12663
